X,Y,Nearest Task
1322,2436,REACDOWN
1345,2436,REACDOWN
1358,2436,REACDOWN
1371,2436,REACDOWN
1384,2436,REACDOWN
1396,2436,REACDOWN
1409,2436,REACDOWN
1422,2436,REACDOWN
1435,2436,REACDOWN
1448,2436,REACDOWN
1461,2436,REACDOWN
1474,2436,REACDOWN
1487,2436,REACDOWN
1499,2436,REACDOWN
1512,2436,REACDOWN
1525,2436,REACDOWN
1538,2436,REACDOWN
1551,2436,REACDOWN
1564,2436,REACDOWN
1577,2436,REACDOWN
1590,2436,REACDOWN
1603,2436,REACDOWN
1616,2436,REACDOWN
1629,2436,REACDOWN
1629,2428,REACDOWN
1629,2415,REACDOWN
1629,2403,REACDOWN
1629,2390,REACDOWN
1629,2377,REACDOWN
1629,2365,REACDOWN
1629,2352,REACDOWN
1629,2340,REACDOWN
1629,2327,REACDOWN
1629,2315,REACDOWN
1629,2302,REACDOWN
1629,2289,REACDOWN
1629,2276,REACDOWN
1629,2263,REACDOWN
1629,2251,REACDOWN
1629,2238,REACDOWN
1629,2225,REACDOWN
1629,2213,REACDOWN
1641,2213,REACDOWN
1654,2213,REACDOWN
1667,2213,REACDOWN
1679,2213,REACDOWN
1692,2213,REACDOWN
1705,2213,REACDOWN
1717,2213,REACDOWN
1730,2213,ELEC
1743,2213,ELEC
1756,2213,ELEC
1768,2213,ELEC
1781,2213,ELEC
1794,2213,ELEC
1807,2213,ELEC
1819,2213,ELEC
1832,2213,ELEC
1844,2213,ELEC
1857,2213,ELEC
1869,2213,ELEC
1882,2213,ELEC
1895,2213,ELEC
1908,2213,ELEC
1921,2213,ELEC
1934,2213,ELEC
1947,2213,ELEC
1959,2213,ELEC
1968,2221,ELEC
1977,2230,ELEC
1986,2239,ELEC
1995,2248,ELEC
1995,2260,ELEC
1995,2273,ELEC
1995,2285,ELEC
1995,2302,ELEC
1995,2315,ELEC
1995,2328,ELEC
1995,2340,ELEC
1995,2353,ELEC
1995,2366,ELEC
1995,2379,ELEC
1995,2392,ELEC
1995,2404,ELEC
1995,2417,ELEC
1995,2430,ELEC
1995,2443,ELEC
1995,2455,ELEC
1995,2468,ELEC
1995,2480,ELEC
1995,2493,ELEC
1995,2506,ELEC
1995,2518,ELEC
1995,2531,ELEC
1995,2544,ELEC
1995,2556,ELEC
1995,2569,ELEC
1995,2582,ELEC
2008,2582,ELEC
2021,2582,ELEC
2034,2582,ELEC
2047,2582,ELEC
2060,2582,ELEC
2072,2582,ELEC
2085,2582,ELEC
2098,2582,ELEC
2110,2582,ELEC
2123,2582,ELEC
2136,2582,ELEC
2148,2582,ELEC
2161,2582,ELEC
2174,2582,ELEC
2187,2582,ELEC
2200,2582,ELEC
2212,2582,ELEC
2225,2582,ELEC
2238,2582,ELEC
2251,2582,ELEC
2264,2582,ELEC
2277,2582,ELEC
2290,2582,ELEC
2302,2582,ELEC
2315,2582,ELEC
2328,2582,ELEC
2340,2582,ELEC
2353,2582,ELEC
2365,2582,ELEC
2378,2582,ELEC
2391,2582,ELEC
2403,2582,ELEC
2416,2582,ELEC
2428,2582,ELEC
2441,2582,ELEC
2454,2582,ELEC
2466,2582,ELEC
2479,2582,ELEC
2492,2582,ELEC
2505,2582,ELEC
2518,2582,ELEC
2530,2582,ELEC
2543,2582,STOR
2556,2582,STOR
2569,2582,STOR
2581,2582,STOR
2594,2582,STOR
2607,2582,STOR
2620,2582,STOR
2633,2582,STOR
2646,2582,STOR
2659,2582,STOR
2672,2582,STOR
2685,2582,STOR
2698,2582,STOR
2711,2582,STOR
2723,2582,STOR
2736,2582,STOR
2749,2582,STOR
2762,2582,STOR
2775,2582,STOR
2787,2582,STOR
2800,2582,STOR
2813,2582,STOR
2826,2582,STOR
2839,2582,STOR
