X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1347,2436,REACDOWN
1360,2436,REACDOWN
1373,2436,REACDOWN
1385,2436,REACDOWN
1398,2436,REACDOWN
1411,2436,REACDOWN
1423,2436,REACDOWN
1436,2436,REACDOWN
1449,2436,REACDOWN
1462,2436,REACDOWN
1475,2436,REACDOWN
1487,2436,REACDOWN
1500,2436,REACDOWN
1513,2436,REACDOWN
1525,2436,REACDOWN
1538,2436,REACDOWN
1551,2436,REACDOWN
1564,2436,REACDOWN
1577,2436,REACDOWN
1590,2436,REACDOWN
1590,2423,REACDOWN
1590,2410,REACDOWN
1590,2398,REACDOWN
1590,2385,REACDOWN
1590,2372,REACDOWN
1590,2360,REACDOWN
1590,2347,REACDOWN
1590,2334,REACDOWN
1590,2321,REACDOWN
1590,2308,REACDOWN
1590,2295,REACDOWN
1590,2283,REACDOWN
1590,2270,REACDOWN
1590,2258,REACDOWN
1590,2245,REACDOWN
1590,2233,REACDOWN
1590,2220,REACDOWN
1590,2208,REACDOWN
1590,2195,REACDOWN
1590,2183,REACDOWN
1590,2169,REACDOWN
1590,2156,REACDOWN
1590,2144,REACDOWN
1590,2131,REACDOWN
1590,2119,REACDOWN
1590,2106,REACDOWN
1590,2093,REACDOWN
1590,2080,REACDOWN
1590,2067,REACDOWN
1590,2054,REACDOWN
1577,2054,REACDOWN
1564,2054,REACDOWN
1551,2054,REACDOWN
1538,2054,REACDOWN
1525,2054,REACDOWN
1524,2054,REACDOWN
1524,2042,REACDOWN
1524,2029,REACDOWN
1524,2016,REACDOWN
1524,2004,REACDOWN
1524,1991,REACDOWN
1510,1991,REACDOWN
1498,1991,REACDOWN
1485,1991,REACDOWN
1470,1991,REACDOWN
1458,1991,REACDOWN
1445,1991,REACDOWN
1432,1991,REACDOWN
1419,1991,REACDOWN
1419,1978,REACDOWN
1419,1965,REACDOWN
1419,1952,REACDOWN
1419,1940,REACDOWN
1419,1927,REACDOWN
1419,1914,REACDOWN
1419,1901,REACDOWN
1419,1888,REACDOWN
1419,1876,REACDOWN
1419,1863,REACDOWN
1419,1851,REACDOWN
1419,1838,REACDOWN
1419,1825,REACDOWN
1419,1811,REACDOWN
1419,1798,REACDOWN
1419,1786,REACDOWN
1419,1773,REACDOWN
1419,1760,REACDOWN
1419,1747,REACDOWN
1419,1734,REACDOWN
1419,1721,REACDOWN
1419,1708,REACDOWN
1419,1695,REACDOWN
1419,1682,REACDOWN
1419,1669,REACDOWN
1419,1656,REACDOWN
1419,1643,REACDOWN
1419,1630,REACDOWN
1419,1618,REACDOWN
1419,1605,REACDOWN
1419,1593,REACDOWN
1419,1580,REACDOWN
1419,1567,REACDOWN
1419,1555,REACDOWN
1419,1542,REACDOWN
1419,1529,REACDOWN
1419,1516,REACDOWN
1419,1503,REACDOWN
1419,1491,REACDOWN
1419,1478,REACDOWN
1419,1465,REACUP
1419,1453,REACUP
1419,1440,REACUP
1419,1427,REACUP
1419,1415,REACUP
1419,1402,REACUP
1419,1389,REACUP
1419,1377,REACUP
1419,1364,REACUP
1419,1351,REACUP
1419,1338,REACUP
1419,1326,REACUP
1419,1313,REACUP
1419,1300,REACUP
1419,1287,REACUP
1419,1274,REACUP
1419,1261,REACUP
1419,1248,REACUP
1419,1235,REACUP
1419,1222,REACUP
1419,1209,REACUP
1419,1196,REACUP
1419,1183,REACUP
1419,1170,REACUP
1419,1157,REACUP
1419,1144,REACUP
1419,1131,REACUP
1419,1119,REACUP
1419,1106,REACUP
1419,1093,REACUP
1419,1081,REACUP
1419,1068,REACUP
1419,1056,REACUP
1419,1043,REACUP
1419,1030,REACUP
1419,1018,REACUP
1419,1005,REACUP
1419,992,REACUP
1432,992,REACUP
1445,992,REACUP
1458,992,REACUP
1471,992,REACUP
1483,992,REACUP
1486,992,REACUP
1486,980,REACUP
1486,967,REACUP
1486,954,REACUP
1486,941,REACUP
1486,928,REACUP
1499,928,REACUP
1511,928,REACUP
1524,928,REACUP
1537,928,REACUP
1550,928,REACUP
1563,928,REACUP
1576,928,REACUP
1589,928,REACUP
1601,928,REACUP
1614,928,REACUP
1627,928,REACUP
1636,920,REACUP
1637,910,REACUP
1637,901,REACUP
1637,889,REACUP
1637,876,REACUP
1637,863,REACUP
1637,851,REACUP
1637,838,REACUP
1637,826,REACUP
1637,813,REACUP
1637,800,REACUP
1637,787,REACUP
1637,774,REACUP
1637,761,REACUP
1637,749,REACUP
1637,736,REACUP
1637,723,REACUP
1637,710,REACUP
1637,697,REACUP
1637,684,REACUP
1637,672,REACUP
1637,659,REACUP
1637,646,REACUP
1637,633,REACUP
1637,620,REACUP
1637,607,REACUP
1637,594,REACUP
1637,582,REACUP
1637,569,REACUP
1637,554,REACUP
1637,541,REACUP
1637,528,REACUP
1637,515,REACUP
1637,502,REACUP
1637,489,REACUP
1637,477,REACUP
1625,477,REACUP
1612,477,REACUP
1599,477,REACUP
1587,477,REACUP
1574,477,REACUP
1561,477,REACUP
1548,477,REACUP
1535,477,REACUP
1523,477,REACUP
1510,477,REACUP
1498,477,REACUP
1485,477,REACUP
1473,477,REACUP
1460,477,REACUP
1447,477,REACUP
1435,477,REACUP
1421,477,REACUP
1409,477,REACUP
1396,477,REACUP
1383,477,REACUP
1370,477,REACUP
1357,477,REACUP
1345,477,REACUP
1332,477,REACUP
1319,477,REACUP
1306,477,REACUP
1293,477,REACUP
