X,Y,Nearest Task
1322,2436,REACDOWN
1335,2436,REACDOWN
1348,2436,REACDOWN
1361,2436,REACDOWN
1374,2436,REACDOWN
1386,2436,REACDOWN
1399,2436,REACDOWN
1412,2436,REACDOWN
1424,2436,REACDOWN
1437,2436,REACDOWN
1450,2436,REACDOWN
1463,2436,REACDOWN
1476,2436,REACDOWN
1488,2436,REACDOWN
1501,2436,REACDOWN
1514,2436,REACDOWN
1527,2436,REACDOWN
1540,2436,REACDOWN
1553,2436,REACDOWN
1566,2436,REACDOWN
1579,2436,REACDOWN
1579,2424,REACDOWN
1579,2411,REACDOWN
1579,2398,REACDOWN
1579,2385,REACDOWN
1579,2372,REACDOWN
1579,2359,REACDOWN
1579,2346,REACDOWN
1579,2324,REACDOWN
1579,2311,REACDOWN
1579,2299,REACDOWN
1579,2286,REACDOWN
1591,2286,REACDOWN
1604,2286,REACDOWN
1617,2286,REACDOWN
1629,2286,REACDOWN
1629,2273,REACDOWN
1629,2260,REACDOWN
1629,2247,REACDOWN
1629,2235,REACDOWN
1629,2222,REACDOWN
1629,2209,REACDOWN
1629,2197,REACDOWN
1641,2197,REACDOWN
1654,2197,REACDOWN
1666,2197,REACDOWN
1679,2197,REACDOWN
1692,2197,REACDOWN
1705,2197,REACDOWN
1717,2197,REACDOWN
1730,2197,ELEC
1743,2197,ELEC
1756,2197,ELEC
1768,2197,ELEC
1781,2197,ELEC
1793,2197,ELEC
1806,2197,ELEC
1819,2197,ELEC
1831,2197,ELEC
1844,2197,ELEC
1857,2197,ELEC
1870,2197,ELEC
1883,2197,ELEC
1895,2197,ELEC
1908,2197,ELEC
1920,2197,ELEC
1933,2197,ELEC
1946,2197,ELEC
1958,2197,ELEC
1971,2197,ELEC
1980,2206,ELEC
1980,2220,ELEC
1980,2233,ELEC
1980,2246,ELEC
1980,2259,ELEC
1980,2272,ELEC
1980,2285,ELEC
1980,2298,ELEC
1980,2311,ELEC
1980,2324,ELEC
1980,2337,ELEC
1980,2350,ELEC
1980,2362,ELEC
1980,2375,ELEC
1980,2388,ELEC
1980,2401,ELEC
1980,2413,ELEC
1980,2426,ELEC
1980,2439,ELEC
1980,2451,ELEC
1980,2464,ELEC
1980,2477,ELEC
1980,2489,ELEC
1980,2502,ELEC
1980,2515,ELEC
1980,2528,ELEC
1980,2541,ELEC
1980,2554,ELEC
1989,2563,ELEC
1998,2571,ELEC
2006,2580,ELEC
2019,2580,ELEC
2032,2580,ELEC
2045,2580,ELEC
2057,2580,ELEC
2070,2580,ELEC
2083,2580,ELEC
2096,2580,ELEC
2109,2580,ELEC
2122,2580,ELEC
2134,2580,ELEC
2147,2580,ELEC
2160,2580,ELEC
2173,2580,ELEC
2185,2580,ELEC
2198,2580,ELEC
2211,2580,ELEC
2224,2580,ELEC
2237,2580,ELEC
2249,2580,ELEC
2262,2580,ELEC
2274,2580,ELEC
2287,2580,ELEC
2300,2580,ELEC
2313,2580,ELEC
2325,2580,ELEC
2338,2580,ELEC
2351,2580,ELEC
2364,2580,ELEC
2376,2580,ELEC
2389,2580,ELEC
2402,2580,ELEC
2414,2580,ELEC
2427,2580,ELEC
2440,2580,ELEC
2452,2580,ELEC
2465,2580,ELEC
2478,2580,ELEC
2490,2580,ELEC
2503,2580,ELEC
2515,2580,ELEC
2528,2580,ELEC
2541,2580,ELEC
2554,2580,STOR
2567,2580,STOR
2580,2580,STOR
2593,2580,STOR
2606,2580,STOR
2619,2580,STOR
2632,2580,STOR
2644,2580,STOR
2657,2580,STOR
2670,2580,STOR
2683,2580,STOR
2695,2580,STOR
2708,2580,STOR
2732,2580,STOR
2745,2580,STOR
2758,2580,STOR
2771,2580,STOR
2783,2580,STOR
2796,2580,STOR
2808,2580,STOR
2821,2580,STOR
2834,2580,STOR
2847,2580,STOR
2860,2580,STOR
2872,2580,STOR
2885,2580,STOR
2898,2580,STOR
2911,2580,STOR
2924,2580,STOR
2938,2580,STOR
2950,2580,STOR
2964,2580,STOR
2977,2580,STOR
2986,2589,STOR
2995,2598,STOR
3004,2607,STOR
3014,2616,STOR
3014,2629,STOR
3014,2642,STOR
