X,Y,Nearest Task
2540,1410,MED
2526,1410,MED
2512,1410,MED
2498,1410,MED
2484,1410,MED
2470,1410,MED
2457,1410,MED
2443,1410,MED
2429,1410,MED
2415,1410,MED
2401,1410,MED
2387,1410,MED
2373,1410,MED
2359,1410,MED
2345,1410,MED
2331,1410,MED
2331,1396,MED
2331,1380,MED
2331,1366,MED
2331,1352,MED
2331,1338,MED
2331,1324,MED
2331,1311,MED
2331,1297,MED
2331,1283,MED
2331,1269,MED
2331,1254,MED
2331,1242,MED
2331,1229,MED
2331,1217,MED
2331,1205,MED
2331,1193,MED
2331,1180,MED
2331,1168,MED
2331,1156,MED
2331,1143,MED
2331,1129,MED
2331,1114,MED
2331,1102,MED
2331,1090,MED
2331,1078,MED
2331,1066,MED
2331,1054,MED
2331,1042,MED
2331,1030,MED
2331,1018,MED
2331,1006,MED
2331,993,MED
2331,981,MED
2331,968,MED
2331,956,MED
2331,944,MED
2331,932,MED
2331,920,MED
2331,908,MED
2331,891,MED
2331,875,MED
2331,863,MED
2331,851,MED
2331,839,MED
2331,827,MED
2331,815,MED
2331,803,MED
2331,791,MED
2331,779,MED
2331,767,MED
2331,755,MED
2331,743,MED
2331,731,MED
2344,731,MED
2357,731,MED
2370,731,MED
2393,731,MED
2406,731,MED
2419,731,MED
2432,731,MED
2445,731,MED
2458,731,MED
2471,731,MED
2484,731,MED
2497,731,MED
2510,731,MED
2523,731,MED
2536,731,MED
2549,731,MED
2562,731,CAFELEF
2575,731,CAFELEF
2588,731,CAFELEF
2601,731,CAFELEF
2614,731,CAFELEF
2627,731,CAFELEF
2640,731,CAFELEF
2653,731,CAFELEF
2666,731,CAFELEF
2679,731,CAFELEF
2692,731,CAFELEF
2710,731,CAFELEF
2723,731,CAFELEF
2736,731,CAFELEF
2750,731,CAFELEF
2765,731,CAFELEF
2778,731,CAFELEF
2796,731,CAFELEF
2816,731,CAFELEF
2831,731,CAFELEF
2844,731,CAFELEF
2844,715,CAFELEF
2844,703,CAFELEF
2844,691,CAFELEF
2844,679,CAFELEF
2844,667,CAFELEF
2844,655,CAFELEF
2844,642,CAFELEF
2844,630,CAFELEF
2844,618,CAFELEF
2844,606,CAFELEF
2844,594,CAFELEF
2844,581,CAFELEF
2844,568,CAFELEF
2844,556,CAFELEF
2844,544,CAFELEF
2844,532,CAFELEF
2844,520,CAFELEF
2844,508,CAFELEF
2844,496,CAFELEF
2844,484,CAFELEF
2844,472,CAFELEF
2844,460,CAFELEF
2844,448,CAFELEF
2844,436,CAFELEF
2844,424,CAFELEF
2844,408,CAFELEF
2844,396,CAFELEF
2844,384,CAFELEF
2844,372,CAFELEF
2844,359,CAFELEF
2844,347,CAFELEF
2844,334,CAFELEF
2844,322,CAFELEF
2844,309,CAFELEF
2844,297,CAFELEF
2844,284,CAFELEF
2844,272,CAFELEF
2844,260,CAFELEF
2844,247,CAFELEF
2844,235,CAFELEF
2844,223,CAFELEF
2844,206,CAFELEF
2832,206,CAFELEF
2829,206,CAFELEF
