X,Y,Nearest Task
2540,1410,MED
2517,1410,MED
2502,1410,MED
2490,1410,MED
2478,1410,MED
2465,1410,MED
2453,1410,MED
2441,1410,MED
2426,1410,MED
2407,1410,MED
2392,1410,MED
2380,1410,MED
2368,1410,MED
2356,1410,MED
2343,1410,MED
2331,1410,MED
2319,1410,MED
2307,1410,MED
2307,1398,MED
2307,1386,MED
2307,1374,MED
2307,1362,MED
2307,1350,MED
2307,1338,MED
2307,1325,MED
2307,1313,MED
2307,1301,MED
2307,1289,MED
2307,1276,MED
2307,1264,MED
2307,1252,MED
2307,1238,MED
2307,1226,MED
2307,1214,MED
2307,1201,MED
2307,1189,MED
2307,1177,MED
2307,1165,MED
2307,1153,MED
2307,1141,MED
2307,1129,MED
2307,1116,MED
2307,1104,MED
2307,1090,MED
2307,1076,MED
2307,1064,MED
2307,1052,MED
2307,1040,MED
2307,1028,MED
2307,1016,MED
2307,1004,MED
2307,991,MED
2307,972,MED
2307,953,MED
2307,941,MED
2307,929,MED
2307,917,MED
2307,905,MED
2307,893,MED
2307,880,MED
2307,864,MED
2307,852,MED
2307,839,MED
2307,827,MED
2307,815,MED
2307,803,MED
2307,791,MED
2316,782,MED
2325,773,MED
2334,764,MED
2343,755,MED
2352,746,MED
2365,746,MED
2371,746,MED
2371,737,MED
2371,728,MED
2380,719,MED
2389,710,CAFELEF
2402,710,CAFELEF
2415,710,CAFELEF
2428,710,CAFELEF
2441,710,CAFELEF
2454,710,CAFELEF
2467,710,CAFELEF
2480,710,CAFELEF
2493,710,CAFELEF
2506,710,CAFELEF
2519,710,CAFELEF
2532,710,CAFELEF
2545,710,CAFELEF
2558,710,CAFELEF
2571,710,CAFELEF
2584,710,CAFELEF
2597,710,CAFELEF
2610,710,CAFELEF
2623,710,CAFELEF
2636,710,CAFELEF
2649,710,CAFELEF
2662,710,CAFELEF
2675,710,CAFELEF
2688,710,CAFELEF
2701,710,CAFELEF
2714,710,CAFELEF
2727,710,CAFELEF
2740,710,CAFELEF
2753,710,CAFELEF
2766,710,CAFELEF
2779,710,CAFELEF
2792,710,CAFELEF
2805,710,CAFELEF
2818,710,CAFELEF
2831,710,CAFELEF
2844,710,CAFELEF
2857,710,CAFELEF
2870,710,CAFELEF
2883,710,CAFELEF
2896,710,CAFELEF
2909,710,CAFELEF
2922,710,CAFELEF
2935,710,CAFELEF
2948,710,CAFELEF
2961,710,CAFELEF
2974,710,CAFELEF
2987,710,CAFELEF
2996,719,CAFELEF
3005,728,CAFELEF
3014,737,CAFELEF
3023,746,CAFELEF
3032,755,CAFELEF
3041,764,CAFELEF
3050,773,CAFELEF
3059,782,CAFELEF
3068,791,MED
3077,800,MED
3086,809,MED
3095,818,MED
3105,828,MED
3115,838,MED
3125,848,MED
3135,858,MED
3150,858,MED
3165,858,MED
3179,858,MED
3193,858,MED
3207,858,MED
3222,858,MED
3236,858,MED
3251,858,MED
3266,858,MED
3280,858,O2
3295,858,O2
3309,858,O2
3324,858,O2
3338,858,O2
3352,858,O2
3367,858,O2
3381,858,O2
3395,858,O2
3408,858,O2
3426,858,O2
3439,858,O2
3452,858,O2
3465,858,O2
3478,858,O2
3491,858,O2
3504,858,O2
3520,858,O2
3533,858,O2
3546,858,O2
3559,858,O2
3572,858,O2
3585,858,O2
3598,858,O2
3611,858,O2
3624,858,O2
3637,858,O2
3650,858,O2
3663,858,O2
3676,858,O2
3689,858,O2
3702,858,O2
3715,858,O2
3728,858,O2
3737,849,O2
3746,840,O2
3755,831,O2
3764,822,O2
3773,813,O2
3782,804,O2
3791,795,O2
3800,786,O2
3809,777,O2
3818,768,O2
3827,759,O2
3836,750,O2
3845,741,O2
3854,732,O2
3863,723,O2
3872,714,O2
3881,705,O2
3890,696,CAFERIGHT
3890,684,CAFERIGHT
3890,672,CAFERIGHT
3890,660,CAFERIGHT
3890,648,CAFERIGHT
3890,636,CAFERIGHT
3890,624,CAFERIGHT
3890,612,CAFERIGHT
3890,600,CAFERIGHT
3890,587,CAFERIGHT
3890,572,CAFERIGHT
3890,560,CAFERIGHT
3890,548,CAFERIGHT
3890,533,CAFERIGHT
3890,515,CAFERIGHT
3890,503,CAFERIGHT
3890,491,CAFERIGHT
3890,479,CAFERIGHT
3890,467,CAFERIGHT
3890,455,CAFERIGHT
3890,443,CAFERIGHT
3890,431,CAFERIGHT
3890,419,CAFERIGHT
3903,419,CAFERIGHT
3916,419,CAFERIGHT
3929,419,CAFERIGHT
3942,419,CAFERIGHT
3955,419,CAFERIGHT
3968,419,CAFERIGHT
3968,407,CAFERIGHT
3968,395,CAFERIGHT
3968,389,CAFERIGHT
3955,389,CAFERIGHT
3943,389,CAFERIGHT
3931,389,CAFERIGHT
3919,389,CAFERIGHT
3898,389,CAFERIGHT
3880,389,CAFERIGHT
3867,389,CAFERIGHT
3867,372,CAFERIGHT
3867,360,CAFERIGHT
3867,347,CAFERIGHT
3867,335,CAFERIGHT
3880,335,CAFERIGHT
3893,335,CAFERIGHT
3906,335,CAFERIGHT
3919,335,CAFERIGHT
