X,Y,Nearest Task
2540,1410,MED
2528,1410,MED
2513,1410,MED
2495,1410,MED
2483,1410,MED
2471,1410,MED
2458,1410,MED
2446,1410,MED
2434,1410,MED
2419,1410,MED
2407,1410,MED
2395,1410,MED
2383,1410,MED
2371,1410,MED
2359,1410,MED
2350,1401,MED
2341,1392,MED
2332,1383,MED
2332,1371,MED
2332,1359,MED
2332,1347,MED
2332,1334,MED
2332,1322,MED
2332,1310,MED
2332,1298,MED
2332,1285,MED
2332,1272,MED
2332,1260,MED
2332,1248,MED
2332,1235,MED
2332,1216,MED
2332,1204,MED
2332,1191,MED
2332,1179,MED
2332,1167,MED
2332,1155,MED
2332,1143,MED
2332,1131,MED
2332,1119,MED
2332,1107,MED
2332,1094,MED
2332,1082,MED
2332,1059,MED
2332,1047,MED
2332,1034,MED
2332,1019,MED
2332,1002,MED
2332,987,MED
2332,973,MED
2332,958,MED
2332,944,MED
2332,929,MED
2332,915,MED
2332,901,MED
2332,887,MED
2332,873,MED
2332,858,MED
2332,843,MED
2332,829,MED
2332,815,MED
2332,801,MED
2332,786,MED
2332,773,MED
2332,761,MED
2332,749,MED
2332,737,MED
2332,725,MED
2323,716,MED
2311,716,MED
2298,716,MED
2286,716,MED
2274,716,MED
2261,716,MED
2249,716,MED
2237,716,MED
2225,716,MED
2213,716,MED
2201,716,MED
2188,716,MED
2175,716,MED
2163,716,MED
2150,716,MED
2138,716,MED
2125,716,MED
2108,716,MED
2089,716,MED
2077,716,MED
2064,716,MED
2052,716,MED
2040,716,MED
2028,716,MED
2016,716,MED
2004,716,MED
1992,716,MED
1980,716,MED
1967,716,MED
1954,716,MED
1942,716,MED
1929,716,MED
1917,716,MED
1905,716,MED
1893,716,MED
1881,716,MED
1869,716,MED
1857,716,MED
1845,716,REACUP
1833,716,REACUP
1821,716,REACUP
1809,716,REACUP
1797,716,REACUP
1784,716,REACUP
1772,716,REACUP
1760,716,REACUP
1748,716,REACUP
1736,716,REACUP
1724,716,REACUP
1712,716,REACUP
1696,716,REACUP
1684,716,REACUP
1672,716,REACUP
1653,716,REACUP
1644,725,REACUP
1644,736,REACUP
1630,736,REACUP
1616,736,REACUP
1602,736,REACUP
1588,736,REACUP
1573,736,REACUP
1573,749,REACUP
1573,762,REACUP
1573,775,REACUP
1573,788,REACUP
1573,801,REACUP
1573,814,REACUP
1573,827,REACUP
1573,840,REACUP
1573,853,REACUP
1573,866,REACUP
1573,879,REACUP
1573,892,REACUP
1573,905,REACUP
1573,918,REACUP
1573,931,REACUP
1564,940,REACUP
1555,949,REACUP
1546,958,REACUP
1537,967,REACUP
1528,976,REACUP
1519,976,REACUP
1510,976,REACUP
1501,976,REACUP
1492,976,REACUP
1483,985,REACUP
1474,994,REACUP
1474,1007,REACUP
1474,1020,REACUP
1474,1033,REACUP
1474,1046,REACUP
1474,1059,REACUP
1474,1076,REACUP
1474,1089,REACUP
1474,1102,REACUP
1474,1115,REACUP
1474,1128,REACUP
1474,1141,REACUP
1474,1154,REACUP
1474,1172,REACUP
1474,1187,REACUP
1474,1200,REACUP
1474,1213,REACUP
1474,1228,REACUP
1474,1245,REACUP
1474,1258,REACUP
1474,1271,REACUP
1474,1284,REACUP
1474,1297,REACUP
1474,1310,REACUP
1474,1323,REACUP
1474,1336,REACUP
1474,1351,REACUP
1474,1370,REACUP
1474,1383,REACUP
1474,1396,REACUP
1474,1409,REACUP
1474,1422,REACUP
1474,1435,REACUP
1474,1448,REACUP
1474,1461,REACUP
1474,1474,REACDOWN
1474,1487,REACDOWN
1474,1500,REACDOWN
1487,1500,REACDOWN
1500,1500,REACDOWN
1513,1500,REACDOWN
1526,1500,REACDOWN
1539,1500,REACDOWN
1552,1500,REACDOWN
1565,1500,REACDOWN
1578,1500,REACDOWN
1591,1500,REACDOWN
1604,1500,REACDOWN
1617,1500,REACDOWN
1630,1500,REACDOWN
1643,1500,ELEC
1656,1500,ELEC
1669,1500,ELEC
1682,1500,ELEC
1695,1500,ELEC
1708,1500,ELEC
1721,1500,ELEC
1734,1500,ELEC
1747,1500,ELEC
1760,1500,ELEC
1773,1500,ELEC
1786,1500,ELEC
1799,1500,ELEC
1812,1500,ELEC
1825,1500,ELEC
1838,1500,ELEC
1851,1500,ELEC
1853,1500,ELEC
1853,1513,ELEC
1853,1526,ELEC
1853,1539,ELEC
1853,1552,ELEC
1853,1565,ELEC
1853,1578,ELEC
1853,1591,ELEC
1853,1604,ELEC
1853,1617,ELEC
1853,1630,ELEC
1853,1643,ELEC
1866,1643,ELEC
1879,1643,ELEC
1892,1643,ELEC
1905,1643,ELEC
1918,1643,ELEC
1931,1643,ELEC
1944,1643,ELEC
1957,1643,ELEC
1957,1631,ELEC
1957,1618,ELEC
1957,1606,ELEC
1945,1606,ELEC
1933,1606,ELEC
1921,1606,ELEC
