X,Y,Nearest Task
2540,1410,MED
2528,1410,MED
2516,1410,MED
2504,1410,MED
2492,1410,MED
2479,1410,MED
2467,1410,MED
2455,1410,MED
2443,1410,MED
2431,1410,MED
2419,1410,MED
2406,1410,MED
2391,1410,MED
2379,1410,MED
2366,1410,MED
2354,1410,MED
2342,1410,MED
2330,1410,MED
2330,1398,MED
2330,1386,MED
2330,1373,MED
2330,1361,MED
2330,1344,MED
2330,1332,MED
2330,1315,MED
2330,1301,MED
2330,1289,MED
2330,1275,MED
2330,1259,MED
2330,1247,MED
2330,1235,MED
2330,1223,MED
2330,1211,MED
2330,1198,MED
2330,1182,MED
2330,1170,MED
2330,1155,MED
2330,1141,MED
2330,1129,MED
2330,1101,MED
2330,1078,MED
2330,1066,MED
2330,1054,MED
2330,1042,MED
2330,1029,MED
2330,1017,MED
2330,1005,MED
2330,993,MED
2330,981,MED
2330,968,MED
2330,956,MED
2330,944,MED
2330,932,MED
2330,920,MED
2330,908,MED
2330,896,MED
2330,884,MED
2330,872,MED
2330,859,MED
2330,847,MED
2330,835,MED
2330,823,MED
2330,811,MED
2330,799,MED
2330,787,MED
2330,775,MED
2330,763,MED
2317,763,MED
2305,763,MED
2293,763,MED
2281,763,MED
2280,763,MED
2280,751,MED
2280,739,MED
2280,726,MED
2280,714,MED
2280,702,MED
2280,690,CAFELEF
2280,678,CAFELEF
2280,665,CAFELEF
2280,653,CAFELEF
2280,641,CAFELEF
2280,629,CAFELEF
2280,621,CAFELEF
2268,621,CAFELEF
2256,621,CAFELEF
2240,621,CAFELEF
2228,621,CAFELEF
2216,621,CAFELEF
2204,621,CAFELEF
2191,621,CAFELEF
2179,621,CAFELEF
2167,621,CAFELEF
2155,621,CAFELEF
2143,621,CAFELEF
2131,621,CAFELEF
2119,621,CAFELEF
2100,621,CAFELEF
2081,621,CAFELEF
2069,621,CAFELEF
2057,621,CAFELEF
2045,621,CAFELEF
2033,621,CAFELEF
2021,621,CAFELEF
2009,621,CAFELEF
1997,621,CAFELEF
1984,621,CAFELEF
1972,621,CAFELEF
1960,621,CAFELEF
1948,621,CAFELEF
1936,621,CAFELEF
1924,621,CAFELEF
1910,621,CAFELEF
1895,621,CAFELEF
1883,621,CAFELEF
1871,621,CAFELEF
1859,621,CAFELEF
1847,621,REACUP
1834,621,REACUP
1822,621,REACUP
1810,621,REACUP
1798,621,REACUP
1786,621,REACUP
1774,621,REACUP
1762,621,REACUP
1748,621,REACUP
1732,621,REACUP
1719,621,REACUP
1707,621,REACUP
1693,621,REACUP
1678,621,REACUP
1666,621,REACUP
1654,621,REACUP
1654,634,REACUP
1654,647,REACUP
1654,660,REACUP
1654,673,REACUP
1654,686,REACUP
1654,699,REACUP
1654,712,REACUP
1654,725,REACUP
1654,736,REACUP
1645,736,REACUP
1636,745,REACUP
1627,754,REACUP
1618,763,REACUP
1609,772,REACUP
1597,772,REACUP
1597,785,REACUP
1597,798,REACUP
1597,811,REACUP
1597,824,REACUP
1597,837,REACUP
1597,850,REACUP
1597,863,REACUP
1588,872,REACUP
1579,881,REACUP
1569,891,REACUP
1560,900,REACUP
1551,909,REACUP
1542,918,REACUP
1528,932,REACUP
1518,942,REACUP
1509,951,REACUP
1500,960,REACUP
1486,974,REACUP
1465,995,REACUP
1452,1008,REACUP
1452,1021,REACUP
1452,1034,REACUP
1452,1047,REACUP
1452,1061,REACUP
1452,1079,REACUP
1452,1092,REACUP
1452,1105,REACUP
1452,1118,REACUP
1452,1131,REACUP
1452,1144,REACUP
1452,1157,REACUP
1452,1170,REACUP
1452,1183,REACUP
1452,1196,REACUP
1452,1209,REACUP
1452,1226,REACUP
1452,1239,REACUP
1452,1252,REACUP
1452,1265,REACUP
1452,1278,REACUP
1452,1291,REACUP
1452,1304,REACUP
1452,1317,REACUP
1452,1330,REACUP
1452,1344,REACUP
1452,1359,REACUP
1452,1372,REACUP
1452,1385,REACUP
1452,1398,REACUP
1452,1412,REACUP
1452,1432,REACUP
1452,1445,REACUP
1452,1458,REACUP
1452,1471,REACDOWN
1452,1484,REACDOWN
1452,1497,REACDOWN
1452,1510,REACDOWN
1452,1523,REACDOWN
1452,1536,REACDOWN
1452,1549,REACDOWN
1452,1566,REACDOWN
1452,1579,REACDOWN
1452,1600,REACDOWN
1452,1614,REACDOWN
1452,1627,REACDOWN
1452,1640,REACDOWN
1452,1653,REACDOWN
1452,1666,REACDOWN
1452,1679,REACDOWN
1452,1692,REACDOWN
1452,1705,REACDOWN
1452,1718,REACDOWN
1452,1731,REACDOWN
1452,1744,REACDOWN
1452,1757,REACDOWN
1452,1770,REACDOWN
1452,1783,REACDOWN
1452,1796,REACDOWN
1452,1809,REACDOWN
1452,1822,REACDOWN
1452,1835,REACDOWN
1452,1848,REACDOWN
1452,1861,REACDOWN
1452,1874,REACDOWN
1452,1887,REACDOWN
1452,1900,REACDOWN
1452,1913,REACDOWN
1452,1926,REACDOWN
1452,1939,REACDOWN
1452,1952,REACDOWN
1452,1965,REACDOWN
1452,1978,REACDOWN
1452,1991,REACDOWN
1452,2004,REACDOWN
1452,2017,REACDOWN
1452,2030,REACDOWN
1452,2040,REACDOWN
1465,2040,REACDOWN
1478,2040,REACDOWN
1491,2040,REACDOWN
1504,2040,REACDOWN
1517,2040,REACDOWN
1530,2040,REACDOWN
1543,2040,REACDOWN
1556,2040,REACDOWN
1569,2040,REACDOWN
1582,2040,REACDOWN
1595,2040,REACDOWN
1595,2055,REACDOWN
