X,Y,Nearest Task
2540,1410,MED
2527,1410,MED
2515,1410,MED
2502,1410,MED
2490,1410,MED
2478,1410,MED
2466,1410,MED
2454,1410,MED
2442,1410,MED
2428,1410,MED
2428,1394,MED
2428,1382,MED
2428,1370,MED
2428,1358,MED
2428,1346,MED
2428,1330,MED
2428,1318,MED
2428,1306,MED
2428,1294,MED
2428,1282,MED
2428,1270,MED
2428,1258,MED
2428,1246,MED
2428,1234,MED
2428,1222,MED
2419,1213,MED
2410,1204,MED
2401,1195,MED
2392,1186,MED
2383,1177,MED
2374,1168,MED
2365,1159,MED
2356,1150,MED
2347,1141,MED
2347,1129,MED
2347,1117,MED
2347,1105,MED
2347,1093,MED
2347,1081,MED
2347,1068,MED
2347,1055,MED
2347,1037,MED
2347,1025,MED
2347,1012,MED
2347,1000,MED
2347,988,MED
2347,976,MED
2347,964,MED
2347,952,MED
2347,939,MED
2347,927,MED
2347,915,MED
2347,902,MED
2347,890,MED
2347,878,MED
2347,866,MED
2347,854,MED
2347,842,MED
2347,829,MED
2347,817,MED
2347,804,MED
2347,792,MED
2347,780,MED
2347,768,MED
2347,756,MED
2347,744,MED
2347,732,MED
2347,720,MED
2347,708,MED
2347,696,CAFELEF
2347,684,CAFELEF
2347,672,CAFELEF
2356,663,CAFELEF
2365,654,CAFELEF
2374,645,CAFELEF
2383,636,CAFELEF
2392,627,CAFELEF
2401,621,CAFELEF
2410,621,CAFELEF
2423,621,CAFELEF
2436,621,CAFELEF
2449,621,CAFELEF
2462,621,CAFELEF
2475,621,CAFELEF
2488,621,CAFELEF
2501,621,CAFELEF
2514,621,CAFELEF
2527,621,CAFELEF
2540,621,CAFELEF
2553,621,CAFELEF
2560,621,CAFELEF
2560,634,CAFELEF
2560,647,CAFELEF
2560,660,CAFELEF
2560,673,CAFELEF
2560,686,CAFELEF
2560,699,CAFELEF
2560,712,CAFELEF
2560,725,CAFELEF
2573,725,CAFELEF
2586,725,CAFELEF
2599,725,CAFELEF
2612,725,CAFELEF
2625,725,CAFELEF
2638,725,CAFELEF
2651,725,CAFELEF
2664,725,CAFELEF
2677,725,CAFELEF
2690,725,CAFELEF
2703,725,CAFELEF
2716,725,CAFELEF
2729,725,CAFELEF
2742,725,CAFELEF
2755,725,CAFELEF
2768,725,CAFELEF
2781,725,CAFELEF
2794,725,CAFELEF
2807,725,CAFELEF
2820,725,CAFELEF
2835,725,CAFELEF
2849,725,CAFELEF
2862,725,CAFELEF
2881,725,CAFELEF
2904,725,CAFELEF
2920,725,CAFELEF
2933,725,CAFELEF
2946,725,CAFELEF
2959,725,CAFELEF
2972,725,CAFELEF
2985,725,CAFELEF
2998,725,CAFELEF
3011,725,CAFELEF
3024,725,CAFELEF
3038,725,CAFELEF
3051,725,CAFELEF
3064,725,CAFELEF
3077,725,CAFELEF
3086,734,CAFELEF
3095,743,CAFELEF
3104,752,CAFELEF
3113,761,CAFELEF
3122,770,CAFELEF
3131,779,CAFELEF
3140,788,CAFELEF
3140,801,MED
3140,814,MED
3140,829,MED
3140,854,MED
3140,867,MED
3140,880,MED
3140,893,MED
3140,900,MED
3158,900,MED
3171,900,MED
3184,900,MED
3197,900,MED
3210,900,MED
3223,900,MED
3236,900,MED
3255,900,MED
3284,900,O2
3297,900,O2
3297,917,O2
3297,930,O2
3297,943,O2
3297,956,O2
3297,969,O2
3297,982,O2
3297,995,O2
3297,1008,O2
3297,1021,O2
3297,1034,O2
3297,1047,O2
3297,1060,O2
3297,1073,O2
3297,1086,MED
3297,1099,MED
3297,1112,MED
3297,1125,MED
3297,1138,MED
3297,1151,MED
3297,1164,MED
3297,1177,MED
3297,1190,MED
3297,1203,MED
3297,1216,MED
3297,1229,MED
3297,1242,MED
3297,1255,MED
3297,1268,MED
3297,1281,MED
3297,1294,MED
3297,1307,MED
3297,1320,MED
3297,1333,MED
3297,1346,MED
3297,1359,MED
3297,1372,MED
3297,1385,MED
3297,1398,MED
3297,1411,MED
3297,1424,MED
3297,1437,MED
3297,1450,MED
3297,1463,MED
3297,1476,MED
3297,1489,MED
3297,1502,MED
3297,1515,MED
3297,1528,MED
3297,1541,MED
3297,1554,MED
3297,1567,MED
3297,1580,MED
3297,1594,MED
3297,1607,MED
3297,1620,MED
3297,1633,MED
3297,1646,MED
3297,1659,MED
3297,1672,MED
3297,1685,MED
3297,1698,MED
3297,1711,MED
3297,1724,MED
3297,1737,MED
3297,1750,MED
3297,1763,MED
3297,1776,MED
3306,1785,MED
3315,1794,MED
3324,1803,MED
3333,1812,MED
3342,1821,MED
3342,1834,MED
3342,1847,MED
3342,1860,ELEC
3342,1873,ELEC
3342,1886,ELEC
3342,1899,ELEC
3342,1912,ELEC
3342,1925,ELEC
3342,1938,ELEC
3342,1951,STOR
3342,1964,STOR
3342,1977,STOR
3342,1990,STOR
3342,2003,STOR
3351,2012,STOR
3360,2021,STOR
3369,2030,STOR
3378,2032,STOR
3387,2041,STOR
3396,2050,STOR
3405,2059,STOR
3414,2068,STOR
3423,2077,STOR
3423,2090,STOR
3423,2103,STOR
3423,2116,STOR
3423,2129,STOR
3423,2142,STOR
3423,2155,STOR
3423,2168,STOR
3423,2181,STOR
3423,2194,STOR
3423,2207,STOR
3423,2220,STOR
3423,2233,STOR
3423,2246,STOR
3423,2259,STOR
3423,2272,STOR
3423,2285,STOR
3423,2298,STOR
3423,2311,STOR
3423,2324,STOR
3423,2337,STOR
3423,2350,STOR
3423,2363,STOR
3423,2376,STOR
3423,2389,STOR
3423,2402,STOR
3423,2415,STOR
3423,2428,STOR
3423,2441,STOR
3423,2454,STOR
3423,2467,STOR
3423,2480,STOR
3423,2493,STOR
3423,2506,STOR
3423,2519,STOR
3423,2532,STOR
3423,2545,STOR
3423,2558,STOR
3423,2571,STOR
3423,2584,STOR
3423,2597,STOR
3423,2610,STOR
3423,2623,STOR
3423,2636,STOR
3423,2649,STOR
3432,2658,STOR
3441,2667,STOR
3450,2676,STOR
3459,2685,STOR
3459,2698,STOR
3459,2711,STOR
3459,2724,STOR
3459,2737,STOR
3459,2750,STOR
3459,2763,STOR
3459,2776,STOR
3459,2789,STOR
3459,2802,STOR
3459,2815,STOR
3459,2828,STOR
3459,2841,STOR
3459,2854,STOR
3459,2867,STOR
3459,2870,STOR
