X,Y,Nearest Task
2540,1410,MED
2540,1396,MED
2540,1382,MED
2528,1382,MED
2515,1382,MED
2502,1382,MED
2490,1382,MED
2478,1382,MED
2466,1382,MED
2454,1382,MED
2442,1382,MED
2430,1382,MED
2418,1382,MED
2406,1382,MED
2393,1382,MED
2381,1382,MED
2381,1369,MED
2381,1357,MED
2381,1345,MED
2381,1333,MED
2381,1321,MED
2381,1309,MED
2381,1296,MED
2381,1284,MED
2381,1272,MED
2381,1256,MED
2381,1242,MED
2381,1230,MED
2381,1218,MED
2381,1206,MED
2381,1194,MED
2381,1181,MED
2381,1169,MED
2381,1157,MED
2381,1145,MED
2381,1132,MED
2381,1120,MED
2381,1108,MED
2381,1091,MED
2381,1078,MED
2381,1056,MED
2381,1039,MED
2381,1027,MED
2381,1014,MED
2381,1002,MED
2381,990,MED
2381,978,MED
2381,966,MED
2381,954,MED
2381,942,MED
2381,928,MED
2381,916,MED
2381,904,MED
2381,901,MED
2372,901,MED
2363,892,MED
2354,883,MED
2345,874,MED
2336,865,MED
2327,856,MED
2318,847,MED
2309,838,MED
2309,826,MED
2309,814,MED
2309,801,MED
2309,789,MED
2309,777,MED
2309,765,MED
2309,753,MED
2309,739,MED
2309,724,MED
2294,724,MED
2280,724,MED
2268,724,MED
2249,724,MED
2233,724,MED
2221,724,MED
2209,724,MED
2197,724,MED
2169,724,MED
2147,724,MED
2131,724,MED
2119,724,MED
2107,724,MED
2094,724,MED
2075,724,MED
2057,724,MED
2039,724,MED
2026,724,MED
2014,724,MED
2002,724,MED
1990,724,MED
1978,724,MED
1965,724,MED
1953,724,MED
1941,724,MED
1929,724,MED
1917,724,MED
1904,724,MED
1892,724,MED
1879,724,MED
1867,724,MED
1855,724,MED
1843,724,REACUP
1830,724,REACUP
1818,724,REACUP
1806,724,REACUP
1794,724,REACUP
1782,724,REACUP
1770,724,REACUP
1758,724,REACUP
1746,724,REACUP
1734,724,REACUP
1721,724,REACUP
1708,724,REACUP
1696,724,REACUP
1684,724,REACUP
1672,724,REACUP
1660,724,REACUP
1648,724,REACUP
1636,724,REACUP
1624,724,REACUP
1624,737,REACUP
1624,750,REACUP
1624,763,REACUP
1624,776,REACUP
1624,789,REACUP
1624,802,REACUP
1624,815,REACUP
1624,829,REACUP
1624,843,REACUP
1624,857,REACUP
1624,872,REACUP
1624,886,REACUP
1624,899,REACUP
1610,899,REACUP
1597,899,REACUP
1584,899,REACUP
1571,899,REACUP
1558,899,REACUP
1544,899,REACUP
1530,899,REACUP
1517,899,REACUP
1503,899,REACUP
1490,899,REACUP
1477,899,REACUP
