X,Y,Nearest Task
2540,1410,MED
2528,1410,MED
2516,1410,MED
2504,1410,MED
2492,1410,MED
2480,1410,MED
2465,1410,MED
2446,1410,MED
2434,1410,MED
2422,1410,MED
2410,1410,MED
2398,1410,MED
2386,1410,MED
2374,1410,MED
2362,1410,MED
2362,1398,MED
2362,1386,MED
2362,1369,MED
2362,1357,MED
2362,1345,MED
2362,1333,MED
2362,1302,MED
2362,1268,MED
2362,1256,MED
2362,1244,MED
2362,1227,MED
2362,1212,MED
2362,1193,MED
2362,1176,MED
2362,1162,MED
2362,1150,MED
2362,1137,MED
2362,1125,MED
2362,1113,MED
2362,1100,MED
2362,1087,MED
2362,1074,MED
2362,1062,MED
2362,1050,MED
2362,1037,MED
2362,1025,MED
2362,1013,MED
2362,1001,MED
2362,989,MED
2362,977,MED
2362,965,MED
2362,940,MED
2362,924,MED
2362,912,MED
2362,900,MED
2362,888,MED
2362,876,MED
2362,864,MED
2362,851,MED
2362,838,MED
2362,826,MED
2362,814,MED
2362,802,MED
2362,790,MED
2362,778,MED
2362,766,MED
2362,754,MED
2362,742,MED
2362,730,MED
2362,718,MED
2362,706,CAFELEF
2362,694,CAFELEF
2362,682,CAFELEF
2362,670,CAFELEF
2375,670,CAFELEF
2393,670,CAFELEF
2406,670,CAFELEF
2419,670,CAFELEF
2432,670,CAFELEF
2445,670,CAFELEF
2458,670,CAFELEF
2471,670,CAFELEF
2484,670,CAFELEF
2497,670,CAFELEF
2510,670,CAFELEF
2523,670,CAFELEF
2538,670,CAFELEF
2557,670,CAFELEF
2570,670,CAFELEF
2583,670,CAFELEF
2596,670,CAFELEF
2609,670,CAFELEF
2622,670,CAFELEF
2635,670,CAFELEF
2648,670,CAFELEF
2661,670,CAFELEF
2674,670,CAFELEF
2687,670,CAFELEF
2700,670,CAFELEF
2713,670,CAFELEF
2726,670,CAFELEF
2739,670,CAFELEF
2752,670,CAFELEF
2765,670,CAFELEF
2778,670,CAFELEF
2791,670,CAFELEF
2804,670,CAFELEF
2817,670,CAFELEF
2830,670,CAFELEF
2839,679,CAFELEF
2839,692,CAFELEF
2839,705,CAFELEF
2839,718,CAFELEF
2839,731,CAFELEF
2839,744,CAFELEF
2839,757,CAFELEF
2839,770,MED
2839,783,MED
2839,796,MED
2839,809,MED
2839,822,MED
2839,835,MED
2839,848,MED
2852,848,MED
2865,848,MED
2878,848,MED
2891,848,MED
2904,848,MED
2917,848,MED
2930,848,MED
2943,848,MED
2956,848,MED
2969,848,MED
2982,848,MED
2995,848,MED
3008,848,MED
3021,848,MED
3034,848,MED
3047,848,MED
3060,848,MED
3073,848,MED
3086,848,MED
3102,848,MED
3115,848,MED
3128,848,MED
3141,848,MED
3154,848,MED
3167,848,MED
3180,848,MED
3193,848,MED
3206,848,MED
3218,860,MED
3227,869,MED
3236,878,MED
3245,887,MED
3254,896,MED
3263,905,MED
3263,918,MED
3263,931,MED
3276,931,MED
3296,931,O2
3309,931,O2
3322,931,O2
3335,931,O2
3348,931,O2
3361,931,O2
3374,931,O2
3387,931,O2
3400,931,O2
3413,931,O2
3426,931,O2
3439,931,O2
3447,931,O2
3447,920,O2
3447,911,O2
3447,902,O2
3447,893,O2
3456,884,O2
3465,875,O2
3474,866,O2
3483,857,O2
3492,848,O2
3501,839,O2
3510,830,O2
3523,830,O2
3543,830,O2
3566,830,O2
3583,830,O2
3597,830,O2
3610,830,O2
3623,830,O2
3638,830,O2
3655,830,O2
3667,830,O2
3680,830,O2
3693,830,O2
3707,830,O2
3723,830,O2
3736,830,O2
3749,830,O2
3762,830,O2
3775,830,O2
3788,830,O2
3801,830,O2
3814,830,O2
3827,830,O2
3840,830,O2
3853,830,O2
3866,830,O2
3879,830,O2
3888,821,O2
3897,812,O2
3910,812,O2
3923,812,O2
3936,812,O2
3949,812,O2
3962,812,O2
3975,812,O2
3980,812,O2
3980,800,O2
3980,788,O2
3980,776,O2
3980,764,O2
3980,748,O2
3980,723,O2
3980,699,O2
3980,686,CAFERIGHT
3980,674,CAFERIGHT
3980,662,CAFERIGHT
3993,662,CAFERIGHT
4006,662,CAFERIGHT
4019,662,CAFERIGHT
4034,662,CAFERIGHT
4054,662,CAFERIGHT
4067,662,CAFERIGHT
4080,662,CAFERIGHT
4096,662,CAFERIGHT
4113,662,CAFERIGHT
4129,662,CAFERIGHT
4143,662,O2
4158,662,O2
4173,662,O2
4188,662,O2
4203,662,O2
4218,662,O2
4233,662,O2
4248,662,O2
4263,662,O2
4278,662,O2
4293,662,O2
4308,662,O2
4324,662,O2
4340,662,O2
4356,662,O2
4372,662,O2
4387,662,O2
4402,662,O2
4417,662,O2
4432,662,O2
4443,673,O2
4443,688,O2
4443,703,O2
4443,719,O2
4443,734,O2
4443,736,O2
4454,736,O2
4464,736,O2
4475,736,O2
4490,736,O2
4505,736,O2
4520,736,O2
4535,736,O2
4550,736,O2
4565,736,O2
4565,751,O2
4565,766,O2
4565,781,O2
4565,796,O2
4565,811,O2
4565,826,O2
4565,841,O2
4565,856,O2
4565,871,O2
4565,886,O2
4565,902,O2
4565,917,O2
4565,932,O2
4565,947,O2
4565,962,O2
4565,977,O2
4565,992,O2
4565,1007,O2
4565,1022,O2
4565,1037,O2
4565,1052,O2
4565,1067,O2
4565,1082,O2
4565,1097,O2
4565,1112,O2
4565,1129,O2
4576,1140,O2
4587,1151,O2
4598,1162,O2
4609,1173,O2
4620,1184,O2
4631,1195,O2
4646,1195,O2
4660,1195,O2
