X,Y,Nearest Task
2540,1410,MED
2528,1410,MED
2516,1410,MED
2501,1410,MED
2479,1410,MED
2467,1410,MED
2455,1410,MED
2443,1410,MED
2431,1410,MED
2419,1410,MED
2407,1410,MED
2395,1410,MED
2383,1410,MED
2371,1410,MED
2358,1410,MED
2346,1410,MED
2346,1398,MED
2346,1386,MED
2346,1374,MED
2346,1361,MED
2346,1349,MED
2346,1337,MED
2346,1325,MED
2346,1312,MED
2346,1295,MED
2346,1282,MED
2346,1270,MED
2346,1258,MED
2346,1246,MED
2346,1234,MED
2346,1222,MED
2346,1210,MED
2346,1198,MED
2346,1186,MED
2346,1174,MED
2346,1162,MED
2346,1150,MED
2346,1136,MED
2346,1117,MED
2346,1105,MED
2346,1093,MED
2346,1081,MED
2346,1068,MED
2346,1056,MED
2346,1044,MED
2346,1032,MED
2346,1020,MED
2346,1008,MED
2346,996,MED
2346,984,MED
2346,971,MED
2346,959,MED
2346,947,MED
2346,935,MED
2346,922,MED
2346,909,MED
2346,897,MED
2346,885,MED
2346,873,MED
2346,861,MED
2346,849,MED
2346,837,MED
2346,818,MED
2346,806,MED
2346,794,MED
2346,782,MED
2346,770,MED
2346,754,MED
2346,737,MED
2346,725,MED
2346,710,MED
2329,710,MED
2316,710,MED
2304,710,MED
2292,710,MED
2278,710,MED
2263,710,MED
2251,710,MED
2239,710,MED
2227,710,MED
2215,710,MED
2203,710,MED
2191,710,MED
2179,710,MED
2167,710,MED
2155,710,MED
2143,710,MED
2131,710,MED
2119,710,MED
2107,710,MED
2095,710,MED
2078,710,MED
2066,710,MED
2054,710,MED
2041,710,MED
2029,710,MED
2017,710,MED
2005,710,MED
1993,710,MED
1981,710,MED
1969,710,MED
1957,710,MED
1944,710,MED
1932,710,MED
1920,710,MED
1908,710,MED
1896,710,MED
1884,710,MED
1872,710,MED
1860,710,MED
1848,710,REACUP
1836,710,REACUP
1824,710,REACUP
1811,710,REACUP
1798,710,REACUP
1786,710,REACUP
1774,710,REACUP
1758,710,REACUP
1739,710,REACUP
1722,710,REACUP
1710,710,REACUP
1698,710,REACUP
1686,710,REACUP
1674,710,REACUP
1662,710,REACUP
1650,710,REACUP
1637,710,REACUP
1625,710,REACUP
1616,719,REACUP
1607,728,REACUP
1599,736,REACUP
1599,749,REACUP
1599,762,REACUP
1599,775,REACUP
1599,788,REACUP
1599,801,REACUP
1599,814,REACUP
1599,827,REACUP
1599,840,REACUP
1599,853,REACUP
1599,866,REACUP
1599,879,REACUP
1599,892,REACUP
1599,905,REACUP
1599,918,REACUP
1599,931,REACUP
1599,944,REACUP
1590,953,REACUP
1581,962,REACUP
1572,971,REACUP
1563,976,REACUP
1554,976,REACUP
1542,976,REACUP
1533,976,REACUP
1524,976,REACUP
1515,976,REACUP
1506,976,REACUP
1497,976,REACUP
1488,976,REACUP
1479,985,REACUP
1479,998,REACUP
1479,1011,REACUP
1479,1024,REACUP
1479,1037,REACUP
1479,1050,REACUP
1479,1063,REACUP
1479,1076,REACUP
1479,1089,REACUP
1479,1102,REACUP
1479,1115,REACUP
1479,1128,REACUP
1479,1141,REACUP
1479,1154,REACUP
1479,1167,REACUP
1479,1180,REACUP
1479,1193,REACUP
1479,1206,REACUP
1479,1219,REACUP
1479,1232,REACUP
1479,1245,REACUP
1479,1258,REACUP
1479,1275,REACUP
1479,1293,REACUP
1479,1321,REACUP
1479,1338,REACUP
1479,1351,REACUP
1479,1364,REACUP
1479,1377,REACUP
1479,1390,REACUP
1479,1403,REACUP
1479,1416,REACUP
1479,1429,REACUP
1479,1442,REACUP
1479,1455,REACUP
1479,1468,REACDOWN
1470,1477,REACDOWN
1461,1486,REACDOWN
1449,1486,REACDOWN
1429,1486,REACDOWN
1412,1486,REACDOWN
1400,1486,REACDOWN
1388,1486,REACDOWN
1376,1486,REACDOWN
1364,1486,REACDOWN
1352,1486,REACDOWN
1340,1486,REACDOWN
1322,1486,REACDOWN
1304,1486,REACDOWN
1292,1486,REACDOWN
1280,1486,REACDOWN
1266,1486,REACDOWN
1252,1486,REACDOWN
1239,1486,REACDOWN
1222,1486,REACDOWN
1208,1486,REACDOWN
1196,1486,REACDOWN
1182,1486,REACDOWN
1169,1486,REACDOWN
1157,1486,REACDOWN
1145,1486,REACDOWN
1132,1486,REACDOWN
1120,1486,REACDOWN
1108,1486,REACDOWN
1095,1486,REACDOWN
1078,1486,REACDOWN
1066,1486,REACDOWN
1054,1486,REACDOWN
1042,1486,REACDOWN
1030,1486,REACDOWN
1018,1486,REACDOWN
1006,1486,REACDOWN
994,1486,REACDOWN
982,1486,REACDOWN
964,1486,REACDOWN
945,1486,REACDOWN
933,1486,REACDOWN
917,1486,REACDOWN
903,1486,REACDOWN
891,1486,REACDOWN
878,1486,REACDOWN
865,1486,REACDOWN
853,1486,REACDOWN
852,1486,REACDOWN
