X,Y,Nearest Task
2540,1410,MED
2540,1398,MED
2540,1379,MED
2540,1347,MED
2540,1335,MED
2540,1322,MED
2540,1310,MED
2540,1298,MED
2531,1289,MED
2522,1280,MED
2513,1271,MED
2504,1262,MED
2495,1253,MED
2485,1243,MED
2476,1234,MED
2467,1225,MED
2458,1216,MED
2449,1208,MED
2440,1208,MED
2431,1208,MED
2422,1208,MED
2413,1199,MED
2404,1190,MED
2395,1181,MED
2386,1172,MED
2377,1163,MED
2368,1154,MED
2359,1145,MED
2350,1136,MED
2341,1127,MED
2341,1114,MED
2341,1094,MED
2341,1082,MED
2341,1070,MED
2341,1058,MED
2341,1046,MED
2341,1034,MED
2341,1022,MED
2341,1009,MED
2341,997,MED
2341,985,MED
2341,972,MED
2341,960,MED
2341,948,MED
2341,936,MED
2341,922,MED
2341,907,MED
2341,894,MED
2341,882,MED
2341,869,MED
2341,857,MED
2341,844,MED
2341,832,MED
2341,820,MED
2341,807,MED
2341,795,MED
2341,783,MED
2341,770,MED
2341,753,MED
2341,741,MED
2341,729,MED
2341,717,MED
2341,705,CAFELEF
2341,693,CAFELEF
2354,693,CAFELEF
2370,693,CAFELEF
2387,693,CAFELEF
2400,693,CAFELEF
2413,693,CAFELEF
2426,693,CAFELEF
2440,693,CAFELEF
2463,693,CAFELEF
2476,693,CAFELEF
2490,693,CAFELEF
2503,693,CAFELEF
2517,693,CAFELEF
2535,693,CAFELEF
2548,693,CAFELEF
2561,693,CAFELEF
2574,693,CAFELEF
2587,693,CAFELEF
2600,693,CAFELEF
2613,693,CAFELEF
2626,693,CAFELEF
2639,693,CAFELEF
2652,693,CAFELEF
2665,693,CAFELEF
2684,693,CAFELEF
2701,693,CAFELEF
2714,693,CAFELEF
2727,693,CAFELEF
2740,693,CAFELEF
2753,693,CAFELEF
2766,693,CAFELEF
2779,693,CAFELEF
2792,693,CAFELEF
2805,693,CAFELEF
2818,693,CAFELEF
2831,693,CAFELEF
2843,705,CAFELEF
2852,714,CAFELEF
2861,723,CAFELEF
2870,732,CAFELEF
2879,741,CAFELEF
2888,750,CAFELEF
2897,759,CAFELEF
2906,768,CAFELEF
2924,786,MED
2938,800,MED
2947,809,MED
2956,818,MED
2973,818,MED
2989,818,MED
3002,818,MED
3015,818,MED
3028,818,MED
3041,818,MED
3054,818,MED
3067,818,MED
3080,818,MED
3093,818,MED
3106,818,MED
3119,818,MED
3136,818,MED
3149,818,MED
3160,818,MED
3160,827,MED
3160,836,MED
3160,845,MED
3169,854,MED
3178,863,MED
3187,872,MED
3196,881,MED
3205,890,MED
3214,899,MED
3223,908,MED
3236,908,MED
3249,908,MED
3262,908,MED
3275,908,MED
3288,908,O2
3301,908,O2
3314,908,O2
3327,908,O2
3343,908,O2
3356,908,O2
3369,908,O2
3382,908,O2
3395,908,O2
3408,908,O2
3421,908,O2
3434,908,O2
3447,908,O2
3447,899,O2
3447,890,O2
3456,881,O2
3465,872,O2
3474,863,O2
3483,854,O2
3492,845,O2
3501,836,O2
3501,818,O2
3501,804,O2
3501,792,O2
3510,783,O2
3519,774,O2
3528,765,O2
3538,755,CAFERIGHT
3547,746,CAFERIGHT
3556,737,CAFERIGHT
3565,728,CAFERIGHT
3574,719,CAFERIGHT
3583,710,CAFERIGHT
3596,710,CAFERIGHT
3609,710,CAFERIGHT
3622,710,CAFERIGHT
3638,710,CAFERIGHT
3656,710,CAFERIGHT
3669,710,CAFERIGHT
3682,710,CAFERIGHT
3695,710,CAFERIGHT
3708,710,CAFERIGHT
3725,710,CAFERIGHT
3738,710,CAFERIGHT
3751,710,CAFERIGHT
3764,710,CAFERIGHT
3777,710,CAFERIGHT
3790,710,CAFERIGHT
3803,710,CAFERIGHT
3816,710,CAFERIGHT
3829,710,CAFERIGHT
3842,710,CAFERIGHT
3856,710,O2
3878,710,O2
3891,710,O2
3904,710,O2
3917,710,O2
3930,710,O2
3943,710,O2
3956,710,O2
3969,710,O2
3982,710,O2
3995,710,O2
4008,710,O2
4029,710,O2
4042,710,O2
4055,710,O2
4068,710,O2
4081,710,O2
4094,710,O2
4107,710,O2
4120,710,O2
4133,710,O2
4146,710,O2
4159,710,O2
4172,710,O2
4185,710,O2
4198,710,O2
4211,710,O2
4224,710,O2
4237,710,O2
4250,710,O2
4263,710,O2
4276,710,O2
4285,701,O2
4294,692,O2
4294,680,O2
4294,668,O2
4294,655,O2
4294,649,O2
4303,649,O2
4319,649,O2
4335,649,O2
4348,649,O2
4361,649,O2
4374,649,O2
4387,649,O2
4400,649,O2
4413,649,O2
4426,649,O2
4426,637,O2
4426,625,O2
4426,606,CAFERIGHT
4426,584,CAFERIGHT
4426,572,CAFERIGHT
4426,560,CAFERIGHT
4426,548,CAFERIGHT
4426,536,CAFERIGHT
4435,527,CAFERIGHT
4449,513,CAFERIGHT
4458,504,CAFERIGHT
4467,495,CAFERIGHT
4476,486,CAFERIGHT
4485,477,CAFERIGHT
4494,468,CAFERIGHT
4507,468,CAFERIGHT
4520,468,CAFERIGHT
4533,468,CAFERIGHT
4533,455,CAFERIGHT
4533,443,CAFERIGHT
4533,431,CAFERIGHT
4533,418,CAFERIGHT
4521,418,CAFERIGHT
4521,405,CAFERIGHT
4521,389,CAFERIGHT
4521,377,CAFERIGHT
