X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1236,NAVI
5432,1249,NAVI
5432,1262,NAVI
5432,1275,NAVI
5432,1288,NAVI
5432,1301,NAVI
5432,1314,NAVI
5432,1327,NAVI
5432,1341,NAVI
5432,1354,NAVI
5432,1367,NAVI
5432,1380,NAVI
5432,1393,NAVI
5432,1406,NAVI
5414,1406,NAVI
5402,1406,NAVI
5390,1406,NAVI
5378,1406,NAVI
5366,1406,NAVI
5354,1406,NAVI
5342,1406,NAVI
5328,1406,NAVI
5312,1406,NAVI
5299,1406,NAVI
5287,1406,NAVI
5275,1406,NAVI
5263,1406,NAVI
5251,1406,NAVI
5238,1406,NAVI
5226,1406,NAVI
5213,1406,NAVI
5201,1406,NAVI
5186,1406,NAVI
5173,1406,NAVI
5161,1406,NAVI
5149,1406,NAVI
5136,1406,NAVI
5124,1406,NAVI
5112,1406,NAVI
5095,1406,NAVI
5083,1406,NAVI
5063,1406,NAVI
5046,1406,NAVI
5034,1406,NAVI
5022,1406,NAVI
5010,1406,NAVI
4995,1406,NAVI
4978,1406,NAVI
4966,1406,NAVI
4954,1406,NAVI
4942,1406,NAVI
4930,1406,NAVI
4917,1406,NAVI
4904,1406,NAVI
4892,1406,NAVI
4882,1396,NAVI
4873,1387,NAVI
4873,1375,NAVI
4873,1363,NAVI
4873,1350,NAVI
4873,1335,NAVI
4873,1323,NAVI
4873,1311,NAVI
4873,1299,NAVI
4873,1287,NAVI
4873,1275,NAVI
4873,1263,NAVI
4873,1250,NAVI
4873,1238,NAVI
4873,1226,NAVI
4873,1214,NAVI
4873,1201,NAVI
4873,1189,NAVI
4873,1177,NAVI
4864,1168,NAVI
4855,1159,NAVI
4846,1150,NAVI
4837,1149,NAVI
4825,1149,NAVI
4813,1149,NAVI
4801,1149,O2
4789,1149,O2
4777,1149,O2
4764,1149,O2
4752,1149,O2
4740,1149,O2
4728,1149,O2
4716,1149,O2
4704,1149,O2
4692,1149,O2
4680,1149,O2
4668,1149,O2
4656,1149,O2
4644,1149,O2
4632,1149,O2
4620,1149,O2
4608,1149,O2
4596,1149,O2
4584,1149,O2
4571,1149,O2
4562,1140,O2
4553,1131,O2
4553,1119,O2
4553,1106,O2
4553,1094,O2
4553,1082,O2
4553,1070,O2
4553,1058,O2
4544,1049,O2
4535,1040,O2
4526,1031,O2
4517,1022,O2
4508,1013,O2
4497,1002,O2
4492,989,O2
4492,980,O2
4492,971,O2
4492,962,O2
4492,953,O2
4492,940,O2
4492,928,O2
4492,916,O2
4492,904,O2
4492,892,O2
4492,879,O2
4492,863,O2
4492,851,O2
4492,834,O2
4492,820,O2
4492,808,O2
4492,796,O2
4492,784,O2
4492,772,O2
4492,760,O2
4492,748,O2
4492,736,O2
4492,723,O2
4492,711,O2
4492,699,O2
4492,687,O2
4492,675,O2
4492,663,O2
4492,653,O2
4480,653,O2
4468,653,O2
4455,653,O2
4442,653,O2
4430,653,O2
4417,653,O2
4405,653,O2
4392,653,O2
4380,653,O2
4368,653,O2
4356,653,O2
4344,653,O2
4332,653,O2
4320,653,O2
4307,653,O2
4294,653,O2
4282,653,O2
4270,653,O2
4258,653,O2
4245,653,O2
4233,653,O2
4221,653,O2
4209,653,O2
4197,653,O2
4185,653,O2
4173,653,CAFERIGHT
4160,653,CAFERIGHT
4148,653,CAFERIGHT
4136,653,CAFERIGHT
4124,653,CAFERIGHT
4112,653,CAFERIGHT
4100,653,CAFERIGHT
4088,653,CAFERIGHT
4076,653,CAFERIGHT
4063,653,CAFERIGHT
4051,653,CAFERIGHT
4039,653,CAFERIGHT
4026,653,CAFERIGHT
4009,653,CAFERIGHT
3997,653,CAFERIGHT
3985,653,CAFERIGHT
3973,653,CAFERIGHT
3961,653,CAFERIGHT
3949,653,CAFERIGHT
3937,653,CAFERIGHT
3925,653,CAFERIGHT
3912,653,CAFERIGHT
3900,653,CAFERIGHT
3888,653,CAFERIGHT
3876,653,CAFERIGHT
3863,653,CAFERIGHT
3847,653,CAFERIGHT
3835,653,CAFERIGHT
3822,653,CAFERIGHT
3809,653,CAFERIGHT
3796,653,CAFERIGHT
3780,653,CAFERIGHT
3766,653,CAFERIGHT
3745,632,CAFERIGHT
3732,619,CAFERIGHT
3719,619,CAFERIGHT
3707,619,CAFERIGHT
3695,619,CAFERIGHT
3682,619,CAFERIGHT
3670,619,CAFERIGHT
3658,619,CAFERIGHT
3646,619,CAFERIGHT
3633,619,CAFERIGHT
3620,619,CAFERIGHT
3608,619,CAFERIGHT
3596,619,CAFERIGHT
3583,619,CAFERIGHT
3571,619,CAFERIGHT
3559,619,CAFERIGHT
3547,619,CAFERIGHT
3525,619,CAFERIGHT
3512,619,CAFERIGHT
3500,619,CAFERIGHT
3488,619,CAFERIGHT
3481,619,CAFERIGHT
3481,628,CAFERIGHT
3481,637,CAFERIGHT
3481,646,CAFERIGHT
3481,655,CAFERIGHT
3481,664,CAFERIGHT
3481,673,CAFERIGHT
3481,682,CAFERIGHT
3481,691,CAFERIGHT
3481,700,CAFERIGHT
3481,713,CAFERIGHT
3481,726,CAFERIGHT
3481,753,CAFERIGHT
3481,774,O2
3481,787,O2
3481,800,O2
3481,813,O2
3481,829,O2
3481,848,O2
3481,862,O2
3481,875,O2
3481,888,O2
3481,897,O2
3466,897,O2
3452,897,O2
3440,897,O2
3428,897,O2
3416,897,O2
3401,897,O2
3386,897,O2
3373,897,O2
3357,897,O2
3337,897,O2
3322,897,O2
3310,897,O2
3298,897,O2
3286,897,O2
3273,897,MED
3261,897,MED
3249,897,MED
3237,897,MED
3225,897,MED
3216,888,MED
3207,879,MED
3198,870,MED
3189,861,MED
3180,852,MED
3171,845,MED
3162,845,MED
3153,836,MED
3144,827,MED
3134,817,MED
3115,817,MED
3101,817,MED
3089,817,MED
3077,817,MED
3065,817,MED
3053,817,MED
3041,817,MED
3029,817,MED
3017,817,MED
3005,817,MED
2993,817,MED
2981,817,MED
2969,817,MED
2957,817,MED
2944,804,MED
2934,794,MED
2925,785,MED
2916,776,MED
2907,767,CAFELEF
2898,758,CAFELEF
2889,749,CAFELEF
2880,740,CAFELEF
2871,731,CAFELEF
2862,722,CAFELEF
2853,713,CAFELEF
2844,704,CAFELEF
2835,695,CAFELEF
2826,686,CAFELEF
2817,677,CAFELEF
2817,659,CAFELEF
2817,641,CAFELEF
2817,629,CAFELEF
2817,617,CAFELEF
2817,605,CAFELEF
2817,593,CAFELEF
2817,581,CAFELEF
2817,568,CAFELEF
2817,556,CAFELEF
2817,544,CAFELEF
2817,531,CAFELEF
2817,519,CAFELEF
2817,507,CAFELEF
2817,494,CAFELEF
2817,477,CAFELEF
2817,465,CAFELEF
2817,453,CAFELEF
2817,441,CAFELEF
2817,429,CAFELEF
2817,417,CAFELEF
2817,405,CAFELEF
2817,393,CAFELEF
2817,381,CAFELEF
2817,369,CAFELEF
2817,357,CAFELEF
2817,345,CAFELEF
2817,333,CAFELEF
2817,321,CAFELEF
2817,309,CAFELEF
2817,297,CAFELEF
2817,285,CAFELEF
2817,273,CAFELEF
2817,261,CAFELEF
2817,249,CAFELEF
2817,237,CAFELEF
2817,225,CAFELEF
2817,219,CAFELEF
