X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1236,NAVI
5432,1249,NAVI
5432,1262,NAVI
5432,1275,NAVI
5432,1288,NAVI
5432,1301,NAVI
5432,1314,NAVI
5432,1327,NAVI
5432,1340,NAVI
5432,1353,NAVI
5432,1366,NAVI
5432,1379,NAVI
5432,1392,NAVI
5432,1405,NAVI
5419,1405,NAVI
5407,1405,NAVI
5395,1405,NAVI
5383,1405,NAVI
5371,1405,NAVI
5359,1405,NAVI
5346,1405,NAVI
5334,1405,NAVI
5322,1405,NAVI
5310,1405,NAVI
5298,1405,NAVI
5286,1405,NAVI
5274,1405,NAVI
5262,1405,NAVI
5250,1405,NAVI
5238,1405,NAVI
5226,1405,NAVI
5213,1405,NAVI
5201,1405,NAVI
5189,1405,NAVI
5176,1405,NAVI
5163,1405,NAVI
5151,1405,NAVI
5139,1405,NAVI
5127,1405,NAVI
5114,1405,NAVI
5102,1405,NAVI
5090,1405,NAVI
5077,1405,NAVI
5065,1405,NAVI
5053,1405,NAVI
5041,1405,NAVI
5029,1405,NAVI
5017,1405,NAVI
5005,1405,NAVI
4993,1405,NAVI
4980,1405,NAVI
4968,1405,NAVI
4956,1405,NAVI
4944,1405,NAVI
4932,1405,NAVI
4920,1405,NAVI
4908,1405,NAVI
4896,1405,NAVI
4884,1405,NAVI
4872,1405,NAVI
4863,1396,NAVI
4854,1387,NAVI
4854,1375,NAVI
4854,1363,NAVI
4854,1351,NAVI
4854,1339,NAVI
4854,1327,NAVI
4854,1315,NAVI
4854,1303,NAVI
4854,1291,NAVI
4854,1279,NAVI
4854,1266,NAVI
4854,1254,NAVI
4854,1241,NAVI
4854,1229,NAVI
4854,1217,NAVI
4854,1205,NAVI
4854,1193,NAVI
4854,1181,NAVI
4845,1172,NAVI
4833,1172,NAVI
4821,1172,NAVI
4809,1172,NAVI
4796,1172,O2
4783,1172,O2
4770,1172,O2
4757,1172,O2
4745,1172,O2
4733,1172,O2
4721,1172,O2
4709,1172,O2
4697,1172,O2
4684,1172,O2
4672,1172,O2
4660,1172,O2
4648,1172,O2
4636,1172,O2
4624,1172,O2
4612,1172,O2
4600,1172,O2
4588,1172,O2
4576,1172,O2
4564,1172,O2
4552,1172,O2
4543,1163,O2
4534,1154,O2
4525,1145,O2
4525,1133,O2
4525,1121,O2
4525,1108,O2
4525,1096,O2
4525,1084,O2
4525,1072,O2
4525,1060,O2
4525,1048,O2
4525,1036,O2
4525,1023,O2
4525,1006,O2
4525,994,O2
4525,981,O2
4525,969,O2
4525,957,O2
4525,945,O2
4525,933,O2
4525,919,O2
4525,905,O2
4525,892,O2
4525,880,O2
4525,867,O2
4525,855,O2
4525,843,O2
4525,830,O2
4525,818,O2
4525,806,O2
4525,794,O2
4525,782,O2
4525,770,O2
4525,757,O2
4525,745,O2
4525,733,O2
4525,721,O2
4525,709,O2
4525,697,O2
4525,685,O2
4525,673,O2
4513,673,O2
4501,673,O2
4489,673,O2
4476,673,O2
4463,673,O2
4451,673,O2
4439,673,O2
4426,673,O2
4414,673,O2
4402,673,O2
4390,673,O2
4378,673,O2
4366,673,O2
4354,673,O2
4342,673,O2
4330,673,O2
4318,673,O2
4306,673,O2
4294,673,O2
4282,673,O2
4270,673,O2
4258,673,O2
4245,673,O2
4233,673,O2
4221,673,O2
4209,673,O2
4196,673,O2
4183,673,O2
4171,673,O2
4158,673,O2
4146,673,O2
4134,673,O2
4122,673,O2
4110,673,O2
4098,673,O2
4086,673,O2
4074,673,O2
4062,673,CAFERIGHT
4050,673,CAFERIGHT
4038,673,CAFERIGHT
4025,673,CAFERIGHT
4012,673,CAFERIGHT
4000,673,CAFERIGHT
3988,673,CAFERIGHT
3976,673,CAFERIGHT
3964,673,CAFERIGHT
3952,673,CAFERIGHT
3940,673,CAFERIGHT
3928,673,CAFERIGHT
3919,664,CAFERIGHT
3910,655,CAFERIGHT
3901,646,CAFERIGHT
3892,637,CAFERIGHT
3892,625,CAFERIGHT
3892,613,CAFERIGHT
3892,601,CAFERIGHT
3892,589,CAFERIGHT
3892,577,CAFERIGHT
3892,565,CAFERIGHT
3892,553,CAFERIGHT
3892,541,CAFERIGHT
3892,529,CAFERIGHT
3892,517,CAFERIGHT
3892,505,CAFERIGHT
3892,492,CAFERIGHT
3892,479,CAFERIGHT
3892,467,CAFERIGHT
3892,455,CAFERIGHT
3892,443,CAFERIGHT
3892,431,CAFERIGHT
3892,419,CAFERIGHT
3892,407,CAFERIGHT
3892,395,CAFERIGHT
3892,383,CAFERIGHT
3905,383,CAFERIGHT
3918,383,CAFERIGHT
3931,383,CAFERIGHT
3944,383,CAFERIGHT
3944,370,CAFERIGHT
3944,357,CAFERIGHT
