X,Y,Nearest Task
5432,1210,NAVI
5432,1228,NAVI
5432,1241,NAVI
5432,1258,NAVI
5432,1274,NAVI
5432,1287,NAVI
5432,1300,NAVI
5432,1313,NAVI
5432,1328,NAVI
5432,1354,NAVI
5432,1370,NAVI
5432,1383,NAVI
5405,1383,NAVI
5393,1383,NAVI
5381,1383,NAVI
5360,1383,NAVI
5341,1383,NAVI
5329,1383,NAVI
5317,1383,NAVI
5304,1383,NAVI
5292,1383,NAVI
5268,1383,NAVI
5241,1383,NAVI
5223,1383,NAVI
5208,1383,NAVI
5196,1383,NAVI
5184,1383,NAVI
5172,1383,NAVI
5157,1383,NAVI
5145,1383,NAVI
5133,1383,NAVI
5121,1383,NAVI
5109,1383,NAVI
5093,1383,NAVI
5081,1383,NAVI
5069,1383,NAVI
5057,1383,NAVI
5044,1383,NAVI
5029,1383,NAVI
5010,1383,NAVI
4998,1383,NAVI
4985,1383,NAVI
4973,1383,NAVI
4961,1383,NAVI
4949,1383,NAVI
4940,1374,NAVI
4931,1365,NAVI
4922,1356,NAVI
4913,1347,NAVI
4904,1338,NAVI
4895,1329,NAVI
4886,1320,NAVI
4877,1311,NAVI
4868,1302,NAVI
4859,1293,NAVI
4850,1284,NAVI
4841,1275,NAVI
4832,1266,NAVI
4823,1257,NAVI
4814,1248,NAVI
4805,1239,NAVI
4796,1230,NAVI
4783,1230,O2
4771,1230,O2
4759,1230,O2
4747,1230,O2
4735,1230,O2
4723,1230,O2
4711,1230,O2
4699,1230,O2
4687,1230,O2
4678,1221,O2
4669,1212,O2
4660,1203,O2
4651,1194,O2
4642,1185,O2
4633,1176,O2
4624,1167,O2
4615,1158,O2
4606,1149,O2
4597,1140,O2
4588,1131,O2
4579,1122,O2
4570,1113,O2
4561,1104,O2
4551,1094,O2
4540,1083,O2
4531,1074,O2
4522,1065,O2
4513,1056,O2
4504,1047,O2
4495,1038,O2
4492,1029,O2
4492,1020,O2
4492,1011,O2
4492,1002,O2
4492,993,O2
4492,984,O2
4492,975,O2
4492,966,O2
4492,957,O2
4492,948,O2
4492,939,O2
4492,930,O2
4492,921,O2
4492,912,O2
4492,903,O2
4492,894,O2
4492,885,O2
4492,876,O2
4492,867,O2
4492,858,O2
4492,849,O2
4492,840,O2
4492,831,O2
4492,822,O2
4492,813,O2
4492,804,O2
4492,795,O2
4492,786,O2
4492,777,O2
4492,768,O2
4492,757,O2
4492,748,O2
4492,739,O2
4492,729,O2
4482,719,O2
4471,708,O2
4459,708,O2
4447,708,O2
4435,708,O2
4423,708,O2
4411,708,O2
4399,708,O2
4387,708,O2
4374,708,O2
