X,Y,Nearest Task
5432,1210,NAVI
5432,1228,NAVI
5432,1245,NAVI
5432,1258,NAVI
5432,1271,NAVI
5432,1284,NAVI
5432,1297,NAVI
5432,1310,NAVI
5432,1323,NAVI
5432,1336,NAVI
5432,1354,NAVI
5432,1377,NAVI
5416,1377,NAVI
5404,1377,NAVI
5392,1377,NAVI
5380,1377,NAVI
5367,1377,NAVI
5355,1377,NAVI
5342,1377,NAVI
5329,1377,NAVI
5316,1377,NAVI
5302,1377,NAVI
5289,1377,NAVI
5276,1377,NAVI
5263,1377,NAVI
5249,1377,NAVI
5233,1377,NAVI
5221,1377,NAVI
5209,1377,NAVI
5197,1377,NAVI
5185,1377,NAVI
5173,1377,NAVI
5156,1377,NAVI
5137,1377,NAVI
5125,1377,NAVI
5113,1377,NAVI
5101,1377,NAVI
5086,1377,NAVI
5059,1377,NAVI
5036,1377,NAVI
4989,1377,NAVI
4974,1377,NAVI
4962,1377,NAVI
4949,1377,NAVI
4936,1377,NAVI
4924,1377,NAVI
4912,1377,NAVI
4900,1377,NAVI
4888,1377,NAVI
4876,1377,NAVI
4864,1377,NAVI
4852,1377,NAVI
4843,1386,NAVI
4834,1395,NAVI
4834,1418,NAVI
4834,1431,NAVI
4834,1444,NAVI
4834,1457,NAVI
4834,1470,NAVI
4834,1483,NAVI
4834,1496,NAVI
4834,1509,NAVI
4834,1522,NAVI
4834,1535,NAVI
4834,1548,NAVI
4834,1561,NAVI
4834,1578,NAVI
4834,1597,NAVI
4834,1610,NAVI
4834,1623,NAVI
4834,1636,NAVI
4834,1641,NAVI
4825,1641,NAVI
4813,1641,NAVI
4795,1641,NAVI
4783,1641,NAVI
4771,1641,NAVI
4758,1641,NAVI
4742,1641,NAVI
4723,1641,O2
4682,1641,O2
4665,1641,O2
4646,1641,O2
4634,1641,O2
4622,1641,O2
4610,1641,O2
4598,1641,O2
4586,1641,O2
4567,1641,O2
4544,1641,O2
4526,1641,O2
4514,1641,O2
4505,1650,O2
4496,1659,O2
4492,1668,O2
4492,1677,O2
4492,1690,O2
4492,1703,O2
4492,1716,O2
4492,1729,O2
4492,1742,O2
4492,1760,O2
4492,1773,O2
4492,1786,RIGHTCOM
4492,1799,RIGHTCOM
4492,1812,RIGHTCOM
4492,1825,RIGHTCOM
4492,1838,RIGHTCOM
4492,1851,RIGHTCOM
4492,1864,RIGHTCOM
4492,1877,RIGHTCOM
4492,1890,RIGHTCOM
4492,1903,RIGHTCOM
4492,1921,RIGHTCOM
4492,1934,RIGHTCOM
4492,1947,RIGHTCOM
4492,1961,RIGHTCOM
4492,1978,RIGHTCOM
