X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1236,NAVI
5432,1249,NAVI
5432,1262,NAVI
5432,1275,NAVI
5432,1288,NAVI
5432,1301,NAVI
5432,1314,NAVI
5432,1327,NAVI
5432,1340,NAVI
5432,1353,NAVI
5432,1366,NAVI
5432,1379,NAVI
5432,1392,NAVI
5420,1392,NAVI
5407,1392,NAVI
5395,1392,NAVI
5383,1392,NAVI
5370,1392,NAVI
5358,1392,NAVI
5346,1392,NAVI
5334,1392,NAVI
5322,1392,NAVI
5310,1392,NAVI
5298,1392,NAVI
5285,1392,NAVI
5273,1392,NAVI
5261,1392,NAVI
5249,1392,NAVI
5236,1392,NAVI
5224,1392,NAVI
5212,1392,NAVI
5200,1392,NAVI
5188,1392,NAVI
5176,1392,NAVI
5157,1392,NAVI
5145,1392,NAVI
5133,1392,NAVI
5115,1392,NAVI
5077,1392,NAVI
5017,1392,NAVI
4997,1392,NAVI
4976,1392,NAVI
4964,1392,NAVI
4945,1392,NAVI
4930,1392,NAVI
4918,1392,NAVI
4905,1392,NAVI
4893,1392,NAVI
4881,1392,NAVI
4869,1392,NAVI
4869,1405,NAVI
4869,1418,NAVI
4869,1431,NAVI
4869,1444,NAVI
4869,1457,NAVI
4869,1470,NAVI
4869,1483,NAVI
4869,1496,NAVI
4869,1509,NAVI
4869,1522,NAVI
4869,1536,NAVI
4869,1557,NAVI
4869,1575,NAVI
4869,1597,NAVI
4857,1597,NAVI
4845,1597,NAVI
4833,1597,NAVI
4821,1597,NAVI
4809,1597,NAVI
4797,1597,NAVI
4785,1597,NAVI
4773,1597,NAVI
4761,1597,NAVI
4749,1597,NAVI
4737,1597,NAVI
4725,1597,O2
4713,1597,O2
4696,1597,O2
4684,1597,O2
4668,1597,O2
4650,1597,O2
4638,1597,O2
4626,1597,O2
4614,1597,O2
4602,1597,O2
4590,1597,O2
4578,1597,O2
4566,1597,O2
4554,1597,O2
4542,1597,O2
4530,1597,O2
4516,1597,O2
4507,1606,O2
4507,1619,O2
4507,1632,O2
4507,1645,O2
4507,1658,O2
4507,1671,O2
4507,1684,O2
4507,1697,O2
4507,1710,O2
4507,1723,O2
4507,1740,O2
4507,1753,O2
4507,1766,O2
4507,1779,RIGHTCOM
4507,1795,RIGHTCOM
4507,1808,RIGHTCOM
4507,1821,RIGHTCOM
4507,1835,RIGHTCOM
4507,1852,RIGHTCOM
4507,1865,RIGHTCOM
4507,1878,RIGHTCOM
4507,1891,RIGHTCOM
4507,1904,RIGHTCOM
4507,1921,RIGHTCOM
4507,1934,RIGHTCOM
4507,1947,RIGHTCOM
4507,1960,RIGHTCOM
4507,1973,RIGHTCOM
4507,1986,RIGHTCOM
4507,1999,RIGHTCOM
4507,2012,RIGHTCOM
4507,2025,RIGHTCOM
4507,2038,RIGHTCOM
4507,2051,RIGHTCOM
4507,2064,RIGHTCOM
4507,2077,RIGHTCOM
4507,2090,RIGHTCOM
4507,2103,RIGHTCOM
4507,2116,RIGHTCOM
4507,2129,RIGHTCOM
4507,2142,RIGHTCOM
4507,2155,RIGHTCOM
4507,2168,RIGHTCOM
4507,2181,RIGHTCOM
4507,2205,RIGHTCOM
4507,2218,RIGHTCOM
4507,2231,RIGHTCOM
4495,2231,RIGHTCOM
4483,2231,RIGHTCOM
4471,2231,RIGHTCOM
4451,2231,RIGHTCOM
4439,2231,RIGHTCOM
4427,2231,RIGHTCOM
4415,2231,RIGHTCOM
4403,2231,RIGHTCOM
4391,2231,RIGHTCOM
4379,2231,RIGHTCOM
4367,2231,RIGHTCOM
4355,2231,RIGHTCOM
4335,2231,RIGHTCOM
4323,2231,RIGHTCOM
4311,2231,RIGHTCOM
4276,2231,RIGHTCOM
4256,2231,RIGHTCOM
4244,2231,RIGHTCOM
4227,2231,RIGHTCOM
4215,2231,RIGHTCOM
4203,2231,RIGHTCOM
4190,2231,RIGHTCOM
4178,2231,RIGHTCOM
4166,2231,RIGHTCOM
4153,2231,RIGHTCOM
4141,2231,RIGHTCOM
4128,2231,RIGHTCOM
4115,2231,RIGHTCOM
4096,2231,RIGHTCOM
4071,2231,RIGHTCOM
4048,2231,RIGHTCOM
4018,2231,RIGHTCOM
4005,2231,RIGHTCOM
3992,2231,RIGHTCOM
3970,2231,RIGHTCOM
3954,2231,RIGHTCOM
3942,2231,RIGHTCOM
3930,2231,RIGHTCOM
3918,2231,RIGHTCOM
3906,2231,RIGHTCOM
3894,2231,RIGHTCOM
3882,2231,RIGHTCOM
3869,2231,RIGHTCOM
3856,2231,COMM
3844,2231,COMM
3832,2231,COMM
3820,2231,COMM
3808,2231,COMM
3795,2231,COMM
3783,2231,COMM
3771,2231,COMM
3759,2231,COMM
3746,2231,COMM
3734,2231,COMM
3722,2231,COMM
3710,2231,COMM
3698,2231,COMM
3686,2231,COMM
3674,2231,COMM
3662,2231,COMM
3650,2231,COMM
3638,2231,COMM
3626,2231,COMM
3614,2231,COMM
3602,2231,COMM
3590,2231,COMM
3578,2231,COMM
3564,2231,COMM
3545,2231,STOR
3533,2231,STOR
3521,2231,STOR
3505,2231,STOR
3493,2231,STOR
3481,2231,STOR
3469,2231,STOR
3457,2231,STOR
3448,2240,STOR
3448,2253,STOR
3448,2266,STOR
3448,2279,STOR
3448,2292,STOR
3448,2305,STOR
3448,2318,STOR
3448,2331,STOR
3448,2344,STOR
3448,2357,STOR
3448,2370,STOR
3448,2383,STOR
3448,2396,STOR
3448,2409,STOR
3448,2422,STOR
3448,2435,STOR
3448,2448,STOR
3448,2461,STOR
3448,2474,STOR
3448,2487,STOR
3448,2500,STOR
3448,2513,STOR
3448,2526,STOR
3448,2539,STOR
3448,2552,STOR
3448,2565,STOR
3448,2578,STOR
3448,2591,STOR
3448,2604,STOR
3448,2617,STOR
3448,2630,STOR
3448,2643,STOR
3448,2656,STOR
3448,2669,STOR
3448,2682,STOR
3448,2695,STOR
3448,2708,STOR
3448,2721,STOR
3448,2734,STOR
3448,2747,STOR
3448,2760,STOR
3448,2773,STOR
3448,2786,STOR
3448,2799,STOR
3448,2812,STOR
3448,2825,STOR
3448,2838,STOR
3448,2851,STOR
3448,2864,STOR
3448,2870,STOR
