X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1236,NAVI
5432,1249,NAVI
5432,1262,NAVI
5432,1275,NAVI
5432,1288,NAVI
5432,1301,NAVI
5432,1314,NAVI
5432,1327,NAVI
5432,1340,NAVI
5432,1353,NAVI
5432,1366,NAVI
5420,1366,NAVI
5408,1366,NAVI
5396,1366,NAVI
5384,1366,NAVI
5371,1366,NAVI
5358,1366,NAVI
5345,1366,NAVI
5333,1366,NAVI
5321,1366,NAVI
5309,1366,NAVI
5297,1366,NAVI
5285,1366,NAVI
5273,1366,NAVI
5260,1366,NAVI
5248,1366,NAVI
5235,1366,NAVI
5223,1366,NAVI
5211,1366,NAVI
5199,1366,NAVI
5186,1366,NAVI
5174,1366,NAVI
5162,1366,NAVI
5150,1366,NAVI
5137,1366,NAVI
5125,1366,NAVI
5113,1366,NAVI
5100,1366,NAVI
5088,1366,NAVI
5076,1366,NAVI
5064,1366,NAVI
5052,1366,NAVI
5040,1366,NAVI
5028,1366,NAVI
5016,1366,NAVI
5003,1366,NAVI
4991,1366,NAVI
4979,1366,NAVI
4967,1366,NAVI
4955,1366,NAVI
4943,1366,NAVI
4931,1366,NAVI
4907,1366,NAVI
4894,1379,NAVI
4885,1388,NAVI
4876,1397,NAVI
4876,1438,NAVI
4876,1479,NAVI
4876,1534,NAVI
4876,1569,NAVI
4876,1589,NAVI
4876,1602,NAVI
4876,1615,NAVI
4876,1628,NAVI
4876,1641,NAVI
4864,1641,NAVI
4852,1641,NAVI
4839,1641,NAVI
4827,1641,NAVI
4815,1641,NAVI
4803,1641,NAVI
4791,1641,NAVI
4779,1641,NAVI
4767,1641,NAVI
4755,1641,NAVI
4743,1641,NAVI
4731,1641,NAVI
4719,1641,O2
4707,1641,O2
4695,1641,O2
4682,1641,O2
4670,1641,O2
4657,1641,O2
4645,1641,O2
4633,1641,O2
4621,1641,O2
4609,1641,O2
4596,1641,O2
4584,1641,O2
4572,1641,O2
4563,1650,O2
4554,1659,O2
4545,1668,O2
4535,1678,O2
4535,1703,O2
4535,1719,O2
4535,1732,O2
4535,1745,O2
4535,1758,O2
4535,1771,RIGHTCOM
4535,1787,RIGHTCOM
4535,1800,RIGHTCOM
4535,1813,RIGHTCOM
4535,1826,RIGHTCOM
4535,1839,RIGHTCOM
4535,1852,RIGHTCOM
4535,1866,RIGHTCOM
4535,1885,RIGHTCOM
4535,1898,RIGHTCOM
4535,1911,RIGHTCOM
4535,1924,RIGHTCOM
4535,1937,RIGHTCOM
4535,1950,RIGHTCOM
4535,1965,RIGHTCOM
4535,2006,RIGHTCOM
4535,2019,RIGHTCOM
4535,2049,RIGHTCOM
4535,2072,RIGHTCOM
4535,2085,RIGHTCOM
4535,2098,RIGHTCOM
4535,2111,RIGHTCOM
4535,2124,RIGHTCOM
4535,2137,RIGHTCOM
4535,2150,RIGHTCOM
4535,2163,RIGHTCOM
4535,2176,RIGHTCOM
4535,2189,RIGHTCOM
4535,2202,RIGHTCOM
4526,2211,RIGHTCOM
4517,2220,RIGHTCOM
4508,2229,RIGHTCOM
4496,2229,RIGHTCOM
4483,2229,RIGHTCOM
4470,2229,RIGHTCOM
4457,2229,RIGHTCOM
4444,2229,RIGHTCOM
4432,2229,RIGHTCOM
4418,2229,RIGHTCOM
4406,2229,RIGHTCOM
4384,2229,RIGHTCOM
4356,2229,RIGHTCOM
4342,2229,RIGHTCOM
4330,2229,RIGHTCOM
4318,2229,RIGHTCOM
4306,2229,RIGHTCOM
4294,2229,RIGHTCOM
4282,2229,RIGHTCOM
4269,2229,RIGHTCOM
4257,2229,RIGHTCOM
4245,2229,RIGHTCOM
4232,2229,RIGHTCOM
4219,2229,RIGHTCOM
4206,2229,RIGHTCOM
4194,2229,RIGHTCOM
4181,2229,RIGHTCOM
4167,2229,RIGHTCOM
4154,2229,RIGHTCOM
4142,2229,RIGHTCOM
4130,2229,RIGHTCOM
4118,2229,RIGHTCOM
4106,2229,RIGHTCOM
4094,2229,RIGHTCOM
4076,2229,RIGHTCOM
4062,2229,RIGHTCOM
4050,2229,RIGHTCOM
4038,2229,RIGHTCOM
4026,2229,RIGHTCOM
4014,2229,RIGHTCOM
4002,2229,RIGHTCOM
3990,2229,RIGHTCOM
3977,2229,RIGHTCOM
3965,2229,RIGHTCOM
3953,2229,RIGHTCOM
3935,2229,RIGHTCOM
3912,2229,RIGHTCOM
3900,2229,RIGHTCOM
3888,2229,RIGHTCOM
3876,2229,RIGHTCOM
3864,2229,RIGHTCOM
3852,2229,COMM
3840,2229,COMM
3828,2229,COMM
3816,2229,COMM
3804,2229,COMM
3792,2229,COMM
3780,2229,COMM
3768,2229,COMM
3756,2229,COMM
3738,2229,COMM
3726,2229,COMM
3714,2229,COMM
3702,2229,COMM
3689,2229,COMM
3677,2229,COMM
3665,2229,COMM
3653,2229,COMM
3641,2229,COMM
3629,2229,COMM
3617,2229,COMM
3605,2229,COMM
3592,2229,COMM
3580,2229,COMM
3568,2229,COMM
3556,2229,COMM
3544,2229,STOR
3532,2229,STOR
3520,2229,STOR
3508,2229,STOR
3496,2229,STOR
3484,2229,STOR
3475,2238,STOR
3475,2251,STOR
3475,2264,STOR
3475,2277,STOR
3475,2290,STOR
3475,2303,STOR
3475,2316,STOR
3475,2329,STOR
3475,2342,STOR
3475,2355,STOR
3475,2368,STOR
3475,2381,STOR
3475,2394,STOR
3475,2418,STOR
3475,2431,STOR
3475,2460,STOR
3475,2487,STOR
3475,2500,STOR
3475,2540,STOR
3475,2556,STOR
3475,2576,STOR
3475,2589,STOR
3475,2602,STOR
3475,2615,STOR
3475,2628,STOR
3475,2641,STOR
3475,2654,STOR
3475,2675,STOR
3466,2684,STOR
3449,2701,STOR
3437,2713,STOR
3425,2713,STOR
3413,2713,STOR
3401,2713,STOR
3388,2713,STOR
3376,2713,STOR
3364,2713,STOR
3352,2713,STOR
3340,2713,STOR
3327,2713,STOR
3315,2713,STOR
3303,2713,STOR
3290,2713,STOR
3278,2713,STOR
3266,2713,STOR
3253,2713,STOR
3241,2713,STOR
3229,2713,STOR
3217,2713,STOR
3204,2713,STOR
3192,2713,STOR
3183,2704,STOR
3174,2695,STOR
3165,2686,STOR
3156,2677,STOR
3147,2668,STOR
3138,2659,STOR
3129,2650,STOR
3120,2641,STOR
3108,2641,STOR
3096,2641,STOR
3084,2641,STOR
3072,2641,STOR
3056,2641,STOR
3032,2641,STOR
3020,2641,STOR
3005,2641,STOR
2992,2641,STOR
2980,2641,STOR
2968,2641,STOR
2956,2641,STOR
2944,2641,STOR
2935,2632,STOR
2926,2623,STOR
2917,2614,STOR
2908,2605,STOR
2899,2596,STOR
2890,2587,STOR
2881,2578,STOR
2872,2569,STOR
2863,2560,STOR
2854,2551,STOR
2813,2551,STOR
2781,2551,STOR
2763,2551,STOR
2750,2551,STOR
2738,2551,STOR
2725,2551,STOR
2705,2551,STOR
2682,2551,STOR
2661,2551,STOR
2639,2551,STOR
2620,2551,STOR
2608,2551,STOR
2596,2551,STOR
2584,2551,STOR
2572,2551,ELEC
2560,2551,ELEC
2548,2551,ELEC
2535,2551,ELEC
2516,2551,ELEC
2504,2551,ELEC
2492,2551,ELEC
2480,2551,ELEC
2468,2551,ELEC
2456,2551,ELEC
2444,2551,ELEC
2431,2551,ELEC
2419,2551,ELEC
2407,2551,ELEC
2395,2551,ELEC
2383,2551,ELEC
2370,2551,ELEC
2358,2551,ELEC
2346,2551,ELEC
2334,2551,ELEC
2322,2551,ELEC
2310,2551,ELEC
2298,2551,ELEC
2286,2551,ELEC
2274,2551,ELEC
2262,2551,ELEC
2250,2551,ELEC
2237,2551,ELEC
2225,2551,ELEC
2213,2551,ELEC
2201,2551,ELEC
2189,2551,ELEC
2177,2551,ELEC
2164,2551,ELEC
2130,2551,ELEC
2116,2551,ELEC
2104,2551,ELEC
2092,2551,ELEC
2080,2551,ELEC
2067,2551,ELEC
2055,2551,ELEC
2041,2551,ELEC
2029,2551,ELEC
2020,2542,ELEC
2011,2533,ELEC
2002,2524,ELEC
1993,2515,ELEC
1984,2506,ELEC
1974,2496,ELEC
1965,2487,ELEC
1956,2478,ELEC
1947,2469,ELEC
1938,2460,ELEC
1929,2451,ELEC
1920,2442,ELEC
1911,2433,ELEC
1911,2424,ELEC
1911,2415,ELEC
1911,2406,ELEC
1911,2397,ELEC
1911,2388,ELEC
1911,2379,ELEC
1911,2331,ELEC
1911,2314,ELEC
1911,2305,ELEC
1911,2296,ELEC
1911,2287,ELEC
1911,2278,ELEC
1911,2269,ELEC
1902,2260,ELEC
1893,2251,ELEC
1884,2242,ELEC
1875,2233,ELEC
1866,2224,ELEC
1853,2224,ELEC
1841,2224,ELEC
1828,2224,ELEC
1816,2224,ELEC
1804,2224,ELEC
1792,2224,ELEC
1780,2224,ELEC
1767,2224,ELEC
1755,2224,ELEC
1743,2224,ELEC
1730,2224,ELEC
1718,2224,REACDOWN
1706,2224,REACDOWN
1693,2224,REACDOWN
1681,2224,REACDOWN
1660,2224,REACDOWN
1648,2224,REACDOWN
1648,2237,REACDOWN
1648,2250,REACDOWN
1648,2263,REACDOWN
1648,2269,REACDOWN
1632,2269,REACDOWN
1616,2269,REACDOWN
1601,2269,REACDOWN
1585,2269,REACDOWN
1572,2269,REACDOWN
1572,2285,REACDOWN
1572,2301,REACDOWN
1572,2317,REACDOWN
1572,2333,REACDOWN
1572,2349,REACDOWN
1572,2365,REACDOWN
1572,2381,REACDOWN
1572,2397,REACDOWN
1572,2413,REACDOWN
1572,2429,REACDOWN
1572,2446,REACDOWN
1572,2462,REACDOWN
1572,2474,REACDOWN
1560,2474,REACDOWN
1548,2474,REACDOWN
1536,2474,REACDOWN
1524,2474,REACDOWN
1512,2474,REACDOWN
1500,2474,REACDOWN
1488,2474,REACDOWN
1476,2474,REACDOWN
1463,2474,REACDOWN
1451,2474,REACDOWN
1439,2474,REACDOWN
1427,2474,REACDOWN
1427,2457,REACDOWN
1427,2445,REACDOWN
1427,2433,REACDOWN
1427,2421,REACDOWN
1427,2409,REACDOWN
1427,2396,REACDOWN
1427,2384,REACDOWN
1427,2371,REACDOWN
1427,2359,REACDOWN
1427,2349,REACDOWN
1415,2349,REACDOWN
1403,2349,REACDOWN
1390,2349,REACDOWN
1377,2349,REACDOWN
1365,2349,REACDOWN
1353,2349,REACDOWN
1341,2349,REACDOWN
1341,2362,REACDOWN
1341,2375,REACDOWN
1341,2388,REACDOWN
1341,2401,REACDOWN
1341,2414,REACDOWN
1341,2427,REACDOWN
1341,2440,REACDOWN
1341,2428,REACDOWN
1341,2416,REACDOWN
1341,2404,REACDOWN
1341,2392,REACDOWN
1304,2392,REACDOWN
