X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1236,NAVI
5432,1249,NAVI
5432,1262,NAVI
5432,1275,NAVI
5432,1288,NAVI
5432,1301,NAVI
5432,1314,NAVI
5432,1327,NAVI
5432,1340,NAVI
5432,1353,NAVI
5432,1366,NAVI
5432,1379,NAVI
5432,1392,NAVI
5432,1409,NAVI
5420,1409,NAVI
5407,1409,NAVI
5395,1409,NAVI
5383,1409,NAVI
5371,1409,NAVI
5359,1409,NAVI
5347,1409,NAVI
5335,1409,NAVI
5323,1409,NAVI
5311,1409,NAVI
5299,1409,NAVI
5287,1409,NAVI
5275,1409,NAVI
5263,1409,NAVI
5251,1409,NAVI
5238,1409,NAVI
5225,1409,NAVI
5212,1409,NAVI
5200,1409,NAVI
5188,1409,NAVI
5176,1409,NAVI
5164,1409,NAVI
5152,1409,NAVI
5139,1409,NAVI
5126,1409,NAVI
5114,1409,NAVI
5101,1409,NAVI
5089,1409,NAVI
5076,1409,NAVI
5064,1409,NAVI
5052,1409,NAVI
5039,1409,NAVI
5027,1409,NAVI
5015,1409,NAVI
5003,1409,NAVI
4990,1409,NAVI
4978,1409,NAVI
4966,1409,NAVI
4949,1409,NAVI
4937,1409,NAVI
4920,1409,NAVI
4906,1409,NAVI
4894,1409,NAVI
4871,1409,NAVI
4850,1409,NAVI
4838,1409,NAVI
4838,1397,NAVI
4838,1381,NAVI
4838,1363,NAVI
4838,1351,NAVI
4838,1339,NAVI
4838,1327,NAVI
4838,1315,NAVI
4838,1303,NAVI
4838,1291,NAVI
4838,1279,NAVI
4838,1267,NAVI
4838,1254,NAVI
4838,1241,NAVI
4838,1229,NAVI
4838,1217,NAVI
4838,1205,NAVI
4838,1193,NAVI
4838,1181,NAVI
4838,1169,NAVI
4829,1160,NAVI
4820,1151,NAVI
4798,1151,O2
4781,1151,O2
4767,1151,O2
4755,1151,O2
4743,1151,O2
4731,1151,O2
4719,1151,O2
4707,1151,O2
4695,1151,O2
4682,1151,O2
4670,1151,O2
4658,1151,O2
4646,1151,O2
4633,1151,O2
4621,1151,O2
4608,1151,O2
4596,1151,O2
4582,1151,O2
4562,1151,O2
4548,1137,O2
4534,1123,O2
4534,1108,O2
4534,1096,O2
4534,1083,O2
4534,1070,O2
4534,1058,O2
4534,1046,O2
4534,1034,O2
4534,1022,O2
4534,1010,O2
4534,998,O2
4534,986,O2
4534,973,O2
4534,961,O2
4534,949,O2
4534,936,O2
4534,924,O2
4534,912,O2
4534,900,O2
4534,888,O2
4534,875,O2
4534,863,O2
4534,851,O2
4534,839,O2
4534,826,O2
4534,814,O2
4534,802,O2
4534,790,O2
4534,777,O2
4534,765,O2
4534,753,O2
4534,741,O2
4534,729,O2
4511,729,O2
4484,729,O2
4472,729,O2
4460,729,O2
4442,729,O2
4422,729,O2
4407,729,O2
4395,729,O2
4383,729,O2
4370,729,O2
4358,729,O2
4346,729,O2
4334,729,O2
4322,729,O2
4310,729,O2
4298,729,O2
4286,729,O2
4274,729,O2
4262,729,O2
4250,729,O2
4233,729,O2
4221,729,O2
4207,729,O2
4195,729,O2
4183,729,O2
4170,729,O2
4157,729,O2
4145,729,O2
4133,729,O2
4121,729,O2
4109,729,O2
4097,729,O2
4085,729,O2
4059,729,O2
4047,729,O2
4035,729,O2
4023,729,O2
4011,729,O2
3999,729,O2
3987,729,O2
3975,729,O2
3963,729,O2
3950,729,O2
3938,729,O2
3926,729,O2
3913,729,O2
3901,729,O2
3889,729,O2
3873,729,O2
3855,729,O2
3839,729,O2
3827,729,O2
3815,729,O2
3802,729,O2
3793,738,O2
3784,747,O2
3775,756,O2
3766,765,O2
3757,774,O2
3746,785,O2
3737,794,O2
3728,803,O2
3719,812,O2
3710,821,O2
3701,830,O2
3692,839,O2
3683,848,O2
3671,848,O2
3659,848,O2
3647,848,O2
3635,848,O2
3622,848,O2
3609,848,O2
3597,848,O2
3585,848,O2
3572,848,O2
3554,848,O2
3542,848,O2
3530,848,O2
3518,848,O2
3506,848,O2
3494,848,O2
3482,848,O2
3470,848,O2
3458,848,O2
3446,848,O2
3434,848,O2
3422,848,O2
3409,848,O2
3396,848,O2
3381,848,O2
3369,848,O2
3357,848,O2
3345,848,O2
3332,848,O2
3320,848,O2
3308,848,O2
3295,848,O2
3274,848,O2
3245,848,MED
3224,848,MED
3212,848,MED
3200,848,MED
3188,848,MED
3171,848,MED
3153,848,MED
3141,848,MED
3129,848,MED
3117,848,MED
3105,848,MED
3093,848,MED
3081,848,MED
3069,848,MED
3060,839,MED
3051,830,MED
3042,821,MED
3033,812,MED
3024,803,MED
3015,794,MED
3006,785,MED
2997,776,CAFELEF
2988,767,CAFELEF
2979,758,CAFELEF
2970,749,CAFELEF
2961,740,CAFELEF
2952,731,CAFELEF
2943,722,CAFELEF
2934,713,CAFELEF
2925,704,CAFELEF
2916,695,CAFELEF
2904,695,CAFELEF
2892,695,CAFELEF
2880,695,CAFELEF
2868,695,CAFELEF
2856,695,CAFELEF
2844,695,CAFELEF
2832,695,CAFELEF
2820,695,CAFELEF
2808,695,CAFELEF
2796,695,CAFELEF
2784,695,CAFELEF
2772,695,CAFELEF
2759,695,CAFELEF
2747,695,CAFELEF
2734,695,CAFELEF
2722,695,CAFELEF
2710,695,CAFELEF
2698,695,CAFELEF
2686,695,CAFELEF
2674,695,CAFELEF
2662,695,CAFELEF
2650,695,CAFELEF
2638,695,CAFELEF
2626,695,CAFELEF
2614,695,CAFELEF
2602,695,CAFELEF
2590,695,CAFELEF
2578,695,CAFELEF
2566,695,CAFELEF
2552,695,CAFELEF
2533,695,CAFELEF
2521,695,CAFELEF
2489,695,CAFELEF
2474,695,CAFELEF
2461,695,CAFELEF
2449,695,CAFELEF
2436,695,CAFELEF
2424,695,CAFELEF
2412,695,CAFELEF
2399,695,CAFELEF
2387,695,CAFELEF
2378,704,CAFELEF
2369,713,MED
2355,727,MED
2346,736,MED
2346,749,MED
2346,766,MED
2346,779,MED
2346,792,MED
2346,806,MED
2346,819,MED
2346,832,MED
2346,845,MED
2346,858,MED
2346,871,MED
2346,884,MED
2346,897,MED
2346,915,MED
2346,928,MED
2346,941,MED
2346,954,MED
2346,967,MED
2346,980,MED
2346,1001,MED
2346,1014,MED
2346,1027,MED
2346,1040,MED
2346,1053,MED
2346,1066,MED
2346,1079,MED
2346,1092,MED
2346,1105,MED
2346,1118,MED
2346,1131,MED
2346,1144,MED
2346,1157,MED
2346,1170,MED
2346,1183,MED
2346,1196,MED
2346,1209,MED
2346,1222,MED
2346,1235,MED
2346,1248,MED
2346,1261,MED
2346,1274,MED
2346,1287,MED
2346,1300,MED
2346,1313,MED
2355,1322,MED
2364,1331,MED
2373,1340,MED
2382,1349,MED
2391,1358,MED
2400,1367,MED
2409,1376,MED
2418,1385,MED
2427,1394,MED
2427,1407,MED
2427,1420,MED
2427,1437,MED
2427,1450,MED
2427,1466,MED
2427,1473,ELEC
2427,1461,MED
2427,1447,MED
2427,1429,MED
2427,1416,MED
2427,1404,MED
2427,1392,MED
2427,1380,MED
2427,1368,MED
2427,1356,MED
2427,1336,MED
2427,1323,MED
2427,1311,MED
2427,1298,MED
2440,1298,MED
2453,1298,MED
2471,1298,MED
2484,1298,MED
2497,1298,MED
2497,1311,MED
2497,1324,MED
2497,1337,MED
2497,1350,MED
2497,1363,MED
2497,1376,MED
2510,1376,MED
2523,1376,MED
2536,1376,MED
2549,1376,MED
2562,1376,MED
2562,1389,MED
2562,1402,MED
2562,1415,MED
2562,1428,MED
