X,Y,Nearest Task
5432,1210,NAVI
5432,1224,NAVI
5432,1237,NAVI
5432,1250,NAVI
5432,1263,NAVI
5432,1276,NAVI
5432,1289,NAVI
5432,1302,NAVI
5432,1322,NAVI
5432,1335,NAVI
5432,1348,NAVI
5432,1361,NAVI
5432,1381,NAVI
5432,1401,NAVI
5432,1414,NAVI
5432,1427,NAVI
5420,1427,NAVI
5408,1427,NAVI
5396,1427,NAVI
5384,1427,NAVI
5369,1427,NAVI
5353,1427,NAVI
5341,1427,NAVI
5329,1427,NAVI
5317,1427,NAVI
5305,1427,NAVI
5293,1427,NAVI
5281,1427,NAVI
5269,1427,NAVI
5257,1427,NAVI
5245,1427,NAVI
5232,1427,NAVI
5214,1427,NAVI
5202,1427,NAVI
5190,1427,NAVI
5178,1427,NAVI
5166,1427,NAVI
5154,1427,NAVI
5142,1427,NAVI
5130,1427,NAVI
5118,1427,NAVI
5106,1427,NAVI
5094,1427,NAVI
5082,1427,NAVI
5069,1427,NAVI
5049,1427,NAVI
5021,1427,NAVI
5003,1427,NAVI
4990,1427,NAVI
4978,1427,NAVI
4965,1427,NAVI
4946,1427,NAVI
4935,1416,NAVI
4926,1407,NAVI
4917,1398,NAVI
4908,1389,NAVI
4898,1379,NAVI
4880,1361,NAVI
4871,1352,NAVI
4859,1352,NAVI
4847,1352,NAVI
4835,1352,NAVI
4823,1352,NAVI
4811,1352,NAVI
4799,1352,NAVI
4787,1352,NAVI
4779,1352,NAVI
4779,1343,NAVI
4779,1334,NAVI
4779,1325,NAVI
4779,1316,NAVI
4779,1307,NAVI
4779,1298,NAVI
4779,1289,O2
4779,1280,O2
4779,1271,O2
4767,1271,O2
4755,1271,O2
4743,1271,O2
4731,1271,O2
4719,1271,O2
4707,1271,O2
4695,1271,O2
4683,1271,O2
4670,1271,O2
4657,1271,O2
4645,1271,O2
4633,1271,O2
4621,1271,O2
4609,1271,O2
4596,1271,O2
4584,1271,O2
4572,1271,O2
4560,1271,O2
4548,1271,O2
4536,1271,O2
4524,1271,O2
4512,1271,O2
4500,1271,O2
4488,1271,O2
4476,1271,O2
4464,1271,O2
4452,1271,O2
4428,1271,O2
4401,1271,O2
4382,1271,O2
4370,1271,O2
4358,1271,O2
4346,1271,O2
4333,1271,O2
4321,1271,O2
4309,1271,O2
4297,1271,O2
4285,1271,O2
4273,1271,O2
4261,1271,O2
4249,1271,O2
4237,1271,O2
4225,1271,O2
4213,1271,O2
4201,1271,O2
4189,1271,O2
4177,1271,O2
4165,1271,O2
4153,1271,O2
4141,1271,O2
4128,1271,O2
4119,1262,O2
4110,1253,O2
4101,1244,O2
4089,1244,O2
4077,1244,O2
4065,1244,O2
4053,1244,O2
4041,1244,O2
4028,1244,O2
4016,1244,O2
4004,1244,O2
3992,1244,O2
3988,1244,O2
4001,1244,O2
4014,1244,O2
4027,1244,O2
4040,1244,O2
