X,Y,Nearest Task
5432,1210,NAVI
5419,1210,NAVI
5407,1210,NAVI
5395,1210,NAVI
5383,1210,NAVI
5371,1210,NAVI
5359,1210,NAVI
5347,1210,NAVI
5335,1210,NAVI
5323,1210,NAVI
5316,1210,NAVI
5316,1223,NAVI
5316,1236,NAVI
5316,1249,NAVI
5316,1262,NAVI
5316,1275,NAVI
5316,1288,NAVI
5316,1301,NAVI
5316,1314,NAVI
5316,1327,NAVI
5316,1342,NAVI
5316,1358,NAVI
5316,1371,NAVI
5300,1371,NAVI
5288,1371,NAVI
5276,1371,NAVI
5264,1371,NAVI
5249,1371,NAVI
5227,1371,NAVI
5198,1371,NAVI
5186,1371,NAVI
5174,1371,NAVI
5162,1371,NAVI
5150,1371,NAVI
5138,1371,NAVI
5126,1371,NAVI
5114,1371,NAVI
5102,1371,NAVI
5089,1371,NAVI
5077,1371,NAVI
5065,1371,NAVI
5053,1371,NAVI
5041,1371,NAVI
5022,1371,NAVI
5010,1371,NAVI
5001,1380,NAVI
4992,1389,NAVI
4983,1398,NAVI
4974,1407,NAVI
4965,1416,NAVI
4956,1425,NAVI
4947,1433,NAVI
4938,1433,NAVI
4929,1433,NAVI
4920,1433,NAVI
4911,1433,NAVI
4902,1442,NAVI
4893,1451,NAVI
4875,1451,NAVI
4848,1451,NAVI
4836,1451,NAVI
4824,1451,NAVI
4812,1451,NAVI
4800,1451,NAVI
4788,1451,NAVI
4779,1451,NAVI
4779,1460,NAVI
4779,1469,NAVI
4779,1478,NAVI
4779,1487,NAVI
4779,1495,NAVI
4779,1504,NAVI
4779,1513,NAVI
4779,1522,NAVI
4779,1531,NAVI
4770,1540,NAVI
4761,1549,NAVI
4752,1558,NAVI
4743,1567,NAVI
4731,1567,O2
4719,1567,O2
4706,1567,O2
4694,1567,O2
4682,1567,O2
4670,1567,O2
4658,1567,O2
4645,1567,O2
4633,1567,O2
4621,1567,O2
4609,1567,O2
4597,1567,O2
4585,1567,O2
4573,1567,O2
4561,1567,O2
4549,1567,O2
4537,1567,O2
4525,1567,O2
4513,1567,O2
4494,1567,O2
4492,1567,O2
4492,1576,O2
4492,1585,O2
4492,1594,O2
4492,1603,O2
4492,1616,O2
4492,1629,O2
4492,1642,O2
4492,1655,O2
4492,1668,O2
4492,1681,O2
4492,1694,O2
4492,1707,O2
4492,1730,O2
4492,1748,O2
4492,1761,O2
4492,1774,O2
4492,1791,RIGHTCOM
4492,1804,RIGHTCOM
4492,1817,RIGHTCOM
4492,1830,RIGHTCOM
4492,1843,RIGHTCOM
4492,1856,RIGHTCOM
4492,1869,RIGHTCOM
4492,1882,RIGHTCOM
4492,1895,RIGHTCOM
4492,1908,RIGHTCOM
4492,1921,RIGHTCOM
4492,1934,RIGHTCOM
4492,1947,RIGHTCOM
4492,1960,RIGHTCOM
4492,1973,RIGHTCOM
4492,1986,RIGHTCOM
4492,1999,RIGHTCOM
4492,2012,RIGHTCOM
4492,2025,RIGHTCOM
4492,2038,RIGHTCOM
4492,2051,RIGHTCOM
4492,2064,RIGHTCOM
4492,2077,RIGHTCOM
4492,2090,RIGHTCOM
4492,2103,RIGHTCOM
4492,2116,RIGHTCOM
4492,2129,RIGHTCOM
4492,2142,RIGHTCOM
4492,2155,RIGHTCOM
4492,2168,RIGHTCOM
4492,2181,RIGHTCOM
4492,2194,RIGHTCOM
4492,2207,RIGHTCOM
4492,2220,RIGHTCOM
4483,2229,RIGHTCOM
4474,2238,RIGHTCOM
4465,2247,RIGHTCOM
4456,2256,RIGHTCOM
4447,2265,RIGHTCOM
4438,2274,RIGHTCOM
4426,2274,RIGHTCOM
4414,2274,RIGHTCOM
4402,2274,RIGHTCOM
4390,2274,RIGHTCOM
4378,2274,RIGHTCOM
4366,2274,RIGHTCOM
4336,2274,RIGHTCOM
4319,2274,RIGHTCOM
4307,2274,RIGHTCOM
4295,2274,RIGHTCOM
4283,2274,RIGHTCOM
4271,2274,RIGHTCOM
4259,2274,RIGHTCOM
4247,2274,RIGHTCOM
4235,2274,RIGHTCOM
4223,2274,RIGHTCOM
4211,2274,RIGHTCOM
4199,2274,RIGHTCOM
4187,2274,RIGHTCOM
4174,2274,RIGHTCOM
4162,2274,RIGHTCOM
4150,2274,RIGHTCOM
4138,2274,RIGHTCOM
4126,2274,RIGHTCOM
4110,2274,RIGHTCOM
4098,2274,RIGHTCOM
4086,2274,RIGHTCOM
4074,2274,RIGHTCOM
4062,2274,RIGHTCOM
4050,2274,RIGHTCOM
4038,2274,RIGHTCOM
4026,2274,RIGHTCOM
4013,2274,RIGHTCOM
4001,2274,RIGHTCOM
3988,2274,RIGHTCOM
3976,2274,RIGHTCOM
3963,2274,RIGHTCOM
3946,2274,RIGHTCOM
3934,2274,RIGHTCOM
3922,2274,RIGHTCOM
3910,2274,RIGHTCOM
3898,2274,RIGHTCOM
3886,2274,RIGHTCOM
3874,2274,COMM
3862,2274,COMM
3848,2274,COMM
3833,2274,COMM
3821,2274,COMM
3809,2274,COMM
3794,2274,COMM
3782,2274,COMM
3769,2274,COMM
3757,2274,COMM
3745,2274,COMM
3732,2274,COMM
3720,2274,COMM
3708,2274,COMM
3696,2274,COMM
3684,2274,COMM
3672,2274,COMM
3659,2274,COMM
3647,2274,COMM
3635,2274,COMM
3623,2274,COMM
3610,2274,COMM
3598,2274,COMM
3586,2274,COMM
3574,2274,COMM
3565,2265,COMM
3556,2256,COMM
3545,2245,STOR
3533,2233,STOR
3521,2233,STOR
3509,2233,STOR
3497,2233,STOR
3485,2233,STOR
3476,2224,STOR
3467,2215,STOR
3458,2206,STOR
3449,2197,STOR
3437,2185,STOR
3423,2171,STOR
3414,2162,STOR
3412,2153,STOR
3412,2144,STOR
3412,2135,STOR
3412,2126,STOR
3412,2117,STOR
3412,2108,STOR
3412,2099,STOR
3412,2090,STOR
3412,2081,STOR
3403,2072,STOR
3394,2063,STOR
3386,2055,STOR
3380,2046,STOR
3380,2037,STOR
3380,2028,STOR
3371,2019,STOR
3362,2010,STOR
3353,2001,STOR
3344,1992,STOR
3335,1983,STOR
3326,1974,STOR
3317,1965,STOR
3305,1965,ELEC
3293,1965,ELEC
3281,1965,ELEC
3269,1965,ELEC
3257,1965,ELEC
3244,1965,ELEC
3232,1965,ELEC
3220,1965,ELEC
3206,1965,ELEC
3194,1965,ELEC
3182,1965,ELEC
3169,1965,ELEC
3157,1965,ELEC
3144,1965,ELEC
3135,1974,ELEC
3126,1983,ELEC
3117,1992,ELEC
3108,2001,ELEC
3099,2010,ELEC
3090,2019,ELEC
3081,2028,ELEC
3072,2037,ELEC
3063,2046,ELEC
3054,2055,ELEC
3045,2064,ELEC
3036,2073,ELEC
3027,2082,ELEC
3018,2091,ELEC
3009,2100,ELEC
3000,2109,ELEC
2991,2118,ELEC
2982,2127,ELEC
2973,2136,ELEC
2964,2145,ELEC
2955,2154,ELEC
2946,2163,ELEC
2937,2172,ELEC
2928,2181,ELEC
2919,2190,ELEC
2910,2199,ELEC
2901,2208,ELEC
2892,2217,ELEC
2883,2226,ELEC
2874,2235,ELEC
2865,2244,ELEC
2856,2253,ELEC
2847,2262,ELEC
2844,2271,ELEC
2844,2280,ELEC
2844,2289,ELEC
2844,2298,ELEC
2844,2307,ELEC
2857,2307,ELEC
2870,2307,ELEC
2883,2307,ELEC
2896,2307,STOR
2909,2307,STOR
2897,2307,STOR
2885,2307,ELEC
2873,2307,ELEC
2861,2307,ELEC
2848,2307,ELEC
2844,2307,ELEC
2844,2320,ELEC
2844,2333,ELEC
2844,2346,STOR
2844,2359,STOR
2844,2372,STOR
2844,2385,STOR
2844,2398,STOR
2844,2411,STOR
2844,2424,STOR
2844,2437,STOR
2844,2450,STOR
2844,2463,STOR
2844,2476,STOR
2844,2489,STOR
2844,2502,STOR
2844,2515,STOR
2826,2515,STOR
2811,2515,STOR
2798,2515,STOR
2786,2515,STOR
2774,2515,STOR
2762,2515,STOR
2750,2515,STOR
2738,2515,STOR
2726,2515,STOR
2714,2515,STOR
2702,2515,STOR
2690,2515,STOR
2678,2515,STOR
2666,2515,STOR
2654,2515,STOR
2642,2515,STOR
2630,2515,STOR
2618,2515,ELEC
2606,2515,ELEC
2593,2515,ELEC
2581,2515,ELEC
2569,2515,ELEC
2557,2515,ELEC
2545,2515,ELEC
2533,2515,ELEC
2521,2515,ELEC
2508,2515,ELEC
2496,2515,ELEC
2483,2515,ELEC
2471,2515,ELEC
2459,2515,ELEC
2446,2515,ELEC
2434,2515,ELEC
2422,2515,ELEC
2410,2515,ELEC
2398,2515,ELEC
2386,2515,ELEC
2374,2515,ELEC
2362,2515,ELEC
2350,2515,ELEC
2338,2515,ELEC
2326,2515,ELEC
2314,2515,ELEC
2302,2515,ELEC
2289,2515,ELEC
2276,2515,ELEC
2264,2515,ELEC
2252,2515,ELEC
2240,2515,ELEC
2228,2515,ELEC
2216,2515,ELEC
2204,2515,ELEC
2192,2515,ELEC
2175,2515,ELEC
2162,2515,ELEC
2150,2515,ELEC
2137,2515,ELEC
2125,2515,ELEC
2113,2515,ELEC
2101,2515,ELEC
2089,2515,ELEC
2077,2515,ELEC
2065,2515,ELEC
2053,2515,ELEC
2041,2515,ELEC
2029,2515,ELEC
2017,2515,ELEC
2008,2506,ELEC
2008,2494,ELEC
2008,2482,ELEC
2008,2470,ELEC
2008,2458,ELEC
2008,2445,ELEC
2008,2433,ELEC
2008,2421,ELEC
2008,2409,ELEC
2008,2397,ELEC
2008,2385,ELEC
2008,2373,ELEC
2008,2361,ELEC
2008,2347,ELEC
2008,2331,ELEC
2008,2312,ELEC
2008,2296,ELEC
2008,2284,ELEC
2008,2272,ELEC
2008,2253,ELEC
2008,2234,ELEC
1999,2225,ELEC
1990,2216,ELEC
1981,2207,ELEC
1968,2207,ELEC
1956,2207,ELEC
1943,2207,ELEC
1931,2207,ELEC
1919,2207,ELEC
1907,2207,ELEC
1894,2207,ELEC
1882,2207,ELEC
1870,2207,ELEC
1858,2207,ELEC
1845,2207,ELEC
1832,2207,ELEC
1820,2207,ELEC
1807,2207,ELEC
1795,2207,ELEC
1783,2207,ELEC
1771,2207,ELEC
1759,2207,ELEC
1747,2207,ELEC
1734,2207,ELEC
1722,2207,REACDOWN
1710,2207,REACDOWN
1698,2207,REACDOWN
1685,2207,REACDOWN
1673,2207,REACDOWN
1661,2207,REACDOWN
1649,2207,REACDOWN
1637,2207,REACDOWN
1628,2198,REACDOWN
1619,2189,REACDOWN
1610,2180,REACDOWN
1601,2171,REACDOWN
1601,2159,REACDOWN
1601,2147,REACDOWN
1601,2135,REACDOWN
1601,2123,REACDOWN
1601,2111,REACDOWN
1601,2099,REACDOWN
1601,2087,REACDOWN
1601,2074,REACDOWN
1601,2062,REACDOWN
1601,2050,REACDOWN
1601,2038,REACDOWN
1601,2025,REACDOWN
1601,2012,REACDOWN
1601,1999,REACDOWN
1601,1987,REACDOWN
1589,1987,REACDOWN
1577,1987,REACDOWN
1565,1987,REACDOWN
1553,1987,REACDOWN
1541,1987,REACDOWN
1523,1987,REACDOWN
1505,1987,REACDOWN
1493,1987,REACDOWN
1480,1987,REACDOWN
1468,1987,REACDOWN
1452,1987,REACDOWN
1440,1987,REACDOWN
1428,1987,REACDOWN
1416,1987,REACDOWN
1403,1987,REACDOWN
1391,1987,REACDOWN
1379,1987,REACDOWN
1367,1987,REACDOWN
1355,1987,REACDOWN
1343,1987,REACDOWN
1331,1987,REACDOWN
1318,1987,REACDOWN
1309,1978,REACDOWN
1300,1975,REACDOWN
1291,1975,REACDOWN
1282,1975,REACDOWN
1273,1975,REACDOWN
1264,1975,REACDOWN
1255,1975,REACDOWN
1246,1975,REACDOWN
1237,1975,REACDOWN
1228,1975,REACDOWN
1219,1975,REACDOWN
1210,1975,REACDOWN
1223,1975,REACDOWN
1236,1975,REACDOWN
1249,1975,REACDOWN
1262,1975,REACDOWN
1275,1975,REACDOWN
1288,1975,REACDOWN
1301,1975,REACDOWN
1314,1975,REACDOWN
1327,1975,REACDOWN
1340,1975,REACDOWN
1353,1975,REACDOWN
1366,1975,REACDOWN
1379,1975,REACDOWN
1395,1975,REACDOWN
1408,1975,REACDOWN
1425,1975,REACDOWN
1442,1975,REACDOWN
1442,1963,REACDOWN
1442,1950,REACDOWN
1442,1937,REACDOWN
1442,1925,REACDOWN
1442,1912,REACDOWN
1442,1899,REACDOWN
1442,1886,REACDOWN
1442,1874,REACDOWN
1442,1862,REACDOWN
1442,1850,REACDOWN
1442,1838,REACDOWN
1442,1826,REACDOWN
1442,1814,REACDOWN
1442,1802,REACDOWN
1442,1790,REACDOWN
1442,1777,REACDOWN
1442,1765,REACDOWN
1442,1752,REACDOWN
1442,1740,REACDOWN
1442,1725,REACDOWN
1442,1706,REACDOWN
1442,1694,REACDOWN
1442,1682,REACDOWN
1442,1670,REACDOWN
1442,1657,REACDOWN
1442,1645,REACDOWN
1442,1633,REACDOWN
1442,1621,REACDOWN
1442,1609,REACDOWN
1442,1596,REACDOWN
1442,1584,REACDOWN
1442,1572,REACDOWN
1442,1559,REACDOWN
1442,1546,REACDOWN
1442,1534,REACDOWN
1430,1534,REACDOWN
1417,1534,REACDOWN
1405,1534,REACDOWN
1393,1534,REACDOWN
1380,1534,REACDOWN
1368,1534,REACDOWN
1356,1534,REACDOWN
1344,1534,REACDOWN
1331,1534,REACDOWN
1318,1534,REACDOWN
1305,1534,REACDOWN
1293,1534,REACDOWN
1281,1534,REACDOWN
1269,1534,REACDOWN
1257,1534,REACDOWN
1232,1534,REACDOWN
1214,1534,REACDOWN
1202,1534,REACDOWN
1190,1534,REACDOWN
1178,1534,REACDOWN
1166,1534,REACDOWN
1154,1534,REACDOWN
1142,1534,REACDOWN
1124,1534,REACDOWN
1104,1534,REACDOWN
1091,1534,REACDOWN
1079,1534,REACDOWN
1067,1534,REACDOWN
1054,1534,REACDOWN
1042,1534,REACDOWN
1026,1534,REACDOWN
1013,1534,REACDOWN
1001,1534,REACDOWN
988,1534,REACDOWN
976,1534,REACDOWN
964,1534,REACDOWN
952,1534,REACDOWN
940,1534,REACDOWN
928,1534,REACDOWN
915,1534,REACDOWN
928,1534,REACDOWN
941,1534,REACDOWN
954,1534,REACDOWN
967,1534,REACDOWN
980,1534,REACDOWN
968,1534,REACDOWN
956,1534,REACDOWN
944,1534,REACDOWN
925,1534,REACDOWN
907,1534,REACDOWN
895,1534,REACDOWN
883,1534,REACDOWN
883,1521,REACDOWN
883,1509,REACDOWN
883,1497,REACDOWN
883,1485,REACDOWN
871,1485,REACDOWN
859,1485,REACDOWN
852,1485,REACDOWN
