X,Y,Nearest Task
5432,1210,NAVI
5432,1223,NAVI
5432,1242,NAVI
5432,1261,NAVI
5432,1274,NAVI
5432,1287,NAVI
5432,1300,NAVI
5432,1313,NAVI
5432,1326,NAVI
5432,1339,NAVI
5432,1352,NAVI
5432,1365,NAVI
5432,1378,NAVI
5432,1391,NAVI
5432,1404,NAVI
5432,1417,NAVI
5432,1430,NAVI
5432,1443,NAVI
5432,1456,NAVI
5420,1456,NAVI
5408,1456,NAVI
5396,1456,NAVI
5384,1456,NAVI
5372,1456,NAVI
5360,1456,NAVI
5348,1456,NAVI
5336,1456,NAVI
5323,1456,NAVI
5316,1456,NAVI
5316,1447,NAVI
5316,1438,NAVI
5316,1429,NAVI
5307,1420,NAVI
5298,1411,NAVI
5289,1402,NAVI
5280,1393,NAVI
5271,1384,NAVI
5259,1384,NAVI
5247,1384,NAVI
5227,1384,NAVI
5211,1384,NAVI
5199,1384,NAVI
5187,1384,NAVI
5175,1384,NAVI
5163,1384,NAVI
5151,1384,NAVI
5139,1384,NAVI
5127,1384,NAVI
5115,1384,NAVI
5103,1384,NAVI
5091,1384,NAVI
5079,1384,NAVI
5067,1384,NAVI
5055,1384,NAVI
5043,1384,NAVI
5031,1384,NAVI
5019,1384,NAVI
5007,1384,NAVI
4994,1384,NAVI
4982,1384,NAVI
4970,1384,NAVI
4958,1384,NAVI
4945,1384,NAVI
4932,1384,NAVI
4920,1384,NAVI
4908,1384,NAVI
4896,1384,NAVI
4884,1384,NAVI
4872,1384,NAVI
4860,1384,NAVI
4847,1384,NAVI
4835,1384,NAVI
4822,1384,NAVI
4810,1384,NAVI
4798,1384,NAVI
4786,1384,NAVI
4779,1384,NAVI
4779,1397,NAVI
4779,1410,NAVI
4779,1423,NAVI
4779,1436,NAVI
4779,1449,NAVI
4779,1462,NAVI
4779,1475,NAVI
4779,1488,NAVI
4779,1501,NAVI
4779,1514,NAVI
4779,1527,NAVI
4779,1540,NAVI
4779,1553,NAVI
4779,1566,NAVI
4779,1579,NAVI
4779,1592,NAVI
4779,1605,NAVI
4779,1618,NAVI
4779,1631,NAVI
4767,1631,NAVI
4755,1631,NAVI
4743,1631,NAVI
4731,1631,NAVI
4719,1631,O2
4707,1631,O2
4695,1631,O2
4683,1631,O2
4671,1631,O2
4659,1631,O2
4647,1631,O2
4635,1631,O2
4623,1631,O2
4610,1631,O2
4598,1631,O2
4586,1631,O2
4573,1631,O2
4560,1631,O2
4548,1631,O2
4536,1631,O2
4524,1631,O2
4511,1631,O2
4499,1631,O2
4492,1631,O2
4492,1644,O2
4492,1657,O2
4492,1670,O2
4492,1683,O2
4492,1696,O2
4492,1709,O2
4492,1722,O2
4492,1735,O2
4492,1748,O2
4492,1761,O2
4492,1774,O2
4492,1787,RIGHTCOM
4492,1800,RIGHTCOM
4492,1813,RIGHTCOM
4492,1826,RIGHTCOM
4492,1839,RIGHTCOM
4492,1852,RIGHTCOM
4492,1865,RIGHTCOM
4492,1878,RIGHTCOM
4492,1891,RIGHTCOM
4492,1904,RIGHTCOM
4492,1917,RIGHTCOM
4492,1930,RIGHTCOM
4492,1943,RIGHTCOM
4492,1956,RIGHTCOM
4492,1969,RIGHTCOM
4492,1982,RIGHTCOM
4492,1995,RIGHTCOM
4492,2008,RIGHTCOM
4492,2021,RIGHTCOM
4492,2034,RIGHTCOM
4492,2047,RIGHTCOM
4492,2060,RIGHTCOM
4492,2073,RIGHTCOM
4492,2086,RIGHTCOM
4492,2099,RIGHTCOM
4492,2112,RIGHTCOM
4492,2125,RIGHTCOM
4492,2138,RIGHTCOM
4492,2151,RIGHTCOM
4492,2164,RIGHTCOM
4492,2177,RIGHTCOM
4492,2190,RIGHTCOM
4492,2203,RIGHTCOM
4492,2216,RIGHTCOM
4492,2229,RIGHTCOM
4492,2242,RIGHTCOM
4492,2255,RIGHTCOM
4492,2268,RIGHTCOM
4480,2268,RIGHTCOM
4468,2268,RIGHTCOM
4456,2268,RIGHTCOM
4444,2268,RIGHTCOM
4431,2268,RIGHTCOM
4419,2268,RIGHTCOM
4406,2268,RIGHTCOM
4394,2268,RIGHTCOM
4382,2268,RIGHTCOM
4370,2268,RIGHTCOM
4358,2268,RIGHTCOM
4346,2268,RIGHTCOM
4334,2268,RIGHTCOM
4322,2268,RIGHTCOM
4310,2268,RIGHTCOM
4298,2268,RIGHTCOM
4286,2268,RIGHTCOM
4274,2268,RIGHTCOM
4262,2268,RIGHTCOM
4249,2268,RIGHTCOM
4237,2268,RIGHTCOM
4225,2268,RIGHTCOM
4213,2268,RIGHTCOM
4201,2268,RIGHTCOM
4189,2268,RIGHTCOM
4176,2268,RIGHTCOM
4164,2268,RIGHTCOM
4152,2268,RIGHTCOM
4140,2268,RIGHTCOM
4128,2268,RIGHTCOM
4116,2268,RIGHTCOM
4103,2268,RIGHTCOM
4090,2268,RIGHTCOM
4078,2268,RIGHTCOM
4066,2268,RIGHTCOM
4054,2268,RIGHTCOM
4042,2268,RIGHTCOM
4029,2268,RIGHTCOM
4017,2268,RIGHTCOM
4017,2281,RIGHTCOM
4017,2294,RIGHTCOM
4017,2307,RIGHTCOM
4017,2320,RIGHTCOM
4017,2333,RIGHTCOM
4017,2346,RIGHTCOM
4017,2359,RIGHTCOM
4017,2372,RIGHTCOM
4017,2385,RIGHTCOM
4017,2398,RIGHTCOM
4017,2411,RIGHTCOM
4017,2424,RIGHTCOM
4017,2437,RIGHTCOM
4017,2450,RIGHTCOM
4017,2463,RIGHTCOM
4017,2476,RIGHTCOM
4017,2489,RIGHTCOM
4017,2502,COMM
4017,2515,COMM
4017,2528,COMM
4017,2541,COMM
4017,2554,COMM
4017,2568,COMM
4017,2587,COMM
4017,2600,COMM
4017,2617,COMM
4017,2635,COMM
4017,2648,COMM
4017,2661,COMM
4017,2674,COMM
4017,2687,COMM
4017,2700,COMM
4017,2713,COMM
4017,2726,COMM
4017,2739,COMM
4017,2752,COMM
4030,2752,COMM
4043,2752,COMM
4056,2752,COMM
4069,2752,COMM
4082,2752,COMM
4095,2752,COMM
4101,2752,COMM
