X,Y,Nearest Task
5432,1210,NAVI
5432,1229,NAVI
5432,1247,NAVI
5432,1260,NAVI
5432,1282,NAVI
5432,1308,NAVI
5432,1331,NAVI
5432,1345,NAVI
5432,1358,NAVI
5432,1371,NAVI
5432,1384,NAVI
5432,1397,NAVI
5432,1410,NAVI
5432,1423,NAVI
5432,1437,NAVI
5432,1455,NAVI
5432,1469,NAVI
5432,1482,NAVI
5420,1482,NAVI
5408,1482,NAVI
5389,1482,NAVI
5370,1482,NAVI
5358,1482,NAVI
5336,1482,NAVI
5321,1482,NAVI
5316,1482,NAVI
5316,1458,NAVI
5316,1441,NAVI
5316,1422,NAVI
5316,1382,NAVI
5301,1367,NAVI
5289,1367,NAVI
5277,1367,NAVI
5265,1367,NAVI
5253,1367,NAVI
5239,1367,NAVI
5226,1367,NAVI
5214,1367,NAVI
5201,1367,NAVI
5189,1367,NAVI
5177,1367,NAVI
5165,1367,NAVI
5153,1367,NAVI
5141,1367,NAVI
5124,1367,NAVI
5112,1367,NAVI
5092,1367,NAVI
5077,1367,NAVI
5065,1367,NAVI
5047,1367,NAVI
5035,1367,NAVI
5023,1367,NAVI
5003,1367,NAVI
4989,1367,NAVI
4977,1367,NAVI
4965,1367,NAVI
4953,1367,NAVI
4941,1367,NAVI
4929,1367,NAVI
4917,1367,NAVI
4904,1367,NAVI
4895,1358,NAVI
4886,1349,NAVI
4886,1337,NAVI
4886,1325,NAVI
4886,1313,NAVI
4886,1301,NAVI
4886,1289,NAVI
4886,1276,NAVI
4886,1263,NAVI
4886,1250,NAVI
4886,1238,NAVI
4886,1226,NAVI
4886,1214,NAVI
4886,1202,NAVI
4886,1190,NAVI
4886,1178,NAVI
4886,1166,NAVI
4886,1154,NAVI
4886,1149,NAVI
4874,1149,NAVI
4862,1149,NAVI
4849,1149,NAVI
4837,1149,NAVI
4825,1149,NAVI
4813,1149,NAVI
4798,1149,O2
4783,1149,O2
4769,1149,O2
4755,1149,O2
4741,1149,O2
4727,1149,O2
4713,1149,O2
4698,1149,O2
4684,1149,O2
4669,1149,O2
4654,1149,O2
4639,1149,O2
4624,1149,O2
4610,1149,O2
4596,1149,O2
4584,1149,O2
4571,1149,O2
4562,1140,O2
4553,1131,O2
4544,1122,O2
4535,1113,O2
4535,1101,O2
4535,1089,O2
4535,1076,O2
4535,1064,O2
4535,1052,O2
4535,1040,O2
4535,1028,O2
4535,1016,O2
4535,1004,O2
4535,991,O2
4535,979,O2
4535,967,O2
4535,955,O2
4535,943,O2
4535,931,O2
4535,919,O2
4535,907,O2
4535,895,O2
4535,882,O2
4535,870,O2
4535,858,O2
4535,846,O2
4535,834,O2
4535,822,O2
4535,810,O2
4535,798,O2
4535,786,O2
4535,774,O2
4535,761,O2
4535,749,O2
4535,737,O2
4535,725,O2
4535,713,O2
4535,701,O2
4526,692,O2
4517,683,O2
4504,683,O2
4492,683,O2
4480,683,O2
4468,683,O2
4456,683,O2
4444,683,O2
4431,683,O2
4419,683,O2
4407,683,O2
4394,683,O2
4381,683,O2
4368,683,O2
4356,683,O2
4344,683,O2
4332,683,O2
4319,683,O2
4307,683,O2
4295,683,O2
4283,683,O2
4271,683,O2
4259,683,O2
4242,683,O2
4230,683,O2
4218,683,O2
4206,683,O2
4194,683,O2
4180,683,O2
4164,683,O2
4152,683,O2
4140,683,O2
4127,683,O2
4114,683,O2
4101,683,O2
4089,683,O2
4077,683,O2
4065,683,O2
4053,683,O2
4041,683,O2
4029,683,O2
4017,683,O2
4005,683,CAFERIGHT
3993,683,CAFERIGHT
3981,683,CAFERIGHT
3968,683,CAFERIGHT
3956,683,CAFERIGHT
3944,683,CAFERIGHT
3932,683,CAFERIGHT
3919,683,CAFERIGHT
3907,683,CAFERIGHT
3895,683,CAFERIGHT
3883,683,CAFERIGHT
3870,683,CAFERIGHT
3858,683,CAFERIGHT
3845,683,CAFERIGHT
3833,683,CAFERIGHT
3821,683,CAFERIGHT
3809,683,CAFERIGHT
3792,683,CAFERIGHT
3780,683,CAFERIGHT
3771,674,CAFERIGHT
3762,665,CAFERIGHT
3753,656,CAFERIGHT
3741,656,CAFERIGHT
3723,656,CAFERIGHT
3711,656,CAFERIGHT
3699,656,CAFERIGHT
3687,656,CAFERIGHT
3674,656,CAFERIGHT
3662,656,CAFERIGHT
3650,656,CAFERIGHT
3638,656,CAFERIGHT
3626,656,CAFERIGHT
3614,656,CAFERIGHT
3602,656,CAFERIGHT
3590,656,CAFERIGHT
3578,656,CAFERIGHT
3565,656,CAFERIGHT
3556,647,CAFERIGHT
3547,638,CAFERIGHT
3538,629,CAFERIGHT
3529,620,CAFERIGHT
3520,611,CAFERIGHT
3511,602,CAFERIGHT
3502,593,CAFERIGHT
3493,584,CAFERIGHT
3484,575,CAFERIGHT
3475,566,CAFERIGHT
3466,557,CAFERIGHT
3457,548,CAFERIGHT
3448,539,CAFERIGHT
3436,539,CAFERIGHT
3424,539,CAFERIGHT
3412,539,CAFERIGHT
3399,539,CAFERIGHT
3387,539,CAFERIGHT
3375,539,CAFERIGHT
3363,539,CAFERIGHT
3351,539,CAFERIGHT
3339,539,CAFERIGHT
3327,539,CAFERIGHT
3315,539,CAFERIGHT
3303,539,CAFERIGHT
3290,539,CAFERIGHT
3277,539,CAFELEF
3265,539,CAFELEF
3253,539,CAFELEF
3244,548,CAFELEF
3235,557,CAFELEF
3226,566,CAFELEF
3217,575,CAFELEF
3205,575,CAFELEF
3192,575,CAFELEF
3180,575,CAFELEF
3168,575,CAFELEF
3156,575,CAFELEF
3144,575,CAFELEF
3132,575,CAFELEF
3120,575,CAFELEF
3108,575,CAFELEF
3095,575,CAFELEF
3083,575,CAFELEF
3071,575,CAFELEF
3059,575,CAFELEF
3047,575,CAFELEF
3035,575,CAFELEF
3022,575,CAFELEF
3013,584,CAFELEF
3004,593,CAFELEF
2995,602,CAFELEF
2986,611,CAFELEF
2977,620,CAFELEF
2968,629,CAFELEF
2959,638,CAFELEF
2950,647,CAFELEF
2941,656,CAFELEF
2932,665,CAFELEF
2923,674,CAFELEF
