X,Y,Nearest Task
5432,1210,NAVI
5432,1224,NAVI
5432,1239,NAVI
5432,1254,NAVI
5432,1269,NAVI
5432,1284,NAVI
5432,1299,NAVI
5432,1313,NAVI
5432,1328,NAVI
5432,1342,NAVI
5432,1357,NAVI
5432,1372,NAVI
5432,1388,NAVI
5432,1403,NAVI
5417,1403,NAVI
5403,1403,NAVI
5389,1403,NAVI
5375,1403,NAVI
5361,1403,NAVI
5347,1403,NAVI
5333,1403,NAVI
5319,1403,NAVI
5305,1403,NAVI
5292,1403,NAVI
5278,1403,NAVI
5264,1403,NAVI
5250,1403,NAVI
5236,1403,NAVI
5222,1403,NAVI
5208,1403,NAVI
5194,1403,NAVI
5180,1403,NAVI
5165,1403,NAVI
5151,1403,NAVI
5137,1403,NAVI
5123,1403,NAVI
5108,1403,NAVI
5094,1403,NAVI
5080,1403,NAVI
5064,1403,NAVI
5048,1403,NAVI
5032,1403,NAVI
5017,1403,NAVI
5003,1403,NAVI
4989,1403,NAVI
4975,1403,NAVI
4961,1403,NAVI
4947,1403,NAVI
4933,1403,NAVI
4905,1403,NAVI
4890,1403,NAVI
4874,1403,NAVI
4855,1403,NAVI
4843,1391,NAVI
4834,1382,NAVI
4834,1370,NAVI
4834,1358,NAVI
4834,1346,NAVI
4834,1334,NAVI
4834,1316,NAVI
4834,1299,NAVI
4834,1287,NAVI
4834,1275,NAVI
4834,1263,NAVI
4834,1246,NAVI
4834,1234,NAVI
4834,1222,NAVI
4834,1209,NAVI
4834,1195,NAVI
4834,1180,NAVI
4834,1168,NAVI
4834,1156,NAVI
4834,1149,NAVI
4821,1149,NAVI
4809,1149,NAVI
4793,1149,O2
4777,1149,O2
4764,1149,O2
4752,1149,O2
4739,1149,O2
4720,1149,O2
4708,1149,O2
4695,1149,O2
4683,1149,O2
4671,1149,O2
4659,1149,O2
4647,1149,O2
4635,1149,O2
4623,1149,O2
4611,1149,O2
4599,1149,O2
4587,1149,O2
4575,1149,O2
4563,1149,O2
4551,1149,O2
4538,1149,O2
4529,1140,O2
4529,1127,O2
4529,1114,O2
4529,1098,O2
4529,1086,O2
4529,1073,O2
4529,1061,O2
4529,1049,O2
4529,1037,O2
4529,1025,O2
4529,1012,O2
4529,1000,O2
4529,988,O2
4529,976,O2
4529,964,O2
4529,951,O2
4529,939,O2
4529,917,O2
4529,892,O2
4529,879,O2
4529,865,O2
4529,843,O2
4529,831,O2
4529,819,O2
4529,807,O2
4529,795,O2
4529,783,O2
4529,771,O2
4529,758,O2
4529,746,O2
4529,733,O2
4529,716,O2
4529,704,O2
4529,692,O2
4529,680,O2
4529,667,O2
4529,655,O2
4529,653,O2
4520,653,O2
4507,653,O2
4495,653,O2
4483,653,O2
4470,653,O2
4458,653,O2
4445,653,O2
4433,653,O2
4421,653,O2
4409,653,O2
4397,653,O2
4384,653,O2
4372,653,O2
4360,653,O2
4348,653,O2
4336,653,O2
4324,653,O2
4312,653,O2
4300,653,O2
4300,649,O2
4309,649,O2
4318,649,O2
4327,649,O2
4336,649,O2
4345,649,O2
4354,649,O2
4363,649,O2
4372,649,O2
4386,649,O2
4395,640,O2
4404,631,O2
4413,622,O2
4422,613,O2
4422,601,CAFERIGHT
4422,589,CAFERIGHT
4422,577,CAFERIGHT
4422,564,CAFERIGHT
4422,552,CAFERIGHT
4422,540,CAFERIGHT
4422,528,CAFERIGHT
4422,521,CAFERIGHT
4431,521,CAFERIGHT
4440,521,CAFERIGHT
4449,512,CAFERIGHT
4458,503,CAFERIGHT
4467,494,CAFERIGHT
4476,485,CAFERIGHT
4485,476,CAFERIGHT
4494,467,CAFERIGHT
4503,458,CAFERIGHT
4512,449,CAFERIGHT
4512,437,CAFERIGHT
4512,424,CAFERIGHT
4512,412,CAFERIGHT
4512,408,CAFERIGHT
