X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4367,1274,O2
4380,1274,O2
4389,1265,O2
4398,1256,O2
4408,1246,O2
4417,1237,O2
4426,1228,O2
4434,1220,O2
4443,1211,O2
4452,1202,O2
4452,1190,O2
4452,1178,O2
4452,1166,O2
4452,1153,O2
4452,1149,O2
4461,1149,O2
4470,1149,O2
4479,1149,O2
4492,1149,O2
4505,1149,O2
4518,1149,O2
4531,1149,O2
4544,1149,O2
4553,1140,O2
4562,1131,O2
4571,1122,O2
4580,1113,O2
4589,1104,O2
4598,1095,O2
4607,1086,O2
4616,1077,O2
4621,1077,O2
4621,1068,O2
4621,1059,O2
4621,1050,O2
4621,1041,O2
4621,1032,O2
4621,1023,O2
4621,1014,O2
4621,1005,O2
4621,996,O2
4621,987,O2
4621,975,O2
4621,963,O2
4621,950,O2
4621,938,O2
4621,926,O2
4621,914,O2
4621,902,O2
4621,890,O2
4621,878,O2
4621,866,O2
4621,854,O2
4621,842,O2
4621,830,O2
4621,817,O2
4621,805,O2
4621,793,O2
4621,780,O2
4621,767,O2
4621,755,O2
4621,743,O2
4621,731,O2
4621,719,O2
4621,707,O2
4621,695,O2
4621,683,O2
4621,671,O2
4621,659,O2
4621,647,O2
4621,635,O2
4621,623,O2
4621,611,O2
4621,599,O2
4621,586,O2
4621,574,CAFERIGHT
4621,562,CAFERIGHT
4621,550,CAFERIGHT
4621,538,CAFERIGHT
4621,526,CAFERIGHT
4621,514,CAFERIGHT
4621,502,CAFERIGHT
4612,493,CAFERIGHT
4600,493,CAFERIGHT
4588,493,CAFERIGHT
4588,506,CAFERIGHT
4588,519,CAFERIGHT
4588,532,CAFERIGHT
4588,545,CAFERIGHT
4588,558,CAFERIGHT
4588,571,CAFERIGHT
4588,584,CAFERIGHT
4588,597,O2
4588,610,O2
4575,610,O2
4572,610,O2
4572,623,O2
4572,636,O2
4572,649,O2
4572,662,O2
4572,675,O2
4572,688,O2
4560,688,O2
4547,688,O2
4535,688,O2
4523,688,O2
4511,688,O2
4499,688,O2
4487,688,O2
4475,688,O2
4462,688,O2
4450,688,O2
4437,688,O2
4425,688,O2
4412,688,O2
4400,688,O2
4388,688,O2
4376,688,O2
4364,688,O2
4352,688,O2
4339,688,O2
4327,688,O2
4315,688,O2
4303,688,O2
4291,688,O2
4278,688,O2
