X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4223,1274,O2
4236,1274,O2
4249,1274,O2
4262,1274,O2
4275,1274,O2
4288,1274,O2
4301,1274,O2
4314,1274,O2
4327,1274,O2
4340,1274,O2
4353,1274,O2
4366,1274,O2
4379,1274,O2
4392,1274,O2
4405,1274,O2
4418,1274,O2
4431,1274,O2
4444,1274,O2
4457,1274,O2
4470,1274,O2
4483,1274,O2
4496,1274,O2
4509,1274,O2
4522,1274,O2
4535,1274,O2
4548,1274,O2
4557,1265,O2
4557,1253,O2
4557,1241,O2
4557,1229,O2
4557,1217,O2
4557,1205,O2
4557,1193,O2
4557,1180,O2
4557,1168,O2
4557,1156,O2
4557,1143,O2
4557,1131,O2
4557,1119,O2
4557,1107,O2
4557,1095,O2
4557,1083,O2
4557,1071,O2
4557,1059,O2
4557,1047,O2
4557,1035,O2
4557,1023,O2
4557,1011,O2
4557,999,O2
4557,987,O2
4557,975,O2
4557,963,O2
4557,950,O2
4557,938,O2
4557,925,O2
4557,913,O2
4557,900,O2
4557,887,O2
4557,875,O2
4557,863,O2
4557,851,O2
4557,839,O2
4557,827,O2
4557,815,O2
4557,803,O2
4557,791,O2
4557,778,O2
4557,766,O2
4557,754,O2
4557,742,O2
4557,730,O2
4557,718,O2
4545,718,O2
4533,718,O2
4521,718,O2
4509,718,O2
4497,718,O2
4485,718,O2
4473,718,O2
4461,718,O2
4449,718,O2
4437,718,O2
4425,718,O2
4413,718,O2
4401,718,O2
4389,718,O2
4377,718,O2
4365,718,O2
4353,718,O2
4341,718,O2
4329,718,O2
4316,718,O2
4304,718,O2
4291,718,O2
4279,718,O2
4267,718,O2
4255,718,O2
4243,718,O2
4231,718,O2
4219,718,O2
4206,718,O2
4194,718,O2
4182,718,O2
4170,718,O2
4158,718,O2
4146,718,O2
4134,718,O2
4122,718,O2
4109,718,O2
4096,718,O2
4084,718,O2
4072,718,O2
4060,718,O2
4048,718,O2
4035,718,O2
4023,718,O2
4011,718,O2
3998,718,O2
3986,718,O2
3974,718,O2
3962,718,O2
3950,718,O2
3950,706,O2
3950,694,O2
3950,682,CAFERIGHT
3950,670,CAFERIGHT
3950,658,CAFERIGHT
3950,645,CAFERIGHT
3950,633,CAFERIGHT
3950,621,CAFERIGHT
3950,609,CAFERIGHT
3950,596,CAFERIGHT
3950,584,CAFERIGHT
3950,572,CAFERIGHT
3950,560,CAFERIGHT
3950,548,CAFERIGHT
3950,536,CAFERIGHT
3950,523,CAFERIGHT
3950,511,CAFERIGHT
3950,499,CAFERIGHT
3950,486,CAFERIGHT
3950,474,CAFERIGHT
3950,462,CAFERIGHT
3950,450,CAFERIGHT
3950,437,CAFERIGHT
3950,425,CAFERIGHT
3950,413,CAFERIGHT
3950,401,CAFERIGHT
3950,389,CAFERIGHT
3950,377,CAFERIGHT
3938,377,CAFERIGHT
3926,377,CAFERIGHT
3914,377,CAFERIGHT
3914,365,CAFERIGHT
3914,353,CAFERIGHT
3914,341,CAFERIGHT
