X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4367,1274,O2
4380,1274,O2
4393,1274,O2
4406,1274,O2
4419,1274,O2
4432,1274,O2
4440,1266,O2
4449,1257,O2
4449,1245,O2
4449,1233,O2
4449,1221,O2
4449,1209,O2
4449,1196,O2
4449,1184,O2
4449,1171,O2
4449,1158,O2
4449,1149,O2
4458,1149,O2
4467,1149,O2
4476,1149,O2
4489,1149,O2
4502,1149,O2
4515,1149,O2
4528,1149,O2
4541,1149,O2
4554,1149,O2
4567,1149,O2
4580,1149,O2
4593,1149,O2
4606,1149,O2
4619,1149,O2
4632,1149,O2
4620,1149,O2
4608,1149,O2
4596,1149,O2
4584,1149,O2
4584,1137,O2
4584,1125,O2
4584,1112,O2
4584,1100,O2
4584,1088,O2
4584,1076,O2
4584,1064,O2
4584,1052,O2
4584,1040,O2
4584,1028,O2
4584,1016,O2
4584,1004,O2
4584,992,O2
4584,980,O2
4584,968,O2
4584,956,O2
4584,944,O2
4584,932,O2
4584,920,O2
4584,908,O2
4584,896,O2
4584,883,O2
4584,871,O2
4584,859,O2
4584,847,O2
4584,835,O2
4584,823,O2
4584,811,O2
4584,798,O2
4584,785,O2
4584,773,O2
4584,761,O2
4584,749,O2
4584,737,O2
4584,724,O2
4584,712,O2
4584,699,O2
4584,687,O2
4572,687,O2
4560,687,O2
4548,687,O2
4536,687,O2
4524,687,O2
4512,687,O2
4500,687,O2
4488,687,O2
4476,687,O2
4464,687,O2
4452,687,O2
4440,687,O2
4428,687,O2
4416,687,O2
4404,687,O2
4392,687,O2
4380,687,O2
4367,687,O2
4354,687,O2
4342,687,O2
4330,687,O2
4318,687,O2
4306,687,O2
4294,687,O2
4282,687,O2
4270,687,O2
4257,687,O2
4245,687,O2
4233,687,O2
4221,687,O2
4208,687,O2
4196,687,O2
4184,687,O2
4171,687,O2
4159,687,O2
4147,687,O2
4135,687,O2
4122,687,O2
4110,687,O2
4098,687,O2
4086,687,O2
4074,687,O2
4062,687,O2
4050,687,O2
4038,687,O2
4026,687,O2
4014,687,O2
4002,687,O2
3990,687,O2
3978,687,CAFERIGHT
3966,687,CAFERIGHT
3954,687,CAFERIGHT
3942,687,CAFERIGHT
3930,687,CAFERIGHT
3918,687,CAFERIGHT
3906,687,CAFERIGHT
3894,687,CAFERIGHT
