X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4119,1274,O2
4132,1274,O2
4145,1274,O2
4158,1274,O2
4171,1274,O2
4184,1274,O2
4197,1274,O2
4210,1274,O2
4223,1274,O2
4236,1274,O2
4249,1274,O2
4262,1274,O2
4275,1274,O2
4288,1274,O2
4301,1274,O2
4314,1274,O2
4327,1274,O2
4340,1274,O2
4353,1274,O2
4366,1274,O2
4379,1274,O2
4392,1274,O2
4406,1274,O2
4419,1274,O2
4432,1274,O2
4445,1274,O2
4458,1274,O2
4471,1274,O2
4484,1274,O2
4497,1274,O2
4510,1274,O2
4523,1274,O2
4536,1274,O2
4549,1274,O2
4562,1274,O2
4575,1274,O2
4588,1274,O2
4601,1274,O2
4614,1274,O2
4627,1274,O2
4640,1274,O2
4653,1274,O2
4666,1274,O2
4679,1274,O2
4692,1274,O2
4705,1274,O2
4718,1274,O2
4731,1274,O2
4744,1274,O2
4757,1274,O2
4770,1274,O2
4783,1274,NAVI
4796,1274,NAVI
4809,1274,NAVI
4822,1274,NAVI
4835,1274,NAVI
4848,1274,NAVI
4861,1274,NAVI
4874,1274,NAVI
4874,1287,NAVI
4874,1300,NAVI
4874,1313,NAVI
4874,1326,NAVI
4874,1339,NAVI
4874,1352,NAVI
4874,1365,NAVI
4874,1378,NAVI
4874,1391,NAVI
4874,1404,NAVI
4874,1417,NAVI
4874,1430,NAVI
4874,1443,NAVI
4874,1456,NAVI
4874,1469,NAVI
4874,1482,NAVI
4874,1495,NAVI
4874,1508,NAVI
4874,1521,NAVI
4874,1534,NAVI
4874,1547,NAVI
4874,1560,NAVI
4874,1573,NAVI
4874,1586,NAVI
4874,1599,NAVI
4874,1612,NAVI
4861,1612,NAVI
4848,1612,NAVI
4836,1612,NAVI
4824,1612,NAVI
4811,1612,NAVI
4799,1612,NAVI
4786,1612,NAVI
4774,1612,NAVI
4762,1612,NAVI
4750,1612,NAVI
4737,1612,NAVI
4725,1612,O2
4712,1612,O2
4700,1612,O2
4688,1612,O2
4676,1612,O2
4664,1612,O2
4652,1612,O2
4640,1612,O2
4628,1612,O2
4615,1612,O2
4603,1612,O2
4591,1612,O2
4578,1612,O2
4566,1612,O2
4557,1621,O2
4548,1630,O2
4539,1639,O2
4539,1652,O2
4539,1665,O2
4539,1677,O2
4539,1690,O2
4539,1703,O2
4539,1716,O2
4539,1729,O2
4539,1742,O2
4539,1755,O2
4539,1768,RIGHTCOM
4539,1781,RIGHTCOM
4539,1794,RIGHTCOM
4539,1807,RIGHTCOM
4539,1820,RIGHTCOM
4539,1833,RIGHTCOM
4539,1846,RIGHTCOM
4539,1859,RIGHTCOM
4539,1872,RIGHTCOM
