X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4367,1274,O2
4379,1274,O2
4392,1274,O2
4405,1274,O2
4418,1274,O2
4431,1274,O2
4444,1274,O2
4457,1274,O2
4470,1274,O2
4483,1274,O2
4496,1274,O2
4509,1274,O2
4522,1274,O2
4535,1274,O2
4548,1274,O2
4561,1274,O2
4574,1274,O2
4587,1274,O2
4600,1274,O2
4613,1274,O2
4626,1274,O2
4639,1274,O2
4652,1274,O2
4665,1274,O2
4678,1274,O2
4691,1274,O2
4704,1274,O2
4717,1274,O2
4730,1274,O2
4743,1274,O2
4756,1274,O2
4769,1274,O2
4782,1274,O2
4795,1274,NAVI
4808,1274,NAVI
4821,1274,NAVI
4834,1274,NAVI
4834,1287,NAVI
4834,1300,NAVI
4834,1313,NAVI
4834,1326,NAVI
4834,1339,NAVI
4834,1352,NAVI
4834,1365,NAVI
4834,1378,NAVI
4834,1391,NAVI
4834,1404,NAVI
4834,1417,NAVI
4834,1430,NAVI
4834,1443,NAVI
4834,1456,NAVI
4834,1469,NAVI
4834,1482,NAVI
4834,1495,NAVI
4834,1508,NAVI
4834,1521,NAVI
4834,1534,NAVI
4834,1547,NAVI
4834,1560,NAVI
4834,1573,NAVI
4834,1586,NAVI
4834,1599,NAVI
4834,1612,NAVI
4834,1625,NAVI
4834,1638,NAVI
4834,1641,NAVI
4822,1641,NAVI
4810,1641,NAVI
4798,1641,NAVI
4786,1641,NAVI
4774,1641,NAVI
4762,1641,NAVI
4749,1641,NAVI
4736,1641,NAVI
4724,1641,O2
4712,1641,O2
4699,1641,O2
4687,1641,O2
4675,1641,O2
4663,1641,O2
4651,1641,O2
4639,1641,O2
4627,1641,O2
4615,1641,O2
4603,1641,O2
4591,1641,O2
4579,1641,O2
4566,1641,O2
4566,1654,O2
4566,1667,O2
4566,1680,O2
4566,1693,O2
4566,1706,O2
4566,1719,O2
4566,1732,O2
4566,1745,O2
4566,1758,RIGHTCOM
4566,1771,RIGHTCOM
4566,1784,RIGHTCOM
4566,1797,RIGHTCOM
4566,1810,RIGHTCOM
4566,1823,RIGHTCOM
4566,1836,RIGHTCOM
4566,1849,RIGHTCOM
4566,1862,RIGHTCOM
4566,1875,RIGHTCOM
4566,1888,RIGHTCOM
4566,1901,RIGHTCOM
4566,1914,RIGHTCOM
