X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4367,1274,O2
4380,1274,O2
4393,1274,O2
4406,1274,O2
4419,1274,O2
4432,1274,O2
4445,1274,O2
4458,1274,O2
4471,1274,O2
4484,1274,O2
4497,1274,O2
4510,1274,O2
4523,1274,O2
4536,1274,O2
4549,1274,O2
4562,1274,O2
4575,1274,O2
4588,1274,O2
4601,1274,O2
4614,1274,O2
4627,1274,O2
4640,1274,O2
4653,1274,O2
4666,1274,O2
4679,1274,O2
4692,1274,O2
4705,1274,O2
4718,1274,O2
4731,1274,O2
4745,1274,O2
4758,1274,O2
4771,1274,O2
4784,1274,NAVI
4796,1274,NAVI
4809,1274,NAVI
4822,1274,NAVI
4835,1274,NAVI
4848,1274,NAVI
4848,1287,NAVI
4848,1300,NAVI
4848,1313,NAVI
4848,1326,NAVI
4848,1339,NAVI
4848,1352,NAVI
4848,1365,NAVI
4848,1378,NAVI
4848,1391,NAVI
4848,1404,NAVI
4848,1417,NAVI
4848,1430,NAVI
4848,1443,NAVI
4848,1456,NAVI
4848,1469,NAVI
4848,1482,NAVI
4848,1495,NAVI
4848,1508,NAVI
4848,1521,NAVI
4848,1534,NAVI
4848,1547,NAVI
4848,1560,NAVI
4848,1573,NAVI
4848,1586,NAVI
4848,1599,NAVI
4848,1612,NAVI
4848,1625,NAVI
4836,1625,NAVI
4824,1625,NAVI
4812,1625,NAVI
4799,1625,NAVI
4787,1625,NAVI
4775,1625,NAVI
4763,1625,NAVI
4750,1625,NAVI
4738,1625,NAVI
4726,1625,O2
4713,1625,O2
4701,1625,O2
4689,1625,O2
4677,1625,O2
4665,1625,O2
4653,1625,O2
4641,1625,O2
4629,1625,O2
4616,1625,O2
4604,1625,O2
4592,1625,O2
4580,1625,O2
4568,1625,O2
4556,1625,O2
4544,1625,O2
4532,1625,O2
4523,1634,O2
4514,1643,O2
4514,1656,O2
4514,1669,O2
4514,1682,O2
4514,1695,O2
4514,1708,O2
4514,1721,O2
4514,1734,O2
4514,1747,O2
4514,1760,O2
4514,1773,RIGHTCOM
4514,1786,RIGHTCOM
4514,1799,RIGHTCOM
4514,1812,RIGHTCOM
4514,1825,RIGHTCOM
4514,1838,RIGHTCOM
4514,1851,RIGHTCOM
4514,1864,RIGHTCOM
4514,1877,RIGHTCOM
4514,1890,RIGHTCOM
