X,Y,Nearest Task
4081,1274,O2
4081,1262,O2
4081,1249,O2
4081,1237,O2
4081,1225,O2
4081,1212,O2
4081,1200,O2
4081,1188,O2
4081,1176,O2
4081,1165,O2
4094,1165,O2
4107,1165,O2
4120,1165,O2
4133,1165,O2
4146,1165,O2
4159,1165,O2
4172,1165,O2
4185,1165,O2
4198,1165,O2
4211,1165,O2
4224,1165,O2
4237,1165,O2
4250,1165,O2
4263,1165,O2
4276,1165,O2
4289,1165,O2
4302,1165,O2
4315,1165,O2
4328,1165,O2
4341,1165,O2
4354,1165,O2
4367,1165,O2
4380,1165,O2
4393,1165,O2
4406,1165,O2
4419,1165,O2
4432,1165,O2
4445,1165,O2
4458,1165,O2
4471,1165,O2
4484,1165,O2
4497,1165,O2
4510,1165,O2
4519,1156,O2
4519,1144,O2
4519,1132,O2
4519,1119,O2
4519,1107,O2
4519,1095,O2
4519,1083,O2
4519,1070,O2
4519,1058,O2
4519,1046,O2
4519,1033,O2
4519,1021,O2
4519,1009,O2
4519,997,O2
4519,985,O2
4519,973,O2
4519,961,O2
4519,949,O2
4519,937,O2
4519,925,O2
4519,913,O2
4519,900,O2
4519,888,O2
4519,876,O2
4519,864,O2
4519,852,O2
4519,840,O2
4519,827,O2
4519,815,O2
4519,803,O2
4519,790,O2
4519,778,O2
4519,766,O2
4519,753,O2
4519,741,O2
4519,729,O2
4519,716,O2
4519,704,O2
4519,692,O2
4519,680,O2
4519,668,O2
4519,656,O2
4519,653,O2
4507,653,O2
4495,653,O2
4483,653,O2
4471,653,O2
4459,653,O2
4447,653,O2
4435,653,O2
4423,653,O2
4411,653,O2
4399,653,O2
4387,653,O2
4375,653,O2
4363,653,O2
4350,653,O2
4338,653,O2
4326,653,O2
4314,653,O2
4302,653,O2
4289,653,O2
4276,653,O2
4264,653,O2
4252,653,O2
4240,653,O2
4228,653,O2
4215,653,O2
4203,653,O2
4191,653,O2
4178,653,CAFERIGHT
4165,653,CAFERIGHT
4153,653,CAFERIGHT
4141,653,CAFERIGHT
4129,653,CAFERIGHT
4117,653,CAFERIGHT
4105,653,CAFERIGHT
4093,653,CAFERIGHT
4081,653,CAFERIGHT
4069,653,CAFERIGHT
4057,653,CAFERIGHT
4045,653,CAFERIGHT
4033,653,CAFERIGHT
4021,653,CAFERIGHT
4009,653,CAFERIGHT
3996,653,CAFERIGHT
3984,653,CAFERIGHT
3972,653,CAFERIGHT
3960,653,CAFERIGHT
3947,653,CAFERIGHT
3934,653,CAFERIGHT
3922,653,CAFERIGHT
3910,653,CAFERIGHT
3898,653,CAFERIGHT
3886,653,CAFERIGHT
3874,653,CAFERIGHT
3862,653,CAFERIGHT
3849,653,CAFERIGHT
3837,653,CAFERIGHT
3825,653,CAFERIGHT
3813,653,CAFERIGHT
3801,653,CAFERIGHT
3789,653,CAFERIGHT
3777,653,CAFERIGHT
3765,653,CAFERIGHT
3765,666,CAFERIGHT
3765,679,CAFERIGHT
3765,692,CAFERIGHT
3765,705,CAFERIGHT
3765,718,CAFERIGHT
3765,731,O2
3765,744,O2
3765,757,O2
3765,770,O2
3765,783,O2
3753,783,O2
3741,783,O2
3728,783,O2
3716,783,O2
3704,783,O2
3692,783,O2
3680,783,O2
3668,783,O2
3656,783,O2
3644,783,O2
3632,783,O2
3619,783,O2
3607,783,O2
3595,783,O2
3583,783,O2
3571,783,O2
3559,783,O2
3547,783,O2
3535,783,O2
3523,783,O2
3511,783,O2
3499,783,O2
3487,783,O2
3481,783,O2
3481,801,O2
3481,814,O2
3481,827,O2
3481,840,O2
3481,853,O2
3481,866,O2
3481,879,O2
3481,892,O2
3481,897,O2
3469,897,O2
3456,897,O2
3444,897,O2
3432,897,O2
3420,897,O2
3408,897,O2
3395,897,O2
3382,897,O2
3370,897,O2
3358,897,O2
3346,897,O2
3333,897,O2
3321,897,O2
3309,897,O2
3297,897,O2
3285,897,O2
3273,897,MED
3261,897,MED
3248,897,MED
3236,897,MED
3224,897,MED
3212,897,MED
3200,897,MED
3188,897,MED
3176,897,MED
3164,897,MED
3155,888,MED
3146,879,MED
3137,870,MED
3128,861,MED
3119,852,MED
3110,843,MED
3101,834,MED
3092,825,MED
3083,816,MED
3074,807,MED
3065,798,MED
3056,789,CAFELEF
3047,780,CAFELEF
3038,771,CAFELEF
3029,762,CAFELEF
3020,753,CAFELEF
3011,744,CAFELEF
2999,744,CAFELEF
2987,744,CAFELEF
2975,744,CAFELEF
2963,744,CAFELEF
2951,744,CAFELEF
2939,744,CAFELEF
2927,744,CAFELEF
2915,744,CAFELEF
2903,744,CAFELEF
2891,744,CAFELEF
2879,744,CAFELEF
2867,744,CAFELEF
2855,744,CAFELEF
2843,744,CAFELEF
2831,744,CAFELEF
2819,744,CAFELEF
2807,744,CAFELEF
2794,744,CAFELEF
2782,744,CAFELEF
2770,744,CAFELEF
2761,735,CAFELEF
2752,726,CAFELEF
2743,717,CAFELEF
2734,708,CAFELEF
2725,699,CAFELEF
2713,699,CAFELEF
2701,699,CAFELEF
2689,699,CAFELEF
2677,699,CAFELEF
2664,699,CAFELEF
2651,699,CAFELEF
2638,699,CAFELEF
2626,699,CAFELEF
2613,699,CAFELEF
2601,699,CAFELEF
2589,699,CAFELEF
2576,699,CAFELEF
2564,699,CAFELEF
2552,699,CAFELEF
2540,699,CAFELEF
2527,699,CAFELEF
2514,699,CAFELEF
2502,699,CAFELEF
2490,699,CAFELEF
2477,699,CAFELEF
2465,699,CAFELEF
2453,699,CAFELEF
2441,699,CAFELEF
2429,699,CAFELEF
2416,699,CAFELEF
2416,712,CAFELEF
2416,725,MED
2416,736,MED
2404,736,MED
2391,736,MED
2379,736,MED
2367,736,MED
2355,736,MED
2343,736,MED
2330,736,MED
2330,749,MED
2330,762,MED
2330,775,MED
2330,788,MED
2330,805,MED
2330,818,MED
2330,831,MED
2330,844,MED
2330,857,MED
2330,870,MED
2330,883,MED
2330,896,MED
2330,909,MED
2330,922,MED
2330,935,MED
2330,948,MED
2330,961,MED
2330,974,MED
2330,987,MED
2330,1000,MED
2330,1013,MED
2330,1026,MED
2330,1039,MED
2330,1052,MED
2330,1065,MED
2330,1078,MED
2330,1091,MED
2330,1104,MED
2330,1117,MED
2330,1130,MED
2330,1143,MED
2330,1156,MED
2330,1169,MED
2330,1182,MED
2330,1195,MED
2330,1208,MED
2330,1221,MED
2330,1234,MED
2330,1247,MED
2330,1260,MED
2330,1273,MED
2330,1286,MED
2330,1298,MED
2330,1311,MED
2330,1324,MED
2330,1337,MED
2330,1350,MED
2330,1363,MED
2330,1376,MED
2330,1389,MED
2330,1402,MED
2330,1415,MED
2330,1428,MED
2330,1441,ELEC
2330,1454,ELEC
2330,1467,ELEC
2343,1467,ELEC
2356,1467,ELEC
2369,1467,ELEC
2382,1467,ELEC
2395,1467,ELEC
2408,1467,ELEC
2421,1467,ELEC
2434,1467,MED
2447,1467,MED
2460,1467,MED
2473,1467,MED
2486,1467,MED
2499,1467,MED
2512,1467,MED
2525,1467,MED
2538,1467,MED
2551,1467,MED
2564,1467,MED
2564,1455,MED
2564,1443,MED
2564,1431,MED
2564,1418,MED
2564,1406,MED
2564,1393,MED
