X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4337,1265,O2
4346,1256,O2
4355,1247,O2
4364,1238,O2
4377,1238,O2
4390,1238,O2
4402,1238,O2
4415,1238,O2
4428,1238,O2
4441,1238,O2
4454,1238,O2
4467,1238,O2
4480,1238,O2
4493,1238,O2
4506,1238,O2
4519,1238,O2
4532,1238,O2
4545,1238,O2
4558,1238,O2
4571,1238,O2
4584,1238,O2
4597,1238,O2
4610,1238,O2
4623,1238,O2
4636,1238,O2
4649,1238,O2
4662,1238,O2
4675,1238,O2
4688,1238,O2
4701,1238,O2
4714,1238,O2
4727,1238,O2
4740,1238,O2
4753,1238,O2
4766,1238,O2
4779,1238,O2
4792,1238,NAVI
4805,1238,NAVI
4814,1247,NAVI
4814,1260,NAVI
4814,1273,NAVI
4814,1286,NAVI
4814,1299,NAVI
4814,1312,NAVI
4814,1325,NAVI
4814,1338,NAVI
4814,1350,NAVI
4814,1363,NAVI
4814,1376,NAVI
4814,1389,NAVI
4814,1402,NAVI
4814,1415,NAVI
4814,1428,NAVI
4827,1428,NAVI
4840,1428,NAVI
4853,1428,NAVI
4866,1428,NAVI
4879,1428,NAVI
4892,1428,NAVI
4905,1428,NAVI
4918,1428,NAVI
4931,1428,NAVI
4944,1428,NAVI
4957,1428,NAVI
4970,1428,NAVI
4983,1428,NAVI
4996,1428,NAVI
5009,1428,NAVI
5022,1428,NAVI
5035,1428,NAVI
5048,1428,NAVI
5061,1428,NAVI
5074,1428,NAVI
5087,1428,NAVI
5100,1428,NAVI
5113,1428,NAVI
5126,1428,NAVI
5139,1428,NAVI
5152,1428,NAVI
5165,1428,NAVI
5178,1428,NAVI
5191,1428,NAVI
5204,1428,NAVI
5217,1428,NAVI
5230,1428,NAVI
5243,1428,NAVI
5256,1428,NAVI
5269,1428,NAVI
5282,1428,NAVI
5295,1428,NAVI
5308,1428,NAVI
5321,1428,NAVI
5334,1428,NAVI
5347,1428,NAVI
5360,1428,NAVI
5373,1428,NAVI
5386,1428,NAVI
5399,1428,NAVI
5408,1419,NAVI
5408,1407,NAVI
5408,1395,NAVI
5408,1383,NAVI
5408,1371,NAVI
5408,1359,NAVI
5408,1347,NAVI
5408,1335,NAVI
5408,1323,NAVI
5408,1310,NAVI
5408,1297,NAVI
5408,1285,NAVI
5408,1273,NAVI
5408,1261,NAVI
5408,1248,NAVI
5408,1236,NAVI
5408,1223,NAVI
5408,1211,NAVI
5417,1202,NAVI
5426,1193,NAVI
5439,1193,NAVI
5452,1193,NAVI
5465,1193,NAVI
5477,1193,NAVI
5477,1180,NAVI
5477,1175,NAVI
