X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4249,1274,O2
4262,1274,O2
4275,1274,O2
4288,1274,O2
4301,1274,O2
4314,1274,O2
4327,1274,O2
4340,1274,O2
4353,1274,O2
4366,1274,O2
4379,1274,O2
4392,1274,O2
4405,1274,O2
4418,1274,O2
4431,1274,O2
4444,1274,O2
4457,1274,O2
4470,1274,O2
4483,1274,O2
4496,1274,O2
4509,1274,O2
4522,1274,O2
4535,1274,O2
4548,1274,O2
4561,1274,O2
4574,1274,O2
4587,1274,O2
4600,1274,O2
4613,1274,O2
4626,1274,O2
4639,1274,O2
4652,1274,O2
4665,1274,O2
4678,1274,O2
4691,1274,O2
4704,1274,O2
4692,1274,O2
4680,1274,O2
4668,1274,O2
4656,1274,O2
4644,1274,O2
4632,1274,O2
4620,1274,O2
4608,1274,O2
4596,1274,O2
4583,1274,O2
4571,1274,O2
4559,1274,O2
4547,1274,O2
4535,1274,O2
4523,1274,O2
4511,1274,O2
4499,1274,O2
4487,1274,O2
4475,1274,O2
4462,1274,O2
4462,1262,O2
4462,1250,O2
4462,1238,O2
4462,1225,O2
4462,1213,O2
4462,1200,O2
4475,1200,O2
4489,1200,O2
4502,1200,O2
4515,1200,O2
4528,1200,O2
4541,1200,O2
4554,1200,O2
4567,1200,O2
4580,1200,O2
4593,1200,O2
4593,1188,O2
4593,1176,O2
4593,1164,O2
4593,1152,O2
4593,1140,O2
4593,1128,O2
4593,1116,O2
4593,1104,O2
4593,1092,O2
4593,1079,O2
4593,1067,O2
4593,1055,O2
4593,1043,O2
4593,1031,O2
4593,1019,O2
4593,1007,O2
4593,995,O2
4593,983,O2
4593,971,O2
4593,959,O2
4593,947,O2
4593,935,O2
4593,923,O2
4593,911,O2
4593,899,O2
4593,887,O2
4593,875,O2
4593,863,O2
4593,850,O2
4593,838,O2
4593,826,O2
4593,813,O2
4593,801,O2
4593,789,O2
4593,771,O2
4593,758,O2
4593,746,O2
4593,734,O2
4593,722,O2
4593,710,O2
4581,710,O2
4569,710,O2
4557,710,O2
4545,710,O2
4533,710,O2
4521,710,O2
4509,710,O2
4497,710,O2
4485,710,O2
4473,710,O2
4461,710,O2
4449,710,O2
4436,710,O2
4424,710,O2
4412,710,O2
4400,710,O2
4388,710,O2
4376,710,O2
4364,710,O2
4352,710,O2
4340,710,O2
4328,710,O2
4316,710,O2
4304,710,O2
4292,710,O2
4279,710,O2
4267,710,O2
4255,710,O2
4243,710,O2
4231,710,O2
4219,710,O2
