X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4340,1274,O2
4353,1274,O2
4366,1274,O2
4379,1274,O2
4392,1274,O2
4405,1274,O2
4418,1274,O2
4431,1274,O2
4444,1274,O2
4457,1274,O2
4470,1274,O2
4483,1274,O2
4496,1274,O2
4509,1274,O2
4522,1274,O2
4535,1274,O2
4548,1274,O2
4561,1274,O2
4574,1274,O2
4587,1274,O2
4600,1274,O2
4613,1274,O2
4626,1274,O2
4639,1274,O2
4652,1274,O2
4665,1274,O2
4678,1274,O2
4691,1274,O2
4704,1274,O2
4717,1274,O2
4730,1274,O2
4743,1274,O2
4756,1274,O2
4769,1274,O2
4782,1274,O2
4795,1274,NAVI
4808,1274,NAVI
4821,1274,NAVI
4834,1274,NAVI
4847,1274,NAVI
4859,1274,NAVI
4872,1274,NAVI
4885,1274,NAVI
4898,1274,NAVI
4905,1274,NAVI
4905,1287,NAVI
4905,1300,NAVI
4905,1313,NAVI
4905,1326,NAVI
4905,1339,NAVI
4905,1352,NAVI
4905,1365,NAVI
4905,1378,NAVI
4905,1391,NAVI
4905,1404,NAVI
4905,1417,NAVI
4905,1430,NAVI
4905,1433,NAVI
4893,1433,NAVI
4881,1433,NAVI
4869,1433,NAVI
4857,1433,NAVI
4845,1433,NAVI
4833,1433,NAVI
4833,1446,NAVI
4833,1459,NAVI
4833,1472,NAVI
4833,1485,NAVI
4833,1498,NAVI
4833,1511,NAVI
4833,1524,NAVI
4833,1537,NAVI
4833,1550,NAVI
4833,1563,NAVI
4833,1576,NAVI
4833,1589,NAVI
4833,1602,NAVI
4833,1615,NAVI
4833,1628,NAVI
4821,1628,NAVI
4809,1628,NAVI
4797,1628,NAVI
4784,1628,NAVI
4772,1628,NAVI
4760,1628,NAVI
4748,1628,NAVI
4736,1628,NAVI
4723,1628,O2
4711,1628,O2
4699,1628,O2
4687,1628,O2
4675,1628,O2
4663,1628,O2
4651,1628,O2
4639,1628,O2
4626,1628,O2
4614,1628,O2
4602,1628,O2
4589,1628,O2
4577,1628,O2
4565,1628,O2
4553,1628,O2
4541,1628,O2
4532,1637,O2
4523,1646,O2
4523,1659,O2
4523,1672,O2
4523,1685,O2
4523,1698,O2
4523,1711,O2
4523,1724,O2
4523,1737,O2
4523,1750,O2
4523,1763,O2
4523,1776,RIGHTCOM
4523,1789,RIGHTCOM
