X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4368,1274,O2
4381,1274,O2
4394,1274,O2
4407,1274,O2
4420,1274,O2
4433,1274,O2
4446,1274,O2
4459,1274,O2
4472,1274,O2
4485,1274,O2
4498,1274,O2
4511,1274,O2
4524,1274,O2
4524,1262,O2
4524,1250,O2
4524,1238,O2
4524,1226,O2
4524,1214,O2
4524,1202,O2
4524,1190,O2
4524,1178,O2
4524,1166,O2
4524,1154,O2
4524,1142,O2
4524,1129,O2
4524,1117,O2
4524,1105,O2
4524,1093,O2
4524,1080,O2
4524,1068,O2
4524,1056,O2
4524,1043,O2
4524,1031,O2
4524,1019,O2
4524,1007,O2
4524,994,O2
4524,982,O2
4524,970,O2
4524,958,O2
4524,946,O2
4524,933,O2
4524,921,O2
4524,909,O2
4524,897,O2
4524,885,O2
4524,873,O2
4524,861,O2
4524,849,O2
4524,837,O2
4524,825,O2
4524,813,O2
4524,801,O2
4524,789,O2
4524,776,O2
4524,764,O2
4524,752,O2
4524,740,O2
4524,728,O2
4524,716,O2
4524,704,O2
4524,692,O2
4512,692,O2
4500,692,O2
4488,692,O2
4476,692,O2
4464,692,O2
4452,692,O2
4440,692,O2
4428,692,O2
4416,692,O2
4404,692,O2
4392,692,O2
4380,692,O2
4368,692,O2
4356,692,O2
4343,692,O2
4331,692,O2
4319,692,O2
4307,692,O2
4295,692,O2
4283,692,O2
4271,692,O2
4259,692,O2
4247,692,O2
4235,692,O2
4223,692,O2
4211,692,O2
4199,692,O2
4186,692,O2
4174,692,O2
4162,692,O2
4149,692,O2
4137,692,O2
4124,692,O2
4112,692,O2
4100,692,O2
4087,692,O2
4075,692,O2
4063,692,O2
4051,692,O2
4039,692,O2
4027,692,O2
4015,692,O2
4003,692,O2
3991,692,O2
3979,692,O2
3967,692,O2
3955,692,O2
3943,692,CAFERIGHT
3931,692,CAFERIGHT
3919,692,CAFERIGHT
3906,692,CAFERIGHT
3894,692,CAFERIGHT
3881,692,CAFERIGHT
3868,692,CAFERIGHT
3855,692,CAFERIGHT
3843,692,CAFERIGHT
3831,692,CAFERIGHT
3819,692,CAFERIGHT
3807,692,CAFERIGHT
3795,692,CAFERIGHT
3783,692,CAFERIGHT
3771,692,CAFERIGHT
3759,692,CAFERIGHT
3747,692,CAFERIGHT
3735,692,CAFERIGHT
