X,Y,Nearest Task
4081,1274,O2
4094,1274,O2
4107,1274,O2
4120,1274,O2
4133,1274,O2
4146,1274,O2
4159,1274,O2
4172,1274,O2
4185,1274,O2
4198,1274,O2
4211,1274,O2
4224,1274,O2
4237,1274,O2
4250,1274,O2
4263,1274,O2
4276,1274,O2
4289,1274,O2
4302,1274,O2
4315,1274,O2
4328,1274,O2
4341,1274,O2
4354,1274,O2
4367,1274,O2
4380,1274,O2
4393,1274,O2
4406,1274,O2
4419,1274,O2
4432,1274,O2
4445,1274,O2
4458,1274,O2
4471,1274,O2
4484,1274,O2
4493,1265,O2
4502,1256,O2
4511,1247,O2
4511,1235,O2
4511,1223,O2
4511,1211,O2
4511,1198,O2
4511,1186,O2
4511,1173,O2
4511,1160,O2
4511,1148,O2
4511,1136,O2
4511,1124,O2
4511,1112,O2
4511,1100,O2
4511,1088,O2
4511,1076,O2
4511,1064,O2
4511,1052,O2
4511,1039,O2
4511,1027,O2
4511,1015,O2
4511,1002,O2
4511,990,O2
4511,978,O2
4511,966,O2
4511,954,O2
4511,942,O2
4511,930,O2
4511,918,O2
4511,906,O2
4511,894,O2
4511,881,O2
4511,869,O2
4511,857,O2
4511,845,O2
4511,832,O2
4511,820,O2
4511,808,O2
4511,796,O2
4511,784,O2
4511,772,O2
4511,760,O2
4511,748,O2
4511,735,O2
4511,723,O2
4520,714,O2
4533,714,O2
4546,714,O2
4559,714,O2
4572,714,O2
4585,714,O2
4597,714,O2
4610,714,O2
4621,714,O2
4621,705,O2
4621,693,O2
4621,681,O2
4621,669,O2
4621,656,O2
4621,644,O2
4621,632,O2
4621,620,O2
4621,608,O2
4621,596,O2
4621,584,O2
4621,572,CAFERIGHT
4621,560,CAFERIGHT
4621,548,CAFERIGHT
4621,536,CAFERIGHT
4621,524,CAFERIGHT
4621,512,CAFERIGHT
4621,500,CAFERIGHT
4621,487,CAFERIGHT
4621,475,CAFERIGHT
4621,463,CAFERIGHT
4621,451,CAFERIGHT
4621,439,CAFERIGHT
4621,437,CAFERIGHT
4609,437,CAFERIGHT
4597,437,CAFERIGHT
4585,437,CAFERIGHT
4573,437,CAFERIGHT
4561,437,CAFERIGHT
4549,437,CAFERIGHT
4537,437,CAFERIGHT
4525,437,CAFERIGHT
4512,437,CAFERIGHT
4512,424,CAFERIGHT
4512,412,CAFERIGHT
4512,408,CAFERIGHT
