X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1006,1522,REACDOWN
1019,1522,REACDOWN
1032,1522,REACDOWN
1045,1522,REACDOWN
1058,1522,REACDOWN
1071,1522,REACDOWN
1084,1522,REACDOWN
1097,1522,REACDOWN
1110,1522,REACDOWN
1123,1522,REACDOWN
1136,1522,REACDOWN
1149,1522,REACDOWN
1162,1522,REACDOWN
1175,1522,REACDOWN
1188,1522,REACDOWN
1201,1522,REACDOWN
1214,1522,REACDOWN
1227,1522,REACDOWN
1240,1522,REACDOWN
1253,1522,REACDOWN
1266,1522,REACDOWN
1279,1522,REACDOWN
1292,1522,REACDOWN
1305,1522,REACDOWN
1319,1522,REACDOWN
1332,1522,REACDOWN
1353,1522,REACDOWN
1374,1522,REACDOWN
1387,1522,REACDOWN
1403,1522,REACDOWN
1422,1522,REACDOWN
1435,1522,REACDOWN
1448,1522,REACDOWN
1461,1522,REACDOWN
1474,1522,REACDOWN
1474,1510,REACDOWN
1474,1497,REACDOWN
1474,1462,REACUP
1474,1446,REACUP
1474,1434,REACUP
1474,1420,REACUP
1474,1404,REACUP
1474,1392,REACUP
1474,1380,REACUP
1474,1368,REACUP
1474,1355,REACUP
1474,1343,REACUP
1474,1331,REACUP
1474,1314,REACUP
1474,1296,REACUP
1474,1283,REACUP
1474,1270,REACUP
1474,1258,REACUP
1474,1246,REACUP
1474,1226,REACUP
1474,1210,REACUP
1474,1189,REACUP
1474,1170,REACUP
1474,1154,REACUP
1474,1137,REACUP
1474,1122,REACUP
1474,1110,REACUP
1474,1098,REACUP
1474,1086,REACUP
1474,1073,REACUP
1474,1060,REACUP
1474,1048,REACUP
1474,1035,REACUP
1474,1022,REACUP
1474,1009,REACUP
1474,997,REACUP
1474,985,REACUP
1474,973,REACUP
1483,964,REACUP
1496,964,REACUP
1509,964,REACUP
1522,964,REACUP
1535,964,REACUP
1548,964,REACUP
1561,964,REACUP
1574,964,REACUP
1587,964,REACUP
1600,964,REACUP
1613,964,REACUP
1626,964,REACUP
1637,964,REACUP
1637,955,REACUP
1637,946,REACUP
1637,937,REACUP
1637,928,REACUP
1637,920,REACUP
1637,911,REACUP
1637,902,REACUP
1637,893,REACUP
1637,884,REACUP
1637,875,REACUP
1637,866,REACUP
1637,857,REACUP
1637,843,REACUP
1637,829,REACUP
1637,820,REACUP
1637,811,REACUP
1637,802,REACUP
1637,793,REACUP
1637,784,REACUP
1637,775,REACUP
1637,766,REACUP
1637,757,REACUP
1637,748,REACUP
1637,739,REACUP
1637,730,REACUP
1646,721,REACUP
1655,712,REACUP
1664,703,REACUP
1673,694,REACUP
1686,694,REACUP
1699,694,REACUP
1712,694,REACUP
1725,694,REACUP
1738,694,REACUP
1751,694,REACUP
1764,694,REACUP
1777,694,REACUP
1790,694,REACUP
1803,694,REACUP
1816,694,REACUP
1829,694,REACUP
1842,694,REACUP
1855,694,MED
1868,694,MED
1881,694,MED
1894,694,MED
1909,694,MED
1922,694,MED
1935,694,MED
1956,694,MED
1969,694,MED
1982,694,MED
1995,694,MED
2008,694,MED
2021,694,MED
2034,694,MED
2047,694,MED
2060,694,MED
2073,694,MED
2086,694,MED
2099,694,MED
2112,694,MED
2125,694,MED
2140,694,MED
2159,694,MED
2172,694,MED
2185,694,MED
2198,694,MED
2211,694,MED
2224,694,MED
2237,694,CAFELEF
2250,694,CAFELEF
2263,694,CAFELEF
2276,694,CAFELEF
2289,694,CAFELEF
2302,694,CAFELEF
2317,694,CAFELEF
2330,694,CAFELEF
2345,694,CAFELEF
2358,694,CAFELEF
2372,694,CAFELEF
2389,694,CAFELEF
2402,694,CAFELEF
2415,694,CAFELEF
2430,694,CAFELEF
2446,694,CAFELEF
2459,694,CAFELEF
2472,694,CAFELEF
2485,694,CAFELEF
2498,694,CAFELEF
2511,694,CAFELEF
2524,694,CAFELEF
2537,694,CAFELEF
2550,694,CAFELEF
2563,694,CAFELEF
2576,694,CAFELEF
2590,694,CAFELEF
2603,694,CAFELEF
2616,694,CAFELEF
2629,694,CAFELEF
2642,694,CAFELEF
2655,694,CAFELEF
2668,694,CAFELEF
2681,694,CAFELEF
2694,694,CAFELEF
2707,694,CAFELEF
2720,694,CAFELEF
2733,694,CAFELEF
2746,694,CAFELEF
2759,694,CAFELEF
2768,685,CAFELEF
2777,676,CAFELEF
2786,667,CAFELEF
2795,658,CAFELEF
2808,658,CAFELEF
2817,649,CAFELEF
2826,640,CAFELEF
2835,631,CAFELEF
2844,622,CAFELEF
2853,613,CAFELEF
2862,604,CAFELEF
2875,604,CAFELEF
2888,604,CAFELEF
2901,604,CAFELEF
2914,604,CAFELEF
2927,604,CAFELEF
2942,604,CAFELEF
2957,604,CAFELEF
2972,604,CAFELEF
2988,604,CAFELEF
3004,604,CAFELEF
3019,604,CAFELEF
3032,604,CAFELEF
3018,604,CAFELEF
3004,604,CAFELEF
2990,604,CAFELEF
2976,604,CAFELEF
2962,604,CAFELEF
2948,604,CAFELEF
2935,604,CAFELEF
2921,604,CAFELEF
2907,604,CAFELEF
2893,604,CAFELEF
2879,604,CAFELEF
2865,604,CAFELEF
2852,604,CAFELEF
2838,604,CAFELEF
2826,604,CAFELEF
2809,604,CAFELEF
2809,592,CAFELEF
2809,580,CAFELEF
2809,568,CAFELEF
2809,553,CAFELEF
2809,537,CAFELEF
2809,525,CAFELEF
2809,513,CAFELEF
2809,498,CAFELEF
