X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1009,1522,REACDOWN
1024,1522,REACDOWN
1037,1522,REACDOWN
1050,1522,REACDOWN
1063,1522,REACDOWN
1076,1522,REACDOWN
1089,1522,REACDOWN
1102,1522,REACDOWN
1115,1522,REACDOWN
1128,1522,REACDOWN
1141,1522,REACDOWN
1154,1522,REACDOWN
1167,1522,REACDOWN
1180,1522,REACDOWN
1193,1522,REACDOWN
1206,1522,REACDOWN
1219,1522,REACDOWN
1232,1522,REACDOWN
1245,1522,REACDOWN
1258,1522,REACDOWN
1271,1522,REACDOWN
1284,1522,REACDOWN
1297,1522,REACDOWN
1310,1522,REACDOWN
1323,1522,REACDOWN
1336,1522,REACDOWN
1349,1522,REACDOWN
1349,1506,REACDOWN
1349,1493,REACDOWN
1349,1481,REACDOWN
1349,1465,REACUP
1349,1453,REACUP
1349,1441,REACUP
1349,1429,REACUP
1349,1416,REACUP
1349,1413,REACUP
1371,1413,REACUP
1385,1413,REACUP
1398,1413,REACUP
1411,1413,REACUP
1424,1413,REACUP
1437,1413,REACUP
1450,1413,REACUP
1463,1413,REACUP
1463,1401,REACUP
1463,1389,REACUP
1463,1377,REACUP
1463,1364,REACUP
1463,1352,REACUP
1463,1340,REACUP
1463,1327,REACUP
1463,1315,REACUP
1463,1303,REACUP
1463,1291,REACUP
1463,1279,REACUP
1463,1267,REACUP
1463,1255,REACUP
1463,1243,REACUP
1463,1231,REACUP
1463,1219,REACUP
1463,1207,REACUP
1463,1194,REACUP
1463,1181,REACUP
1463,1169,REACUP
1463,1157,REACUP
1463,1145,REACUP
1463,1133,REACUP
1463,1121,REACUP
1463,1109,REACUP
1463,1097,REACUP
1463,1085,REACUP
1463,1062,REACUP
1463,1047,REACUP
1463,1034,REACUP
1463,1022,REACUP
1463,1010,REACUP
1463,998,REACUP
1463,986,REACUP
1463,974,REACUP
1463,962,REACUP
1463,950,REACUP
1463,938,REACUP
1463,926,REACUP
1463,914,REACUP
1463,902,REACUP
1472,893,REACUP
1481,884,REACUP
1490,877,REACUP
1501,877,REACUP
1510,877,REACUP
1519,877,REACUP
1528,877,REACUP
1537,877,REACUP
1546,877,REACUP
1555,868,REACUP
1564,859,REACUP
1564,853,REACUP
1573,844,REACUP
1582,835,REACUP
1591,826,REACUP
1600,817,REACUP
1609,808,REACUP
1619,798,REACUP
1619,779,REACUP
1619,767,REACUP
1619,755,REACUP
1619,743,REACUP
1619,726,REACUP
1619,701,REACUP
1619,687,REACUP
1619,674,REACUP
1619,662,REACUP
1619,650,REACUP
1619,638,REACUP
1619,626,REACUP
1619,613,REACUP
1619,601,REACUP
1619,580,REACUP
1619,558,REACUP
1628,549,REACUP
1637,540,REACUP
1637,531,REACUP
1637,522,REACUP
1637,509,REACUP
1637,479,REACUP
1637,467,REACUP
1637,485,REACUP
1637,498,REACUP
1637,511,REACUP
1637,524,REACUP
1637,543,REACUP
1637,558,REACUP
1637,571,REACUP
1637,584,REACUP
1637,597,REACUP
1637,610,REACUP
1637,623,REACUP
1637,636,REACUP
1637,649,REACUP
1637,662,REACUP
1637,675,REACUP
1637,688,REACUP
1637,701,REACUP
1637,714,REACUP
1650,714,REACUP
1663,714,REACUP
1678,714,REACUP
1697,714,REACUP
1710,714,REACUP
1723,714,REACUP
1736,714,REACUP
1749,714,REACUP
1762,714,REACUP
1775,714,REACUP
1788,714,REACUP
1801,714,REACUP
1814,714,REACUP
1827,714,REACUP
1840,714,REACUP
1853,714,MED
1866,714,MED
1879,714,MED
1892,714,MED
1905,714,MED
1918,714,MED
1931,714,MED
1944,714,MED
1957,714,MED
1970,714,MED
1983,714,MED
1996,714,MED
2009,714,MED
2023,714,MED
2040,714,MED
2053,714,MED
2084,714,MED
2103,714,MED
2119,714,MED
2132,714,MED
2145,714,MED
2158,714,MED
2171,714,MED
2184,714,MED
2200,714,MED
2218,714,MED
2231,714,MED
2244,714,MED
2257,714,MED
2270,714,MED
2283,714,MED
2296,714,MED
2326,714,MED
2346,714,MED
2359,714,MED
2372,714,MED
2385,714,MED
2398,714,MED
2411,714,CAFELEF
2424,714,CAFELEF
2437,714,CAFELEF
2450,714,CAFELEF
2463,714,CAFELEF
2476,714,CAFELEF
2489,714,CAFELEF
2502,714,CAFELEF
2542,714,CAFELEF
2558,714,CAFELEF
2571,714,CAFELEF
2584,714,CAFELEF
2598,714,CAFELEF
2611,714,CAFELEF
2624,714,CAFELEF
2637,714,CAFELEF
2652,714,CAFELEF
2672,714,CAFELEF
2685,714,CAFELEF
2698,714,CAFELEF
2711,714,CAFELEF
2724,714,CAFELEF
2744,714,CAFELEF
2757,714,CAFELEF
2770,714,CAFELEF
2783,714,CAFELEF
2796,714,CAFELEF
2809,714,CAFELEF
2822,714,CAFELEF
2831,723,CAFELEF
2840,732,CAFELEF
2849,741,CAFELEF
2858,750,CAFELEF
2867,759,CAFELEF
2876,768,CAFELEF
2885,777,MED
2894,786,MED
2903,795,MED
2912,804,MED
2921,813,MED
2930,822,MED
2939,831,MED
2948,840,MED
2957,849,MED
2970,849,MED
2983,849,MED
2996,849,MED
3009,849,MED
3028,849,MED
3045,849,MED
3058,849,MED
3071,849,MED
3084,849,MED
3097,849,MED
3120,849,MED
3140,849,MED
3153,849,MED
3166,849,MED
3179,849,MED
3192,849,MED
3205,849,MED
3218,849,MED
3231,849,MED
3244,849,MED
3257,849,MED
3270,849,MED
