X,Y,Nearest Task
889,1522,REACDOWN
907,1522,REACDOWN
922,1522,REACDOWN
935,1522,REACDOWN
948,1522,REACDOWN
961,1522,REACDOWN
974,1522,REACDOWN
987,1522,REACDOWN
1000,1522,REACDOWN
1013,1522,REACDOWN
1026,1522,REACDOWN
1039,1522,REACDOWN
1063,1522,REACDOWN
1082,1522,REACDOWN
1102,1522,REACDOWN
1121,1522,REACDOWN
1137,1522,REACDOWN
1150,1522,REACDOWN
1163,1522,REACDOWN
1176,1522,REACDOWN
1189,1522,REACDOWN
1202,1522,REACDOWN
1215,1522,REACDOWN
1231,1522,REACDOWN
1254,1522,REACDOWN
1267,1522,REACDOWN
1280,1522,REACDOWN
1293,1522,REACDOWN
1307,1522,REACDOWN
1320,1522,REACDOWN
1333,1522,REACDOWN
1346,1522,REACDOWN
1359,1522,REACDOWN
1372,1522,REACDOWN
1385,1522,REACDOWN
1398,1522,REACDOWN
1411,1522,REACDOWN
1424,1522,REACDOWN
1437,1522,REACDOWN
1450,1522,REACDOWN
1463,1522,REACDOWN
1476,1522,REACDOWN
1489,1522,REACDOWN
1502,1522,REACDOWN
1515,1522,REACDOWN
1528,1522,REACDOWN
1541,1522,REACDOWN
1554,1522,REACDOWN
1567,1522,REACDOWN
1580,1522,REACDOWN
1593,1522,REACDOWN
1606,1522,REACDOWN
1619,1522,REACDOWN
1632,1522,REACDOWN
1645,1522,ELEC
1658,1522,ELEC
1671,1522,ELEC
1684,1522,ELEC
1697,1522,ELEC
1710,1522,ELEC
1723,1522,ELEC
1736,1522,ELEC
1753,1522,ELEC
1766,1522,ELEC
1783,1522,ELEC
1796,1522,ELEC
1809,1522,ELEC
1822,1522,ELEC
1835,1522,ELEC
1848,1522,ELEC
1861,1522,ELEC
1874,1522,ELEC
1887,1522,ELEC
1900,1522,ELEC
1913,1522,ELEC
1913,1535,ELEC
1913,1548,ELEC
1913,1561,ELEC
1913,1574,ELEC
1913,1587,ELEC
1913,1600,ELEC
1913,1613,ELEC
1913,1626,ELEC
1913,1639,ELEC
1913,1652,ELEC
1913,1640,ELEC
1913,1628,ELEC
1913,1616,ELEC
1913,1604,ELEC
