X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
981,1522,REACDOWN
999,1522,REACDOWN
1018,1522,REACDOWN
1031,1522,REACDOWN
1044,1522,REACDOWN
1057,1522,REACDOWN
1070,1522,REACDOWN
1083,1522,REACDOWN
1096,1522,REACDOWN
1109,1522,REACDOWN
1122,1522,REACDOWN
1135,1522,REACDOWN
1156,1522,REACDOWN
1169,1522,REACDOWN
1182,1522,REACDOWN
1195,1522,REACDOWN
1208,1522,REACDOWN
1221,1522,REACDOWN
1234,1522,REACDOWN
1247,1522,REACDOWN
1260,1522,REACDOWN
1273,1522,REACDOWN
1286,1522,REACDOWN
1299,1522,REACDOWN
1312,1522,REACDOWN
1325,1522,REACDOWN
1342,1522,REACDOWN
1355,1522,REACDOWN
1371,1522,REACDOWN
1384,1522,REACDOWN
1397,1522,REACDOWN
1407,1532,REACDOWN
1407,1549,REACDOWN
1407,1562,REACDOWN
1407,1575,REACDOWN
1407,1588,REACDOWN
1407,1601,REACDOWN
1407,1614,REACDOWN
1407,1627,REACDOWN
1407,1640,REACDOWN
1407,1664,REACDOWN
1407,1693,REACDOWN
1407,1706,REACDOWN
1407,1719,REACDOWN
1407,1732,REACDOWN
1407,1745,REACDOWN
1407,1758,REACDOWN
1407,1772,REACDOWN
1407,1789,REACDOWN
1407,1802,REACDOWN
1407,1815,REACDOWN
1407,1828,REACDOWN
1407,1841,REACDOWN
1407,1854,REACDOWN
1407,1867,REACDOWN
1407,1880,REACDOWN
1407,1893,REACDOWN
1407,1906,REACDOWN
1407,1919,REACDOWN
1407,1932,REACDOWN
1407,1945,REACDOWN
1407,1958,REACDOWN
1407,1971,REACDOWN
1407,1984,REACDOWN
1416,1993,REACDOWN
1429,1993,REACDOWN
1442,1993,REACDOWN
1455,1993,REACDOWN
1468,1993,REACDOWN
1481,1993,REACDOWN
1493,1993,REACDOWN
1506,1993,REACDOWN
1519,1993,REACDOWN
1532,1993,REACDOWN
1545,1993,REACDOWN
1562,1993,REACDOWN
1575,1993,REACDOWN
1588,1993,REACDOWN
1601,1993,REACDOWN
1614,1993,REACDOWN
1627,1993,REACDOWN
1629,2002,REACDOWN
1629,2011,REACDOWN
1629,2020,REACDOWN
1629,2033,REACDOWN
1629,2046,REACDOWN
1629,2059,REACDOWN
1629,2072,REACDOWN
1629,2085,REACDOWN
1629,2098,REACDOWN
1629,2111,REACDOWN
1629,2124,REACDOWN
1629,2137,REACDOWN
1629,2150,REACDOWN
1629,2163,REACDOWN
1629,2176,REACDOWN
1629,2189,REACDOWN
1629,2202,REACDOWN
1629,2215,REACDOWN
1629,2228,REACDOWN
1629,2241,REACDOWN
1638,2250,REACDOWN
1651,2250,REACDOWN
1664,2250,REACDOWN
1677,2250,REACDOWN
1690,2250,REACDOWN
1703,2250,REACDOWN
1716,2250,REACDOWN
1729,2250,REACDOWN
1742,2250,ELEC
1755,2250,ELEC
1768,2250,ELEC
1781,2250,ELEC
1794,2250,ELEC
1807,2250,ELEC
1820,2250,ELEC
1833,2250,ELEC
1846,2250,ELEC
1859,2250,ELEC
1872,2250,ELEC
1885,2250,ELEC
1898,2250,ELEC
1911,2250,ELEC
1924,2250,ELEC
1943,2250,ELEC
1963,2250,ELEC
1978,2250,ELEC
1991,2250,ELEC
2004,2250,ELEC
2013,2259,ELEC
2023,2269,ELEC
2023,2289,ELEC
2023,2303,ELEC
2023,2321,ELEC
2023,2335,ELEC
2023,2348,ELEC
2023,2361,ELEC
2023,2374,ELEC
2023,2391,ELEC
2023,2404,ELEC
2023,2424,ELEC
2023,2437,ELEC
2023,2450,ELEC
2023,2474,ELEC
2023,2492,ELEC
2023,2505,ELEC
2023,2518,ELEC
2023,2531,ELEC
2023,2544,ELEC
2023,2557,ELEC
2036,2570,ELEC
2045,2579,ELEC
2054,2588,ELEC
2063,2593,ELEC
2072,2593,ELEC
2081,2593,ELEC
2094,2593,ELEC
2107,2593,ELEC
2120,2593,ELEC
2133,2593,ELEC
2146,2593,ELEC
2159,2593,ELEC
2172,2593,ELEC
2185,2593,ELEC
2198,2593,ELEC
2211,2593,ELEC
2224,2593,ELEC
2237,2593,ELEC
2250,2593,ELEC
2263,2593,ELEC
2276,2593,ELEC
2289,2593,ELEC
2298,2584,ELEC
2298,2572,ELEC
2298,2560,ELEC
2298,2544,ELEC
2298,2529,ELEC
2298,2514,ELEC
2298,2499,ELEC
2298,2485,ELEC
2298,2471,ELEC
2298,2457,ELEC
2298,2443,ELEC
2298,2429,ELEC
2298,2415,ELEC
2298,2401,ELEC
2298,2386,ELEC
2298,2372,ELEC
2298,2358,ELEC
2298,2344,ELEC
2298,2330,ELEC
2298,2316,ELEC
2298,2302,ELEC
2298,2287,ELEC
2298,2273,ELEC
2298,2259,ELEC
2298,2245,ELEC
2298,2231,ELEC
2298,2217,ELEC
2308,2207,ELEC
2318,2197,ELEC
2333,2197,ELEC
2348,2197,ELEC
2363,2197,ELEC
2378,2197,ELEC
2393,2197,ELEC
2408,2197,ELEC
2423,2197,ELEC
2439,2197,ELEC
2456,2197,ELEC
2470,2197,ELEC
2483,2197,ELEC
2496,2197,ELEC
2509,2197,ELEC
2535,2197,ELEC
2557,2197,ELEC
2565,2197,ELEC
2565,2188,ELEC
2574,2179,ELEC
2574,2167,ELEC
2574,2155,ELEC
2574,2142,ELEC
2574,2130,ELEC
2574,2118,ELEC
2574,2106,ELEC
2574,2094,ELEC
2574,2082,ELEC
