X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1006,1522,REACDOWN
1019,1522,REACDOWN
1032,1522,REACDOWN
1045,1522,REACDOWN
1058,1522,REACDOWN
1071,1522,REACDOWN
1084,1522,REACDOWN
1097,1522,REACDOWN
1110,1522,REACDOWN
1123,1522,REACDOWN
1136,1522,REACDOWN
1149,1522,REACDOWN
1162,1522,REACDOWN
1175,1522,REACDOWN
1188,1522,REACDOWN
1201,1522,REACDOWN
1214,1522,REACDOWN
1227,1522,REACDOWN
1240,1522,REACDOWN
1253,1522,REACDOWN
1266,1522,REACDOWN
1279,1522,REACDOWN
1292,1522,REACDOWN
1305,1522,REACDOWN
1318,1522,REACDOWN
1331,1522,REACDOWN
1344,1522,REACDOWN
1357,1522,REACDOWN
1370,1522,REACDOWN
1383,1522,REACDOWN
1383,1535,REACDOWN
1383,1548,REACDOWN
1383,1561,REACDOWN
1383,1574,REACDOWN
1383,1587,REACDOWN
1383,1600,REACDOWN
1383,1613,REACDOWN
1383,1626,REACDOWN
1383,1639,REACDOWN
1383,1652,REACDOWN
1383,1665,REACDOWN
1383,1678,REACDOWN
1383,1691,REACDOWN
1383,1704,REACDOWN
1383,1717,REACDOWN
1383,1730,REACDOWN
1383,1743,REACDOWN
1383,1756,REACDOWN
1383,1769,REACDOWN
1383,1782,REACDOWN
1383,1795,REACDOWN
1383,1808,REACDOWN
1383,1821,REACDOWN
1383,1834,REACDOWN
1383,1847,REACDOWN
1383,1860,REACDOWN
1383,1873,REACDOWN
1383,1886,REACDOWN
1383,1899,REACDOWN
1383,1912,REACDOWN
1383,1925,REACDOWN
1383,1938,REACDOWN
1383,1951,REACDOWN
1383,1964,REACDOWN
1396,1964,REACDOWN
1409,1964,REACDOWN
1422,1964,REACDOWN
1435,1964,REACDOWN
1448,1964,REACDOWN
1461,1964,REACDOWN
1474,1964,REACDOWN
1487,1964,REACDOWN
1487,1978,REACDOWN
1487,1991,REACDOWN
1487,2004,REACDOWN
1487,2017,REACDOWN
1487,2030,REACDOWN
1487,2040,REACDOWN
1500,2040,REACDOWN
1513,2040,REACDOWN
1526,2040,REACDOWN
1539,2040,REACDOWN
1552,2040,REACDOWN
1565,2040,REACDOWN
1578,2040,REACDOWN
1591,2040,REACDOWN
1604,2040,REACDOWN
1626,2040,REACDOWN
1629,2040,REACDOWN
1629,2053,REACDOWN
1629,2066,REACDOWN
1629,2079,REACDOWN
1629,2092,REACDOWN
1629,2105,REACDOWN
1629,2118,REACDOWN
1629,2131,REACDOWN
1629,2144,REACDOWN
1629,2157,REACDOWN
1629,2176,REACDOWN
1629,2189,REACDOWN
1629,2202,REACDOWN
1629,2215,REACDOWN
1629,2228,REACDOWN
1629,2242,REACDOWN
1653,2242,REACDOWN
1672,2242,REACDOWN
1689,2242,REACDOWN
1702,2242,REACDOWN
1715,2242,REACDOWN
1728,2242,REACDOWN
1741,2242,ELEC
1754,2242,ELEC
1767,2242,ELEC
1780,2242,ELEC
1793,2242,ELEC
1806,2242,ELEC
1819,2242,ELEC
1832,2242,ELEC
1845,2242,ELEC
1858,2242,ELEC
1871,2242,ELEC
1884,2242,ELEC
1897,2242,ELEC
1910,2242,ELEC
1923,2242,ELEC
1936,2242,ELEC
1952,2242,ELEC
1975,2242,ELEC
1975,2260,ELEC
1975,2273,ELEC
1975,2286,ELEC
1975,2299,ELEC
1975,2312,ELEC
1975,2325,ELEC
1975,2338,ELEC
1975,2351,ELEC
1975,2364,ELEC
1975,2377,ELEC
1975,2390,ELEC
1975,2403,ELEC
1975,2417,ELEC
1975,2430,ELEC
1975,2443,ELEC
1975,2456,ELEC
1975,2469,ELEC
1975,2482,ELEC
1975,2495,ELEC
1975,2508,ELEC
1975,2521,ELEC
1975,2534,ELEC
1975,2547,ELEC
1975,2560,ELEC
1975,2573,ELEC
1975,2586,ELEC
1975,2593,ELEC
1993,2593,ELEC
2006,2593,ELEC
2019,2593,ELEC
2035,2593,ELEC
2053,2593,ELEC
2066,2593,ELEC
2079,2593,ELEC
2092,2593,ELEC
2105,2593,ELEC
2118,2593,ELEC
2131,2593,ELEC
2144,2593,ELEC
2157,2593,ELEC
2173,2593,ELEC
2191,2593,ELEC
2204,2593,ELEC
2217,2593,ELEC
2230,2593,ELEC
2243,2593,ELEC
2256,2593,ELEC
2275,2593,ELEC
2288,2593,ELEC
2301,2593,ELEC
2314,2593,ELEC
2327,2593,ELEC
2340,2593,ELEC
2353,2593,ELEC
2366,2593,ELEC
2379,2593,ELEC
2392,2593,ELEC
2405,2593,ELEC
2423,2593,ELEC
2441,2593,ELEC
2454,2593,ELEC
2467,2593,ELEC
2480,2593,ELEC
2495,2593,ELEC
2513,2593,ELEC
2526,2593,ELEC
2539,2593,STOR
2552,2593,STOR
2566,2593,STOR
2589,2593,STOR
2602,2593,STOR
2615,2593,STOR
2628,2593,STOR
2643,2593,STOR
2656,2593,STOR
2669,2593,STOR
2682,2593,STOR
2695,2593,STOR
2708,2593,STOR
2721,2593,STOR
2734,2593,STOR
2747,2593,STOR
2765,2593,STOR
2778,2593,STOR
2791,2593,STOR
2804,2593,STOR
2817,2593,STOR
2830,2593,STOR
2843,2593,STOR
2856,2593,STOR
2869,2593,STOR
2882,2593,STOR
2895,2593,STOR
2895,2606,STOR
2895,2619,STOR
2895,2632,STOR
2895,2645,STOR
2895,2658,STOR
2895,2671,STOR
2895,2680,STOR
