X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
917,1522,REACDOWN
931,1522,REACDOWN
945,1522,REACDOWN
958,1522,REACDOWN
972,1522,REACDOWN
986,1522,REACDOWN
1000,1522,REACDOWN
1013,1522,REACDOWN
1026,1522,REACDOWN
1039,1522,REACDOWN
1052,1522,REACDOWN
1065,1522,REACDOWN
1078,1522,REACDOWN
1091,1522,REACDOWN
1104,1522,REACDOWN
1117,1522,REACDOWN
1130,1522,REACDOWN
1143,1522,REACDOWN
1156,1522,REACDOWN
1169,1522,REACDOWN
1182,1522,REACDOWN
1195,1522,REACDOWN
1208,1522,REACDOWN
1221,1522,REACDOWN
1234,1522,REACDOWN
1247,1522,REACDOWN
1260,1522,REACDOWN
1273,1522,REACDOWN
1286,1522,REACDOWN
1299,1522,REACDOWN
1312,1522,REACDOWN
1325,1522,REACDOWN
1338,1522,REACDOWN
1351,1522,REACDOWN
1372,1522,REACDOWN
1372,1535,REACDOWN
1372,1551,REACDOWN
1372,1569,REACDOWN
1372,1582,REACDOWN
1372,1595,REACDOWN
1372,1608,REACDOWN
1372,1621,REACDOWN
1372,1634,REACDOWN
1372,1647,REACDOWN
1372,1660,REACDOWN
1372,1673,REACDOWN
1372,1686,REACDOWN
1372,1699,REACDOWN
1372,1712,REACDOWN
1372,1729,REACDOWN
1372,1749,REACDOWN
1372,1762,REACDOWN
1372,1775,REACDOWN
1372,1788,REACDOWN
1372,1801,REACDOWN
1372,1814,REACDOWN
1372,1827,REACDOWN
1372,1840,REACDOWN
1372,1853,REACDOWN
1372,1866,REACDOWN
1372,1879,REACDOWN
1372,1892,REACDOWN
1372,1905,REACDOWN
1372,1923,REACDOWN
1372,1938,REACDOWN
1381,1947,REACDOWN
1397,1947,REACDOWN
1410,1947,REACDOWN
1423,1947,REACDOWN
1436,1947,REACDOWN
1449,1947,REACDOWN
1462,1947,REACDOWN
1475,1947,REACDOWN
1487,1947,REACDOWN
1487,1963,REACDOWN
1487,1976,REACDOWN
1487,1989,REACDOWN
1487,2002,REACDOWN
1487,2015,REACDOWN
1487,2028,REACDOWN
1487,2040,REACDOWN
1496,2040,REACDOWN
1509,2040,REACDOWN
1522,2040,REACDOWN
1535,2040,REACDOWN
1548,2040,REACDOWN
1561,2040,REACDOWN
1574,2040,REACDOWN
1587,2040,REACDOWN
1600,2040,REACDOWN
1613,2040,REACDOWN
1626,2040,REACDOWN
1629,2040,REACDOWN
1629,2053,REACDOWN
1629,2066,REACDOWN
1629,2079,REACDOWN
1629,2092,REACDOWN
1629,2105,REACDOWN
1629,2119,REACDOWN
1629,2140,REACDOWN
1629,2153,REACDOWN
1629,2166,REACDOWN
1629,2179,REACDOWN
1629,2192,REACDOWN
1629,2205,REACDOWN
1629,2218,REACDOWN
1629,2231,REACDOWN
1629,2244,REACDOWN
1629,2257,REACDOWN
1629,2275,REACDOWN
1629,2288,REACDOWN
1629,2301,REACDOWN
1629,2314,REACDOWN
1629,2327,REACDOWN
1629,2340,REACDOWN
1629,2353,REACDOWN
1629,2366,REACDOWN
1629,2379,REACDOWN
1629,2392,REACDOWN
1617,2392,REACDOWN
1605,2392,REACDOWN
1592,2392,REACDOWN
1579,2392,REACDOWN
1567,2392,REACDOWN
1555,2392,REACDOWN
1543,2392,REACDOWN
1531,2392,REACDOWN
1519,2392,REACDOWN
1507,2392,REACDOWN
1495,2392,REACDOWN
1483,2392,REACDOWN
1471,2392,REACDOWN
1459,2392,REACDOWN
1447,2392,REACDOWN
1434,2392,REACDOWN
1422,2392,REACDOWN
1410,2392,REACDOWN
1398,2392,REACDOWN
1386,2392,REACDOWN
1374,2392,REACDOWN
1362,2392,REACDOWN
1350,2392,REACDOWN
1338,2392,REACDOWN
1326,2392,REACDOWN
1314,2392,REACDOWN
1302,2392,REACDOWN
1290,2392,REACDOWN
1290,2405,REACDOWN
1290,2418,REACDOWN
1290,2431,REACDOWN
1290,2444,REACDOWN
1290,2432,REACDOWN
1290,2420,REACDOWN
1290,2408,REACDOWN
1290,2396,REACDOWN
1290,2409,REACDOWN
1290,2422,REACDOWN
1290,2435,REACDOWN
