X,Y,Nearest Task
889,1522,REACDOWN
889,1507,REACDOWN
889,1490,REACDOWN
889,1478,REACDOWN
889,1464,REACDOWN
889,1447,REACUP
889,1434,REACUP
889,1416,REACUP
902,1416,REACUP
915,1416,REACUP
928,1416,REACUP
941,1416,REACUP
954,1416,REACUP
967,1416,REACUP
980,1416,REACUP
993,1416,REACUP
1006,1416,REACUP
1019,1416,REACUP
1032,1416,REACUP
1045,1416,REACUP
1067,1416,REACUP
1085,1416,REACUP
1098,1416,REACUP
1111,1416,REACUP
1127,1416,REACUP
1146,1416,REACUP
1159,1416,REACUP
1172,1416,REACUP
1185,1416,REACUP
1198,1416,REACUP
1211,1416,REACUP
1211,1429,REACUP
1211,1442,REACUP
1211,1455,REACUP
1211,1468,REACDOWN
1211,1480,REACDOWN
1211,1493,REACDOWN
1211,1506,REACDOWN
1220,1515,REACDOWN
1229,1524,REACDOWN
1242,1524,REACDOWN
1256,1524,REACDOWN
1273,1524,REACDOWN
1286,1524,REACDOWN
1299,1524,REACDOWN
1312,1524,REACDOWN
1327,1524,REACDOWN
1345,1524,REACDOWN
1358,1524,REACDOWN
1371,1524,REACDOWN
1384,1524,REACDOWN
1397,1524,REACDOWN
1410,1524,REACDOWN
1423,1524,REACDOWN
1436,1524,REACDOWN
1449,1524,REACDOWN
1462,1524,REACDOWN
1475,1524,REACDOWN
1488,1524,REACDOWN
1501,1524,REACDOWN
1514,1524,REACDOWN
1527,1524,REACDOWN
1536,1533,REACDOWN
1536,1544,REACDOWN
1524,1544,REACDOWN
1512,1544,REACDOWN
1500,1544,REACDOWN
1488,1544,REACDOWN
1475,1544,REACDOWN
1463,1544,REACDOWN
1439,1544,REACDOWN
1426,1544,REACDOWN
1414,1544,REACDOWN
1402,1544,REACDOWN
1402,1557,REACDOWN
1402,1570,REACDOWN
1402,1583,REACDOWN
1402,1596,REACDOWN
1402,1609,REACDOWN
1402,1622,REACDOWN
1402,1635,REACDOWN
1402,1648,REACDOWN
1402,1665,REACDOWN
1402,1678,REACDOWN
1402,1691,REACDOWN
1402,1704,REACDOWN
1402,1717,REACDOWN
1402,1730,REACDOWN
1402,1743,REACDOWN
1402,1756,REACDOWN
1402,1769,REACDOWN
1402,1782,REACDOWN
1402,1795,REACDOWN
1402,1808,REACDOWN
1402,1821,REACDOWN
1402,1834,REACDOWN
1402,1847,REACDOWN
1402,1860,REACDOWN
1402,1873,REACDOWN
1402,1886,REACDOWN
1402,1901,REACDOWN
1402,1918,REACDOWN
1402,1931,REACDOWN
1402,1944,REACDOWN
1402,1959,REACDOWN
1415,1972,REACDOWN
1428,1972,REACDOWN
1441,1972,REACDOWN
1454,1972,REACDOWN
1467,1972,REACDOWN
1480,1972,REACDOWN
1487,1972,REACDOWN
1487,1991,REACDOWN
1487,2007,REACDOWN
1487,2020,REACDOWN
1487,2033,REACDOWN
1487,2040,REACDOWN
1496,2040,REACDOWN
1509,2040,REACDOWN
1522,2040,REACDOWN
1535,2040,REACDOWN
1548,2040,REACDOWN
1561,2040,REACDOWN
1574,2040,REACDOWN
1587,2040,REACDOWN
1600,2040,REACDOWN
1613,2040,REACDOWN
1626,2040,REACDOWN
1629,2040,REACDOWN
1629,2053,REACDOWN
1629,2066,REACDOWN
1629,2079,REACDOWN
1629,2092,REACDOWN
1629,2105,REACDOWN
1629,2118,REACDOWN
1629,2131,REACDOWN
1629,2144,REACDOWN
1629,2157,REACDOWN
1629,2170,REACDOWN
1629,2183,REACDOWN
1629,2196,REACDOWN
1629,2209,REACDOWN
1629,2222,REACDOWN
1629,2235,REACDOWN
1629,2248,REACDOWN
1629,2261,REACDOWN
1629,2278,REACDOWN
1629,2287,REACDOWN
1629,2278,REACDOWN
1629,2269,REACDOWN
1638,2260,REACDOWN
1647,2251,REACDOWN
1656,2242,REACDOWN
1665,2233,REACDOWN
1674,2224,REACDOWN
1687,2224,REACDOWN
1700,2224,REACDOWN
1713,2224,REACDOWN
1726,2224,REACDOWN
1739,2224,ELEC
1752,2224,ELEC
1765,2224,ELEC
1778,2224,ELEC
1791,2224,ELEC
1808,2224,ELEC
1830,2224,ELEC
1846,2224,ELEC
1859,2224,ELEC
1872,2224,ELEC
1885,2224,ELEC
1898,2224,ELEC
1911,2224,ELEC
1924,2224,ELEC
1937,2224,ELEC
1950,2224,ELEC
1963,2224,ELEC
1976,2224,ELEC
1985,2233,ELEC
1994,2242,ELEC
2003,2251,ELEC
2012,2260,ELEC
2021,2269,ELEC
2029,2278,ELEC
2029,2287,ELEC
2029,2296,ELEC
2029,2305,ELEC
2029,2314,ELEC
2029,2323,ELEC
2029,2332,ELEC
2029,2341,ELEC
2029,2350,ELEC
2029,2363,ELEC
2029,2376,ELEC
2029,2389,ELEC
2029,2402,ELEC
2029,2415,ELEC
2029,2428,ELEC
2029,2441,ELEC
2029,2454,ELEC
2029,2467,ELEC
2029,2476,ELEC
2038,2485,ELEC
2047,2494,ELEC
2056,2503,ELEC
2065,2512,ELEC
2074,2521,ELEC
2083,2530,ELEC
2092,2539,ELEC
2101,2548,ELEC
2114,2548,ELEC
2127,2548,ELEC
2140,2548,ELEC
2153,2548,ELEC
2166,2548,ELEC
2179,2548,ELEC
2192,2548,ELEC
2205,2548,ELEC
2218,2548,ELEC
2231,2548,ELEC
2246,2548,ELEC
2264,2548,ELEC
2282,2548,ELEC
2296,2548,ELEC
2309,2548,ELEC
2322,2548,ELEC
2335,2548,ELEC
2348,2548,ELEC
2361,2548,ELEC
2374,2548,ELEC
2387,2548,ELEC
2401,2548,ELEC
2418,2548,ELEC
2431,2548,ELEC
2444,2548,ELEC
2457,2548,ELEC
2470,2548,ELEC
2483,2548,ELEC
2496,2548,ELEC
2509,2548,ELEC
2522,2548,ELEC
2535,2548,ELEC
2550,2548,ELEC
2568,2548,ELEC
2581,2548,ELEC
2594,2548,STOR
2607,2548,STOR
2620,2548,STOR
2633,2548,STOR
2646,2548,STOR
2659,2548,STOR
2672,2548,STOR
2685,2548,STOR
2698,2548,STOR
2711,2548,STOR
2724,2548,STOR
2737,2548,STOR
2750,2548,STOR
2763,2548,STOR
2776,2548,STOR
2789,2548,STOR
2802,2548,STOR
2815,2548,STOR
2828,2548,STOR
2841,2548,STOR
2854,2548,STOR
2867,2548,STOR
2880,2548,STOR
2893,2548,STOR
2906,2548,STOR
2919,2548,STOR
2932,2548,STOR
2945,2548,STOR
2958,2548,STOR
2971,2548,STOR
2984,2548,STOR
2993,2557,STOR
3004,2568,STOR
3017,2581,STOR
3026,2590,STOR
3039,2590,STOR
3052,2590,STOR
3065,2590,STOR
3080,2590,STOR
3095,2590,STOR
3108,2590,STOR
3121,2590,STOR
3134,2590,STOR
3147,2590,STOR
3149,2590,STOR
3149,2599,STOR
3158,2608,STOR
3167,2617,STOR
3176,2626,STOR
3185,2635,STOR
3194,2644,STOR
3203,2653,STOR
3212,2662,STOR
3221,2671,STOR
3234,2671,STOR
3247,2671,STOR
3260,2671,STOR
3279,2671,STOR
3292,2671,STOR
3305,2671,STOR
3318,2671,STOR
3331,2671,STOR
3344,2671,STOR
3360,2671,STOR
3373,2658,STOR
3383,2648,STOR
3392,2639,STOR
3401,2630,STOR
3410,2621,STOR
3419,2612,STOR
3428,2603,STOR
3437,2594,STOR
3446,2585,STOR
3455,2576,STOR
3467,2564,STOR
3476,2555,STOR
3485,2546,STOR
3494,2537,STOR
3502,2527,STOR
3502,2514,STOR
3502,2505,STOR
3502,2496,STOR
3502,2487,STOR
3502,2478,STOR
3502,2469,STOR
3502,2460,STOR
3502,2451,STOR
3502,2442,STOR
3502,2433,STOR
3502,2424,STOR
3502,2415,STOR
3502,2406,STOR
3502,2397,STOR
3502,2388,STOR
3502,2379,STOR
3502,2370,STOR
3502,2361,STOR
3502,2352,STOR
3502,2343,STOR
3502,2334,STOR
3502,2325,STOR
3502,2316,STOR
3511,2307,STOR
3524,2307,STOR
3537,2307,STOR
3550,2307,STOR
3565,2307,COMM
3584,2307,COMM
3597,2307,COMM
3610,2307,COMM
3623,2307,COMM
3636,2307,COMM
3650,2307,COMM
3666,2307,COMM
3679,2307,COMM
3692,2307,COMM
3705,2307,COMM
3718,2307,COMM
3731,2307,COMM
3767,2307,COMM
3786,2307,COMM
3799,2307,COMM
3812,2307,COMM
3825,2307,COMM
3843,2307,COMM
3859,2307,COMM
3872,2307,COMM
3885,2307,COMM
3898,2307,COMM
3911,2307,RIGHTCOM
3924,2307,RIGHTCOM
3937,2307,RIGHTCOM
3950,2307,RIGHTCOM
3963,2307,RIGHTCOM
3976,2307,RIGHTCOM
3989,2307,RIGHTCOM
4002,2307,RIGHTCOM
4015,2307,RIGHTCOM
4028,2307,RIGHTCOM
4041,2307,RIGHTCOM
4054,2307,RIGHTCOM
4075,2307,RIGHTCOM
4089,2307,RIGHTCOM
4102,2307,RIGHTCOM
4115,2307,RIGHTCOM
4128,2307,RIGHTCOM
4141,2307,RIGHTCOM
4154,2307,RIGHTCOM
4167,2307,RIGHTCOM
4180,2307,RIGHTCOM
4193,2307,RIGHTCOM
4206,2307,RIGHTCOM
4219,2307,RIGHTCOM
4232,2307,RIGHTCOM
4245,2307,RIGHTCOM
4258,2307,RIGHTCOM
4271,2307,RIGHTCOM
4284,2307,RIGHTCOM
4297,2307,RIGHTCOM
4310,2307,RIGHTCOM
4323,2307,RIGHTCOM
4336,2307,RIGHTCOM
4349,2307,RIGHTCOM
4362,2307,RIGHTCOM
4375,2307,RIGHTCOM
4384,2298,RIGHTCOM
4393,2289,RIGHTCOM
4402,2280,RIGHTCOM
4411,2271,RIGHTCOM
4420,2262,RIGHTCOM
4429,2253,RIGHTCOM
4438,2244,RIGHTCOM
4451,2244,RIGHTCOM
4451,2232,RIGHTCOM
4451,2220,RIGHTCOM
4451,2208,RIGHTCOM
4451,2196,RIGHTCOM
4451,2184,RIGHTCOM
4451,2172,RIGHTCOM
4451,2165,RIGHTCOM
