X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1006,1522,REACDOWN
1019,1522,REACDOWN
1032,1522,REACDOWN
1045,1522,REACDOWN
1058,1522,REACDOWN
1071,1522,REACDOWN
1084,1522,REACDOWN
1103,1522,REACDOWN
1119,1522,REACDOWN
1132,1522,REACDOWN
1145,1522,REACDOWN
1158,1522,REACDOWN
1171,1522,REACDOWN
1184,1522,REACDOWN
1197,1522,REACDOWN
1210,1522,REACDOWN
1223,1522,REACDOWN
1236,1522,REACDOWN
1254,1522,REACDOWN
1267,1522,REACDOWN
1280,1522,REACDOWN
1293,1522,REACDOWN
1306,1522,REACDOWN
1319,1522,REACDOWN
1335,1522,REACDOWN
1348,1522,REACDOWN
1361,1522,REACDOWN
1374,1522,REACDOWN
1387,1522,REACDOWN
1400,1522,REACDOWN
1400,1510,REACDOWN
1400,1498,REACDOWN
1400,1481,REACDOWN
1400,1461,REACUP
1400,1448,REACUP
1400,1436,REACUP
1400,1423,REACUP
1400,1411,REACUP
1400,1398,REACUP
1400,1386,REACUP
1400,1373,REACUP
1400,1361,REACUP
1400,1349,REACUP
1400,1337,REACUP
1400,1325,REACUP
1400,1313,REACUP
1400,1300,REACUP
1400,1288,REACUP
1400,1275,REACUP
1400,1262,REACUP
1400,1250,REACUP
1400,1237,REACUP
1400,1224,REACUP
1400,1204,REACUP
1400,1167,REACUP
1400,1151,REACUP
1400,1136,REACUP
1400,1124,REACUP
1400,1112,REACUP
1400,1099,REACUP
1400,1087,REACUP
1400,1075,REACUP
1400,1062,REACUP
1400,1050,REACUP
1400,1038,REACUP
1400,1026,REACUP
1400,1013,REACUP
1409,1004,REACUP
1418,995,REACUP
1427,986,REACUP
1440,986,REACUP
1453,986,REACUP
1466,986,REACUP
1479,986,REACUP
1486,986,REACUP
1486,977,REACUP
1486,968,REACUP
1495,959,REACUP
1504,950,REACUP
1513,941,REACUP
1526,941,REACUP
1539,941,REACUP
1554,941,REACUP
1570,941,REACUP
1583,941,REACUP
1596,941,REACUP
1609,941,REACUP
1622,941,REACUP
1635,941,REACUP
1637,941,REACUP
1637,932,REACUP
1637,923,REACUP
1637,906,REACUP
1637,896,REACUP
1637,887,REACUP
1637,878,REACUP
1637,869,REACUP
1637,860,REACUP
1637,851,REACUP
1637,842,REACUP
1637,833,REACUP
1637,824,REACUP
1637,815,REACUP
1637,806,REACUP
1637,797,REACUP
1637,788,REACUP
1637,779,REACUP
1637,770,REACUP
1637,761,REACUP
1637,752,REACUP
1637,743,REACUP
1637,734,REACUP
1646,725,REACUP
1655,716,REACUP
1664,707,REACUP
1677,707,REACUP
1690,707,REACUP
1703,707,REACUP
1716,707,REACUP
1729,707,REACUP
1742,707,REACUP
1755,707,REACUP
1768,707,REACUP
1781,707,REACUP
1794,707,REACUP
1807,707,REACUP
1820,707,REACUP
1833,707,REACUP
1846,707,REACUP
1859,707,MED
1872,707,MED
1885,707,MED
1898,707,MED
1911,707,MED
1924,707,MED
1937,707,MED
1950,707,MED
1963,707,MED
1976,707,MED
1991,707,MED
2008,707,MED
2021,707,MED
2034,707,MED
2051,707,MED
2070,707,MED
2083,707,MED
2096,707,MED
2109,707,MED
2124,707,MED
2146,707,MED
2162,707,MED
2175,707,MED
2188,707,MED
2201,707,MED
2214,707,MED
2227,707,MED
2240,707,MED
2253,707,MED
2266,707,MED
2279,707,MED
2292,707,MED
2305,707,MED
2318,707,MED
2335,707,MED
2348,707,CAFELEF
2361,707,CAFELEF
2374,707,CAFELEF
2387,707,CAFELEF
2402,707,CAFELEF
2419,707,CAFELEF
2432,707,CAFELEF
2445,707,CAFELEF
2458,707,CAFELEF
2484,707,CAFELEF
2500,707,CAFELEF
2513,707,CAFELEF
2526,707,CAFELEF
2544,707,CAFELEF
2557,707,CAFELEF
2570,707,CAFELEF
2586,707,CAFELEF
2603,707,CAFELEF
2616,707,CAFELEF
2629,707,CAFELEF
2642,707,CAFELEF
2655,707,CAFELEF
2668,707,CAFELEF
2681,707,CAFELEF
2694,707,CAFELEF
2707,707,CAFELEF
2724,707,CAFELEF
2737,707,CAFELEF
2750,707,CAFELEF
2763,707,CAFELEF
2776,707,CAFELEF
2789,707,CAFELEF
2802,707,CAFELEF
2811,716,CAFELEF
2820,725,CAFELEF
2829,734,CAFELEF
2838,743,CAFELEF
2847,752,CAFELEF
2856,761,CAFELEF
2865,770,MED
2874,779,MED
2883,788,MED
2892,797,MED
2901,806,MED
2910,815,MED
2919,824,MED
2928,833,MED
2937,842,MED
2950,842,MED
2963,842,MED
2976,842,MED
2989,842,MED
3002,842,MED
3015,842,MED
3028,842,MED
3041,842,MED
3055,842,MED
3072,842,MED
3085,842,MED
3098,842,MED
3111,842,MED
3124,842,MED
3137,842,MED
3150,842,MED
3160,842,MED
3160,851,MED
3169,860,MED
3178,869,MED
3187,878,MED
3196,887,MED
3208,899,MED
3221,899,MED
3234,899,MED
3247,899,MED
3260,899,MED
3273,899,MED
3286,899,O2
3299,899,O2
3312,899,O2
3325,899,O2
3338,899,O2
3351,899,O2
3364,899,O2
3377,899,O2
3390,899,O2
3403,899,O2
3416,899,O2
3429,899,O2
3442,899,O2
3447,899,O2
3447,890,O2
3456,881,O2
3465,872,O2
3474,863,O2
3483,854,O2
3492,845,O2
3501,836,O2
3510,827,O2
3519,818,O2
3528,809,O2
3537,800,O2
3550,800,O2
3563,800,O2
3576,800,O2
