X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1006,1522,REACDOWN
1019,1522,REACDOWN
1032,1522,REACDOWN
1045,1522,REACDOWN
1058,1522,REACDOWN
1071,1522,REACDOWN
1084,1522,REACDOWN
1097,1522,REACDOWN
1110,1522,REACDOWN
1123,1522,REACDOWN
1136,1522,REACDOWN
1149,1522,REACDOWN
1162,1522,REACDOWN
1175,1522,REACDOWN
1188,1522,REACDOWN
1203,1522,REACDOWN
1217,1522,REACDOWN
1230,1522,REACDOWN
1243,1522,REACDOWN
1256,1522,REACDOWN
1269,1522,REACDOWN
1282,1522,REACDOWN
1295,1522,REACDOWN
1308,1522,REACDOWN
1321,1522,REACDOWN
1334,1522,REACDOWN
1347,1522,REACDOWN
1360,1522,REACDOWN
1373,1522,REACDOWN
1386,1522,REACDOWN
1399,1522,REACDOWN
1399,1535,REACDOWN
1399,1548,REACDOWN
1399,1561,REACDOWN
1399,1574,REACDOWN
1399,1587,REACDOWN
1399,1600,REACDOWN
1399,1613,REACDOWN
1399,1626,REACDOWN
1399,1639,REACDOWN
1399,1652,REACDOWN
1399,1665,REACDOWN
1399,1678,REACDOWN
1399,1691,REACDOWN
1399,1704,REACDOWN
1399,1717,REACDOWN
1399,1730,REACDOWN
1399,1743,REACDOWN
1399,1756,REACDOWN
1399,1769,REACDOWN
1399,1782,REACDOWN
1399,1795,REACDOWN
1399,1813,REACDOWN
1399,1829,REACDOWN
1399,1843,REACDOWN
1399,1856,REACDOWN
1399,1869,REACDOWN
1399,1882,REACDOWN
1399,1898,REACDOWN
1399,1911,REACDOWN
1399,1924,REACDOWN
1399,1937,REACDOWN
1399,1950,REACDOWN
1399,1963,REACDOWN
1399,1980,REACDOWN
1399,1993,REACDOWN
1399,2006,REACDOWN
1399,2021,REACDOWN
1399,2038,REACDOWN
1399,2040,REACDOWN
1412,2040,REACDOWN
1425,2040,REACDOWN
1438,2040,REACDOWN
1451,2040,REACDOWN
1464,2040,REACDOWN
1478,2040,REACDOWN
1491,2040,REACDOWN
1504,2040,REACDOWN
1517,2040,REACDOWN
1530,2040,REACDOWN
1543,2040,REACDOWN
1556,2040,REACDOWN
1569,2040,REACDOWN
1582,2040,REACDOWN
1595,2040,REACDOWN
1608,2040,REACDOWN
1608,2053,REACDOWN
1608,2066,REACDOWN
1608,2079,REACDOWN
1608,2092,REACDOWN
1608,2105,REACDOWN
1608,2120,REACDOWN
1608,2134,REACDOWN
1608,2147,REACDOWN
1608,2160,REACDOWN
1608,2173,REACDOWN
1608,2186,REACDOWN
1608,2199,REACDOWN
1608,2212,REACDOWN
1608,2225,REACDOWN
1621,2225,REACDOWN
1638,2225,REACDOWN
1651,2225,REACDOWN
1667,2225,REACDOWN
1685,2225,REACDOWN
1698,2225,REACDOWN
1711,2225,REACDOWN
1724,2225,REACDOWN
1737,2225,ELEC
1750,2225,ELEC
1768,2225,ELEC
1781,2225,ELEC
1794,2225,ELEC
1807,2225,ELEC
1820,2225,ELEC
1833,2225,ELEC
1848,2225,ELEC
1864,2225,ELEC
1880,2225,ELEC
1895,2225,ELEC
1910,2225,ELEC
1924,2225,ELEC
1939,2225,ELEC
1953,2225,ELEC
1968,2225,ELEC
1983,2225,ELEC
1993,2235,ELEC
1993,2250,ELEC
1993,2265,ELEC
1993,2279,ELEC
1993,2294,ELEC
1993,2307,ELEC
1993,2320,ELEC
1993,2333,ELEC
1993,2346,ELEC
1993,2359,ELEC
1993,2372,ELEC
1993,2385,ELEC
1993,2398,ELEC
1993,2416,ELEC
1993,2437,ELEC
1993,2450,ELEC
1993,2465,ELEC
1993,2479,ELEC
1993,2492,ELEC
1993,2505,ELEC
1993,2522,ELEC
1993,2535,ELEC
1993,2548,ELEC
2002,2557,ELEC
2011,2566,ELEC
2024,2566,ELEC
2037,2566,ELEC
2050,2566,ELEC
2063,2566,ELEC
2079,2566,ELEC
2098,2566,ELEC
2111,2566,ELEC
2124,2566,ELEC
2137,2566,ELEC
2150,2566,ELEC
2163,2566,ELEC
2176,2566,ELEC
2189,2566,ELEC
2202,2566,ELEC
2215,2566,ELEC
2228,2566,ELEC
2242,2566,ELEC
2255,2566,ELEC
2268,2566,ELEC
2281,2566,ELEC
2294,2566,ELEC
2307,2566,ELEC
2320,2566,ELEC
2333,2566,ELEC
2346,2566,ELEC
2359,2566,ELEC
2372,2566,ELEC
2385,2566,ELEC
2398,2566,ELEC
2411,2566,ELEC
2424,2566,ELEC
2438,2566,ELEC
2456,2566,ELEC
2469,2566,ELEC
2482,2566,ELEC
2495,2566,ELEC
2508,2566,ELEC
2521,2566,ELEC
2534,2566,ELEC
2547,2566,ELEC
2560,2566,ELEC
2573,2566,STOR
2586,2566,STOR
2599,2566,STOR
2612,2566,STOR
2625,2566,STOR
2638,2566,STOR
2651,2566,STOR
2664,2566,STOR
2681,2566,STOR
2694,2566,STOR
2707,2566,STOR
2720,2566,STOR
2733,2566,STOR
2746,2566,STOR
2759,2566,STOR
2772,2566,STOR
2785,2566,STOR
2798,2566,STOR
2811,2566,STOR
2824,2566,STOR
2837,2566,STOR
2851,2566,STOR
2864,2566,STOR
2877,2566,STOR
2917,2566,STOR
2933,2566,STOR
2946,2566,STOR
2963,2566,STOR
2980,2566,STOR
2993,2566,STOR
3006,2566,STOR
3019,2566,STOR
3032,2566,STOR
3045,2566,STOR
3058,2566,STOR
3071,2566,STOR
3084,2566,STOR
