X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
915,1522,REACDOWN
928,1522,REACDOWN
941,1522,REACDOWN
954,1522,REACDOWN
967,1522,REACDOWN
980,1522,REACDOWN
993,1522,REACDOWN
1008,1522,REACDOWN
1025,1522,REACDOWN
1038,1522,REACDOWN
1051,1522,REACDOWN
1064,1522,REACDOWN
1077,1522,REACDOWN
1090,1522,REACDOWN
1103,1522,REACDOWN
1120,1522,REACDOWN
1133,1522,REACDOWN
1146,1522,REACDOWN
1159,1522,REACDOWN
1172,1522,REACDOWN
1185,1522,REACDOWN
1198,1522,REACDOWN
1211,1522,REACDOWN
1224,1522,REACDOWN
1237,1522,REACDOWN
1250,1522,REACDOWN
1263,1522,REACDOWN
1276,1522,REACDOWN
1289,1522,REACDOWN
1302,1522,REACDOWN
1315,1522,REACDOWN
1328,1522,REACDOWN
1341,1522,REACDOWN
1354,1522,REACDOWN
1367,1522,REACDOWN
1377,1512,REACDOWN
1377,1489,REACDOWN
1377,1472,REACDOWN
1377,1460,REACUP
1377,1448,REACUP
1377,1436,REACUP
1377,1424,REACUP
1377,1412,REACUP
1377,1400,REACUP
1377,1387,REACUP
1377,1375,REACUP
1377,1359,REACUP
1377,1340,REACUP
1377,1323,REACUP
1377,1311,REACUP
1377,1299,REACUP
1377,1287,REACUP
1386,1278,REACUP
1395,1269,REACUP
1430,1269,REACUP
1443,1269,REACUP
1456,1269,REACUP
1469,1269,REACUP
1483,1269,REACUP
1486,1269,REACUP
1486,1260,REACUP
1486,1244,REACUP
1486,1224,REACUP
1486,1200,REACUP
1486,1185,REACUP
1486,1173,REACUP
1486,1161,REACUP
1486,1148,REACUP
1486,1135,REACUP
1486,1123,REACUP
1486,1111,REACUP
1486,1099,REACUP
1486,1087,REACUP
1486,1075,REACUP
1486,1063,REACUP
1486,1051,REACUP
1486,1039,REACUP
1486,1027,REACUP
1486,1014,REACUP
1486,1001,REACUP
1486,988,REACUP
1486,976,REACUP
1486,964,REACUP
1486,952,REACUP
1486,940,REACUP
1495,931,REACUP
1505,921,REACUP
1517,909,REACUP
1529,897,REACUP
1546,897,REACUP
1559,897,REACUP
1572,897,REACUP
1585,897,REACUP
1598,897,REACUP
1611,897,REACUP
1624,897,REACUP
1637,897,REACUP
1637,884,REACUP
1637,872,REACUP
1637,860,REACUP
1637,848,REACUP
1637,836,REACUP
1637,824,REACUP
1637,812,REACUP
1637,800,REACUP
1637,787,REACUP
1637,769,REACUP
1637,757,REACUP
1637,745,REACUP
1637,733,REACUP
1637,721,REACUP
1637,709,REACUP
1637,697,REACUP
1637,685,REACUP
1637,673,REACUP
1637,661,REACUP
1637,648,REACUP
1637,635,REACUP
1637,623,REACUP
1637,610,REACUP
1637,597,REACUP
1637,585,REACUP
1637,573,REACUP
1637,560,REACUP
1637,548,REACUP
1620,548,REACUP
1608,548,REACUP
1596,548,REACUP
1584,548,REACUP
1570,548,REACUP
1553,548,REACUP
1541,548,REACUP
1529,548,REACUP
1517,548,REACUP
1504,548,REACUP
1492,548,REACUP
1480,548,REACUP
1467,548,REACUP
1455,548,REACUP
1443,548,REACUP
1431,548,REACUP
1418,548,REACUP
1406,548,REACUP
1394,548,REACUP
1382,548,REACUP
1370,548,REACUP
1358,548,REACUP
1345,548,REACUP
1345,536,REACUP
1345,524,REACUP
1345,511,REACUP
1345,494,REACUP
1332,494,REACUP
1315,494,REACUP
1300,494,REACUP
1286,494,REACUP
1274,494,REACUP
1274,507,REACUP
1274,520,REACUP
1274,533,REACUP
