X,Y,Nearest Task
889,1522,REACDOWN
902,1522,REACDOWN
916,1522,REACDOWN
929,1522,REACDOWN
942,1522,REACDOWN
955,1522,REACDOWN
971,1522,REACDOWN
984,1522,REACDOWN
997,1522,REACDOWN
1010,1522,REACDOWN
1023,1522,REACDOWN
1036,1522,REACDOWN
1049,1522,REACDOWN
1066,1522,REACDOWN
1079,1522,REACDOWN
1092,1522,REACDOWN
1105,1522,REACDOWN
1118,1522,REACDOWN
1131,1522,REACDOWN
1144,1522,REACDOWN
1157,1522,REACDOWN
1170,1522,REACDOWN
1183,1522,REACDOWN
1196,1522,REACDOWN
1209,1522,REACDOWN
1228,1522,REACDOWN
1241,1522,REACDOWN
1254,1522,REACDOWN
1267,1522,REACDOWN
1283,1522,REACDOWN
1300,1522,REACDOWN
1313,1522,REACDOWN
1326,1522,REACDOWN
1339,1522,REACDOWN
1352,1522,REACDOWN
1366,1522,REACDOWN
1383,1522,REACDOWN
1396,1522,REACDOWN
1409,1522,REACDOWN
1422,1522,REACDOWN
1422,1510,REACDOWN
1422,1498,REACDOWN
1422,1486,REACDOWN
1422,1474,REACDOWN
1422,1461,REACUP
1422,1449,REACUP
1422,1437,REACUP
1422,1425,REACUP
1422,1402,REACUP
1422,1389,REACUP
1422,1376,REACUP
1422,1364,REACUP
1422,1352,REACUP
1422,1339,REACUP
1422,1327,REACUP
1422,1315,REACUP
1422,1303,REACUP
1422,1291,REACUP
1422,1278,REACUP
1422,1266,REACUP
1422,1254,REACUP
1422,1242,REACUP
1422,1230,REACUP
1422,1216,REACUP
1422,1194,REACUP
1422,1179,REACUP
1422,1165,REACUP
1422,1153,REACUP
1422,1141,REACUP
1422,1127,REACUP
1422,1114,REACUP
1422,1102,REACUP
1422,1090,REACUP
1422,1077,REACUP
1422,1065,REACUP
1422,1053,REACUP
1422,1041,REACUP
1422,1029,REACUP
1422,1017,REACUP
1422,1005,REACUP
1422,993,REACUP
1422,975,REACUP
1431,966,REACUP
1444,966,REACUP
1457,966,REACUP
1470,966,REACUP
1483,966,REACUP
1499,966,REACUP
1516,966,REACUP
1531,966,REACUP
1546,966,REACUP
1563,966,REACUP
1576,966,REACUP
1589,966,REACUP
1602,966,REACUP
1615,966,REACUP
1628,966,REACUP
1637,966,REACUP
1637,957,REACUP
1637,945,REACUP
1637,933,REACUP
1637,920,REACUP
1637,908,REACUP
1637,896,REACUP
1637,884,REACUP
1637,872,REACUP
1637,860,REACUP
1637,848,REACUP
1637,836,REACUP
1637,824,REACUP
1637,812,REACUP
1637,799,REACUP
1637,787,REACUP
1637,775,REACUP
1637,763,REACUP
1637,750,REACUP
1637,738,REACUP
1637,726,REACUP
1637,714,REACUP
1637,702,REACUP
1637,690,REACUP
1637,677,REACUP
1646,668,REACUP
1655,659,REACUP
1664,650,REACUP
1677,650,REACUP
1690,650,REACUP
1703,650,REACUP
1716,650,REACUP
1729,650,REACUP
1742,650,REACUP
1755,650,REACUP
1768,650,REACUP
1781,650,REACUP
1794,650,REACUP
1807,650,REACUP
1820,650,REACUP
1833,650,REACUP
1846,650,REACUP
1859,650,REACUP
1872,650,CAFELEF
1885,650,CAFELEF
1898,650,CAFELEF
1911,650,CAFELEF
1924,650,CAFELEF
1937,650,CAFELEF
1950,650,CAFELEF
1963,650,CAFELEF
1976,650,CAFELEF
1989,650,CAFELEF
2002,650,CAFELEF
2015,650,CAFELEF
2028,650,CAFELEF
2041,650,CAFELEF
2054,650,CAFELEF
2071,650,CAFELEF
2084,650,CAFELEF
2097,650,CAFELEF
2110,650,CAFELEF
2123,650,CAFELEF
2136,650,CAFELEF
2149,650,CAFELEF
2162,650,CAFELEF
2176,650,CAFELEF
2194,650,CAFELEF
2207,650,CAFELEF
2220,650,CAFELEF
2233,650,CAFELEF
2246,650,CAFELEF
2259,650,CAFELEF
2272,650,CAFELEF
2285,650,CAFELEF
2298,650,CAFELEF
2311,650,CAFELEF
2324,650,CAFELEF
2337,650,CAFELEF
2350,650,CAFELEF
2363,650,CAFELEF
2376,650,CAFELEF
2389,650,CAFELEF
2402,650,CAFELEF
2415,650,CAFELEF
2428,650,CAFELEF
2441,650,CAFELEF
2457,650,CAFELEF
2470,650,CAFELEF
2483,650,CAFELEF
2496,650,CAFELEF
2511,650,CAFELEF
2524,650,CAFELEF
2537,650,CAFELEF
2550,650,CAFELEF
2569,650,CAFELEF
2582,650,CAFELEF
2595,650,CAFELEF
2610,650,CAFELEF
2625,650,CAFELEF
2638,650,CAFELEF
2651,650,CAFELEF
2664,650,CAFELEF
2677,650,CAFELEF
2690,650,CAFELEF
2703,650,CAFELEF
2716,650,CAFELEF
2731,650,CAFELEF
2746,650,CAFELEF
2768,650,CAFELEF
2790,650,CAFELEF
2804,650,CAFELEF
2817,650,CAFELEF
2826,641,CAFELEF
2835,632,CAFELEF
2844,623,CAFELEF
2853,614,CAFELEF
2862,605,CAFELEF
2871,596,CAFELEF
2880,587,CAFELEF
2889,578,CAFELEF
2902,578,CAFELEF
2915,578,CAFELEF
2932,578,CAFELEF
2945,578,CAFELEF
2958,578,CAFELEF
2971,578,CAFELEF
2984,578,CAFELEF
2997,578,CAFELEF
3011,578,CAFELEF
3029,578,CAFELEF
3048,578,CAFELEF
3061,578,CAFELEF
3074,578,CAFELEF
3087,578,CAFELEF
3100,578,CAFELEF
3113,578,CAFELEF
3126,578,CAFELEF
3139,578,CAFELEF
3152,578,CAFELEF
3167,578,CAFELEF
3185,578,CAFELEF
3198,578,CAFELEF
3211,578,CAFELEF
3224,578,CAFELEF
3237,578,CAFELEF
