X,Y,Nearest Task
4095,2739,COMM
4095,2722,COMM
4095,2704,COMM
4095,2687,COMM
4095,2670,COMM
4095,2652,COMM
4095,2628,RIGHTCOM
4095,2610,RIGHTCOM
4095,2591,RIGHTCOM
4095,2564,RIGHTCOM
4095,2543,RIGHTCOM
4095,2526,RIGHTCOM
4095,2518,RIGHTCOM
4082,2505,RIGHTCOM
4070,2492,RIGHTCOM
4070,2474,RIGHTCOM
4070,2456,RIGHTCOM
4070,2438,RIGHTCOM
4070,2419,RIGHTCOM
4070,2400,RIGHTCOM
4082,2387,RIGHTCOM
4093,2375,RIGHTCOM
4093,2359,RIGHTCOM
4093,2346,RIGHTCOM
4093,2333,RIGHTCOM
4093,2320,RIGHTCOM
4093,2306,RIGHTCOM
4107,2292,RIGHTCOM
4120,2279,RIGHTCOM
4139,2279,RIGHTCOM
4159,2279,RIGHTCOM
4177,2279,RIGHTCOM
4199,2279,RIGHTCOM
4218,2279,RIGHTCOM
4239,2279,RIGHTCOM
4257,2279,RIGHTCOM
4278,2279,RIGHTCOM
4298,2279,RIGHTCOM
4317,2279,RIGHTCOM
4337,2279,RIGHTCOM
4356,2279,RIGHTCOM
4375,2279,RIGHTCOM
4393,2279,RIGHTCOM
4413,2279,RIGHTCOM
4434,2279,RIGHTCOM
4457,2279,RIGHTCOM
4476,2279,RIGHTCOM
4497,2279,RIGHTCOM
4510,2266,RIGHTCOM
4524,2252,RIGHTCOM
4524,2233,RIGHTCOM
4524,2214,RIGHTCOM
4524,2195,RIGHTCOM
4524,2176,RIGHTCOM
4524,2157,RIGHTCOM
4524,2137,RIGHTCOM
4524,2117,RIGHTCOM
4524,2098,RIGHTCOM
4524,2077,RIGHTCOM
4524,2057,RIGHTCOM
4524,2038,RIGHTCOM
4524,2020,RIGHTCOM
4524,2000,RIGHTCOM
4524,1981,RIGHTCOM
4524,1962,RIGHTCOM
4524,1942,RIGHTCOM
4524,1923,RIGHTCOM
4524,1903,RIGHTCOM
4524,1883,RIGHTCOM
4524,1862,RIGHTCOM
4524,1840,RIGHTCOM
4524,1821,RIGHTCOM
4524,1802,RIGHTCOM
4524,1782,RIGHTCOM
4524,1763,O2
4524,1745,O2
4524,1728,O2
4524,1708,O2
4524,1689,O2
4524,1670,O2
4524,1649,O2
4539,1634,O2
4558,1634,O2
4578,1634,O2
4599,1634,O2
4618,1634,O2
4642,1634,O2
4660,1634,O2
4686,1634,O2
4710,1634,O2
4730,1634,NAVI
4749,1634,NAVI
4769,1634,NAVI
4788,1634,NAVI
4805,1634,NAVI
4824,1634,NAVI
4838,1621,NAVI
4838,1601,NAVI
4838,1582,NAVI
4838,1563,NAVI
4838,1545,NAVI
4838,1526,NAVI
4838,1508,NAVI
4838,1491,NAVI
4838,1468,NAVI
4838,1449,NAVI
4838,1430,NAVI
4838,1411,NAVI
4838,1393,NAVI
4838,1374,NAVI
4838,1352,NAVI
4838,1331,NAVI
4838,1312,NAVI
4838,1290,NAVI
4838,1271,NAVI
4838,1251,NAVI
4838,1230,NAVI
4824,1217,NAVI
4805,1217,NAVI
4786,1217,O2
4768,1217,O2
4749,1217,O2
4730,1217,O2
4711,1217,O2
4692,1217,O2
4671,1217,O2
4652,1217,O2
4632,1217,O2
4610,1217,O2
4589,1217,O2
4568,1217,O2
4553,1201,O2
4553,1180,O2
4553,1160,O2
4553,1141,O2
4553,1121,O2
4553,1100,O2
4553,1078,O2
4553,1057,O2
4553,1037,O2
4553,1016,O2
4553,996,O2
4553,977,O2
4553,957,O2
4553,938,O2
4553,917,O2
4553,896,O2
4553,876,O2
4553,856,O2
4553,835,O2
4553,814,O2
4553,794,O2
4553,775,O2
4553,755,O2
4534,755,O2
4512,755,O2
4493,755,O2
4492,755,O2
4492,742,O2
4492,720,O2
4492,700,O2
4477,684,O2
4457,684,O2
4437,684,O2
4418,684,O2
4398,684,O2
4365,684,O2
4339,684,O2
4320,684,O2
4299,684,O2
4279,684,O2
4260,684,O2
4242,684,O2
4221,684,O2
4201,684,O2
4183,684,O2
4163,684,O2
4145,684,O2
4125,684,O2
4105,684,O2
4085,684,O2
4066,684,O2
4045,684,O2
4026,684,O2
4006,684,O2
3986,684,CAFERIGHT
3967,684,CAFERIGHT
3949,684,CAFERIGHT
3934,670,CAFERIGHT
3934,650,CAFERIGHT
3934,630,CAFERIGHT
3934,611,CAFERIGHT
3934,591,CAFERIGHT
3934,572,CAFERIGHT
3934,551,CAFERIGHT
3934,530,CAFERIGHT
3934,509,CAFERIGHT
3934,489,CAFERIGHT
3934,469,CAFERIGHT
3934,449,CAFERIGHT
3934,429,CAFERIGHT
3934,410,CAFERIGHT
3920,396,CAFERIGHT
3899,396,CAFERIGHT
3879,396,CAFERIGHT
3860,396,CAFERIGHT
3840,396,CAFERIGHT
3821,396,CAFERIGHT
3801,396,CAFERIGHT
3787,382,CAFERIGHT
3787,363,CAFERIGHT
3787,345,CAFERIGHT
3787,324,CAFERIGHT
3787,304,CAFERIGHT
3774,290,CAFERIGHT
3774,276,CAFERIGHT
3760,261,CAFERIGHT
3746,247,CAFERIGHT
3733,234,CAFERIGHT
3716,218,CAFERIGHT
3696,218,CAFERIGHT
3674,218,CAFERIGHT
3654,218,CAFERIGHT
3634,218,CAFERIGHT
3614,218,CAFERIGHT
3591,218,CAFERIGHT
3571,218,CAFERIGHT
3550,218,CAFERIGHT
3529,218,CAFERIGHT
3509,218,CAFERIGHT
3489,218,CAFERIGHT
3467,218,CAFERIGHT
3447,218,CAFERIGHT
3425,218,CAFERIGHT
3405,218,CAFERIGHT
3385,218,CAFERIGHT
3366,218,CAFERIGHT
3346,218,CAFERIGHT
3326,218,CAFERIGHT
3300,218,CAFERIGHT
3275,218,CAFELEF
3254,218,CAFELEF
3235,218,CAFELEF
3213,218,CAFELEF
3194,218,CAFELEF
3175,218,CAFELEF
3154,218,CAFELEF
3132,218,CAFELEF
3112,218,CAFELEF
3089,218,CAFELEF
3070,218,CAFELEF
3050,218,CAFELEF
3031,218,CAFELEF
3012,218,CAFELEF
2992,218,CAFELEF
2973,218,CAFELEF
2953,218,CAFELEF
2933,218,CAFELEF
2914,218,CAFELEF
2895,218,CAFELEF
2875,218,CAFELEF
2857,218,CAFELEF
2835,218,CAFELEF
2829,218,CAFELEF
