X,Y,Nearest Task
4095,2739,COMM
4095,2720,COMM
4095,2702,COMM
4095,2684,COMM
4095,2666,COMM
4095,2649,COMM
4095,2631,COMM
4095,2614,RIGHTCOM
4095,2596,RIGHTCOM
4095,2579,RIGHTCOM
4095,2560,RIGHTCOM
4095,2543,RIGHTCOM
4095,2526,RIGHTCOM
4095,2518,RIGHTCOM
4082,2504,RIGHTCOM
4061,2504,RIGHTCOM
4041,2504,RIGHTCOM
4021,2504,RIGHTCOM
4007,2490,COMM
4007,2470,RIGHTCOM
4007,2450,RIGHTCOM
4007,2432,RIGHTCOM
4007,2412,RIGHTCOM
4007,2394,RIGHTCOM
4007,2374,RIGHTCOM
4007,2354,RIGHTCOM
4007,2328,RIGHTCOM
3973,2328,RIGHTCOM
3970,2328,RIGHTCOM
3970,2312,RIGHTCOM
3957,2299,RIGHTCOM
3943,2285,RIGHTCOM
3930,2272,RIGHTCOM
3911,2272,RIGHTCOM
3892,2272,RIGHTCOM
3873,2272,COMM
3859,2259,COMM
3839,2259,COMM
3820,2259,COMM
3799,2259,COMM
3779,2259,COMM
3759,2259,COMM
3741,2259,COMM
3720,2259,COMM
3702,2259,COMM
3683,2259,COMM
3664,2259,COMM
3645,2259,COMM
3622,2259,COMM
3603,2259,COMM
3584,2259,COMM
3565,2259,COMM
3546,2259,STOR
3526,2259,STOR
3507,2259,STOR
3488,2259,STOR
3468,2259,STOR
3447,2259,STOR
3434,2245,STOR
3434,2226,STOR
3434,2206,STOR
3434,2186,STOR
3434,2168,STOR
3434,2148,STOR
3434,2128,STOR
3434,2109,STOR
3434,2090,STOR
3434,2069,STOR
3434,2049,STOR
3434,2029,STOR
3434,2010,STOR
3420,1996,STOR
3400,1996,STOR
3381,1996,STOR
3359,1996,STOR
3359,1975,STOR
3359,1954,STOR
3359,1935,STOR
3359,1916,ELEC
3359,1897,ELEC
3359,1878,ELEC
3359,1860,MED
3359,1840,MED
3359,1822,MED
3359,1803,MED
3359,1784,MED
3359,1765,MED
3359,1746,MED
3359,1728,MED
3359,1709,MED
3359,1689,MED
3359,1670,O2
3359,1651,O2
3359,1630,O2
3359,1611,O2
3359,1591,O2
3359,1572,O2
3359,1550,O2
3359,1531,O2
3359,1509,O2
3359,1490,O2
3359,1472,O2
3359,1453,O2
3359,1435,O2
3359,1417,O2
3359,1393,O2
3359,1369,O2
3359,1350,O2
3359,1332,O2
3359,1313,O2
3359,1295,O2
3359,1278,O2
3376,1278,O2
3398,1278,O2
3417,1278,O2
3435,1278,O2
3435,1258,O2
3435,1239,O2
3435,1220,O2
3435,1202,O2
3435,1184,O2
3435,1166,O2
3435,1148,O2
3435,1130,O2
3435,1112,O2
3435,1093,O2
3435,1074,O2
3435,1055,O2
3435,1034,O2
3435,1016,O2
3435,996,O2
3435,978,O2
3435,957,O2
3435,938,O2
3435,920,O2
3435,901,O2
3447,888,O2
3461,874,O2
3483,874,O2
3502,874,O2
3521,874,O2
3541,874,O2
3560,874,O2
3580,874,O2
3598,874,O2
3618,874,O2
3636,874,O2
3656,874,O2
3669,861,O2
3683,847,O2
3683,827,O2
3683,808,O2
3683,790,O2
3683,772,O2
3683,753,O2
3683,735,CAFERIGHT
3683,716,CAFERIGHT
3683,696,CAFERIGHT
3683,676,CAFERIGHT
3683,656,CAFERIGHT
3697,643,CAFERIGHT
3711,628,CAFERIGHT
3725,614,CAFERIGHT
3740,599,CAFERIGHT
3754,586,CAFERIGHT
3768,572,CAFERIGHT
3782,557,CAFERIGHT
3800,539,CAFERIGHT
3800,519,CAFERIGHT
3800,492,CAFERIGHT
3800,470,CAFERIGHT
3800,450,CAFERIGHT
3800,431,CAFERIGHT
3800,412,CAFERIGHT
3814,398,CAFERIGHT
3828,384,CAFERIGHT
3843,369,CAFERIGHT
3856,356,CAFERIGHT
3856,337,CAFERIGHT
3856,317,CAFERIGHT
3875,317,CAFERIGHT
3893,317,CAFERIGHT
