X,Y,Nearest Task
4095,2739,COMM
4076,2739,COMM
4053,2739,COMM
4041,2727,COMM
4041,2707,COMM
4041,2688,COMM
4041,2669,COMM
4041,2650,COMM
4041,2628,COMM
4041,2608,COMM
4041,2588,COMM
4041,2570,COMM
4041,2551,COMM
4041,2532,RIGHTCOM
4041,2509,RIGHTCOM
4041,2490,RIGHTCOM
4041,2470,RIGHTCOM
4041,2452,RIGHTCOM
4041,2433,RIGHTCOM
4041,2414,RIGHTCOM
4041,2395,RIGHTCOM
4041,2375,RIGHTCOM
4041,2357,RIGHTCOM
4041,2337,RIGHTCOM
4041,2318,RIGHTCOM
4041,2300,RIGHTCOM
4041,2281,RIGHTCOM
4041,2261,RIGHTCOM
4028,2247,RIGHTCOM
4009,2247,RIGHTCOM
3989,2247,RIGHTCOM
3969,2247,RIGHTCOM
3950,2247,RIGHTCOM
3928,2247,RIGHTCOM
3907,2247,RIGHTCOM
3888,2247,RIGHTCOM
3867,2247,RIGHTCOM
3848,2247,COMM
3828,2247,COMM
3809,2247,COMM
3787,2247,COMM
3769,2247,COMM
3750,2247,COMM
3730,2247,COMM
3712,2247,COMM
3693,2247,COMM
3674,2247,COMM
3652,2247,COMM
3632,2247,COMM
3611,2247,COMM
3590,2247,COMM
3568,2247,COMM
3546,2247,STOR
3523,2247,STOR
3505,2247,STOR
3486,2247,STOR
3465,2247,STOR
3446,2247,STOR
3428,2247,STOR
3428,2270,STOR
3428,2299,STOR
3428,2320,STOR
3428,2337,STOR
3428,2355,STOR
3428,2373,STOR
3428,2393,STOR
3428,2412,STOR
3428,2431,STOR
3428,2450,STOR
3428,2470,STOR
3428,2488,STOR
3428,2508,STOR
3428,2529,STOR
3428,2550,STOR
3428,2569,STOR
3428,2588,STOR
3428,2607,STOR
3428,2627,STOR
3428,2647,STOR
3428,2668,STOR
3414,2682,STOR
3391,2682,STOR
3374,2682,STOR
3355,2682,STOR
3338,2682,STOR
3318,2682,STOR
3299,2682,STOR
3281,2682,STOR
3263,2682,STOR
3245,2682,STOR
3225,2682,STOR
3202,2682,STOR
3182,2682,STOR
3162,2682,STOR
3141,2682,STOR
3121,2682,STOR
3102,2682,STOR
3080,2682,STOR
3060,2682,STOR
3038,2682,STOR
3017,2682,STOR
2997,2682,STOR
2977,2682,STOR
2956,2682,STOR
2934,2682,STOR
2914,2682,STOR
2900,2682,STOR
2900,2662,STOR
2900,2643,STOR
2900,2623,STOR
2900,2603,STOR
2900,2584,STOR
2900,2565,STOR
2886,2551,STOR
2872,2536,STOR
2851,2536,STOR
2831,2536,STOR
2812,2536,STOR
2791,2536,STOR
2771,2536,STOR
2750,2536,STOR
2731,2536,STOR
2711,2536,STOR
2687,2536,STOR
2669,2536,STOR
2648,2536,STOR
2628,2536,STOR
2608,2536,STOR
2588,2536,ELEC
2567,2536,ELEC
2545,2536,ELEC
2524,2536,ELEC
2504,2536,ELEC
2484,2536,ELEC
2464,2536,ELEC
2444,2536,ELEC
2422,2536,ELEC
2401,2536,ELEC
2380,2536,ELEC
2359,2536,ELEC
2338,2536,ELEC
2316,2536,ELEC
2285,2536,ELEC
2253,2536,ELEC
2229,2536,ELEC
2209,2536,ELEC
2190,2536,ELEC
2170,2536,ELEC
2150,2536,ELEC
2131,2536,ELEC
2112,2536,ELEC
2092,2536,ELEC
2070,2536,ELEC
2048,2536,ELEC
2020,2536,ELEC
1999,2536,ELEC
1986,2523,ELEC
1986,2503,ELEC
1986,2483,ELEC
1986,2464,ELEC
1986,2445,ELEC
1986,2424,ELEC
1986,2405,ELEC
1986,2384,ELEC
1986,2364,ELEC
1986,2341,ELEC
1986,2320,ELEC
1986,2300,ELEC
1986,2280,ELEC
1986,2259,ELEC
1971,2244,ELEC
1950,2244,ELEC
1929,2244,ELEC
1908,2244,ELEC
1888,2244,ELEC
1868,2244,ELEC
1843,2244,ELEC
1823,2244,ELEC
1801,2244,ELEC
1780,2244,ELEC
1760,2244,ELEC
1741,2244,ELEC
1721,2244,REACDOWN
1701,2244,REACDOWN
1681,2244,REACDOWN
1658,2244,REACDOWN
1634,2244,REACDOWN
1612,2244,REACDOWN
1591,2244,REACDOWN
1572,2244,REACDOWN
1572,2228,REACDOWN
1572,2207,REACDOWN
1572,2186,REACDOWN
1572,2166,REACDOWN
1572,2147,REACDOWN
1572,2127,REACDOWN
1572,2107,REACDOWN
1572,2087,REACDOWN
1572,2067,REACDOWN
1572,2047,REACDOWN
1572,2027,REACDOWN
1552,2027,REACDOWN
1532,2027,REACDOWN
1509,2027,REACDOWN
1488,2027,REACDOWN
1468,2027,REACDOWN
1447,2027,REACDOWN
1428,2027,REACDOWN
1428,2006,REACDOWN
1428,1986,REACDOWN
1428,1966,REACDOWN
1428,1946,REACDOWN
1428,1926,REACDOWN
1428,1905,REACDOWN
1428,1883,REACDOWN
1428,1863,REACDOWN
1428,1841,REACDOWN
1428,1820,REACDOWN
1428,1798,REACDOWN
1428,1778,REACDOWN
1428,1757,REACDOWN
1428,1737,REACDOWN
1428,1715,REACDOWN
1428,1694,REACDOWN
1428,1674,REACDOWN
1428,1654,REACDOWN
1428,1633,REACDOWN
1428,1613,REACDOWN
1428,1585,REACDOWN
1428,1557,REACDOWN
1428,1534,REACDOWN
1448,1534,REACDOWN
1468,1534,REACDOWN
1487,1534,REACDOWN
1507,1534,REACDOWN
1527,1534,REACDOWN
1546,1534,REACDOWN
1566,1534,REACDOWN
1586,1534,REACDOWN
1606,1534,REACDOWN
1629,1534,REACDOWN
1649,1534,ELEC
1669,1534,ELEC
1688,1534,ELEC
1709,1534,ELEC
1729,1534,ELEC
1749,1534,ELEC
1770,1534,ELEC
1792,1534,ELEC
1811,1534,ELEC
1831,1534,ELEC
1831,1555,ELEC
1831,1581,ELEC
1831,1602,ELEC
1852,1602,ELEC
1874,1602,ELEC
1895,1602,ELEC
1916,1602,ELEC
1916,1581,ELEC
1916,1558,ELEC
1916,1580,ELEC
1916,1602,ELEC
1916,1622,ELEC
