X,Y,Nearest Task
4095,2739,COMM
4095,2723,COMM
4095,2704,COMM
4095,2687,COMM
4095,2663,COMM
4095,2640,COMM
4095,2618,RIGHTCOM
4095,2601,RIGHTCOM
4095,2584,RIGHTCOM
4095,2566,RIGHTCOM
4095,2549,RIGHTCOM
4095,2533,RIGHTCOM
4095,2518,RIGHTCOM
4083,2506,RIGHTCOM
4071,2494,RIGHTCOM
4059,2482,RIGHTCOM
4041,2482,RIGHTCOM
4028,2469,RIGHTCOM
4015,2456,RIGHTCOM
4002,2443,RIGHTCOM
4002,2424,RIGHTCOM
4002,2406,RIGHTCOM
4002,2387,RIGHTCOM
4002,2369,RIGHTCOM
4002,2353,RIGHTCOM
4002,2335,RIGHTCOM
4002,2318,RIGHTCOM
4002,2300,RIGHTCOM
3990,2288,RIGHTCOM
3977,2275,RIGHTCOM
3959,2275,RIGHTCOM
3942,2275,RIGHTCOM
3923,2275,RIGHTCOM
3906,2275,RIGHTCOM
3888,2275,RIGHTCOM
3871,2275,COMM
3854,2275,COMM
3836,2275,COMM
3818,2275,COMM
3799,2275,COMM
3781,2275,COMM
3764,2275,COMM
3746,2275,COMM
3728,2275,COMM
3710,2275,COMM
3692,2275,COMM
3673,2275,COMM
3655,2275,COMM
3638,2275,COMM
3618,2275,COMM
3600,2275,COMM
3582,2275,COMM
3564,2275,COMM
3546,2275,STOR
3528,2275,STOR
3510,2275,STOR
3492,2275,STOR
3473,2275,STOR
3455,2275,STOR
3443,2287,STOR
3443,2303,STOR
3443,2320,STOR
3443,2340,STOR
3443,2357,STOR
3443,2374,STOR
3443,2391,STOR
3443,2409,STOR
3443,2425,STOR
3443,2443,STOR
3443,2460,STOR
3443,2477,STOR
3443,2494,STOR
3443,2511,STOR
3443,2528,STOR
3443,2545,STOR
3443,2562,STOR
3443,2585,STOR
3443,2610,STOR
3429,2624,STOR
3410,2624,STOR
3393,2624,STOR
3375,2624,STOR
3358,2624,STOR
3339,2624,STOR
3322,2624,STOR
3305,2624,STOR
3287,2624,STOR
3270,2624,STOR
3253,2624,STOR
3235,2624,STOR
3217,2624,STOR
3199,2624,STOR
3181,2624,STOR
3162,2624,STOR
3141,2624,STOR
3121,2624,STOR
3103,2624,STOR
3084,2624,STOR
3066,2624,STOR
3047,2624,STOR
3030,2624,STOR
3011,2624,STOR
2993,2624,STOR
2974,2624,STOR
2954,2624,STOR
2941,2611,STOR
2941,2591,STOR
2941,2571,STOR
2941,2552,STOR
2921,2552,STOR
2902,2552,STOR
2889,2539,STOR
2876,2526,STOR
2856,2526,STOR
2838,2526,STOR
2819,2526,STOR
2800,2526,STOR
2782,2526,STOR
2764,2526,STOR
2746,2526,STOR
2728,2526,STOR
2710,2526,STOR
2691,2526,STOR
2673,2526,STOR
2656,2526,STOR
2638,2526,STOR
2621,2526,STOR
2603,2526,ELEC
2585,2526,ELEC
2568,2526,ELEC
2549,2526,ELEC
2531,2526,ELEC
2514,2526,ELEC
2496,2526,ELEC
2478,2526,ELEC
2460,2526,ELEC
2441,2526,ELEC
2423,2526,ELEC
2406,2526,ELEC
2388,2526,ELEC
2371,2526,ELEC
2353,2526,ELEC
2336,2526,ELEC
2323,2512,ELEC
2323,2494,ELEC
2323,2476,ELEC
2323,2455,ELEC
2323,2438,ELEC
2323,2419,ELEC
2323,2402,ELEC
2323,2384,ELEC
2323,2367,ELEC
2323,2349,ELEC
2323,2332,ELEC
2323,2314,ELEC
2323,2296,ELEC
2323,2278,ELEC
2323,2260,ELEC
2323,2242,ELEC
2323,2218,ELEC
2323,2194,ELEC
2336,2181,ELEC
2349,2168,ELEC
2362,2155,ELEC
2375,2142,ELEC
2388,2129,ELEC
2400,2117,ELEC
2413,2104,ELEC
2426,2091,ELEC
2426,2073,ELEC
2426,2054,ELEC
2439,2041,ELEC
2452,2029,ELEC
2464,2029,ELEC
2477,2029,ELEC
2490,2029,ELEC
2503,2029,ELEC
2521,2029,ELEC
2540,2029,ELEC
2559,2029,ELEC
2577,2029,ELEC
2595,2029,ELEC
2612,2029,ELEC
2612,2012,ELEC
2612,1993,ELEC
2612,1975,ELEC
2612,1954,ELEC
2612,1936,ELEC
2612,1918,ELEC
2612,1900,ELEC
2612,1881,ELEC
2625,1868,ELEC
2637,1856,ELEC
2651,1842,ELEC
2664,1829,ELEC
2664,1811,ELEC
2664,1792,ELEC
2664,1774,ELEC
2664,1756,ELEC
