X,Y,Nearest Task
4095,2739,COMM
4095,2722,COMM
4095,2705,COMM
4095,2688,COMM
4095,2672,COMM
4095,2656,COMM
4095,2639,COMM
4095,2623,RIGHTCOM
4095,2606,RIGHTCOM
4095,2586,RIGHTCOM
4095,2569,RIGHTCOM
4095,2552,RIGHTCOM
4095,2535,RIGHTCOM
4095,2518,RIGHTCOM
4083,2506,RIGHTCOM
4066,2506,RIGHTCOM
4049,2506,RIGHTCOM
4031,2506,RIGHTCOM
4015,2506,COMM
4003,2493,COMM
3989,2479,COMM
3989,2459,COMM
3989,2439,RIGHTCOM
3989,2421,RIGHTCOM
3989,2403,RIGHTCOM
3989,2386,RIGHTCOM
3989,2364,RIGHTCOM
3989,2347,RIGHTCOM
3989,2329,RIGHTCOM
3989,2311,RIGHTCOM
3989,2294,RIGHTCOM
3976,2282,RIGHTCOM
3957,2282,RIGHTCOM
3938,2282,RIGHTCOM
3921,2282,RIGHTCOM
3902,2282,RIGHTCOM
3884,2282,COMM
3867,2282,COMM
3850,2282,COMM
3833,2282,COMM
3815,2282,COMM
3795,2282,COMM
3777,2282,COMM
3759,2282,COMM
3743,2282,COMM
3726,2282,COMM
3709,2282,COMM
3687,2282,COMM
3669,2282,COMM
3651,2282,COMM
3634,2282,COMM
3617,2282,COMM
3599,2282,COMM
3582,2282,COMM
3561,2282,COMM
3537,2282,STOR
3515,2282,STOR
3497,2282,STOR
3478,2282,STOR
3460,2282,STOR
3448,2294,STOR
3448,2312,STOR
3448,2330,STOR
3448,2347,STOR
3448,2365,STOR
3448,2384,STOR
3448,2403,STOR
3448,2420,STOR
3448,2438,STOR
3448,2455,STOR
3448,2473,STOR
3448,2490,STOR
3448,2509,STOR
3448,2527,STOR
3448,2545,STOR
3448,2562,STOR
3448,2580,STOR
3448,2598,STOR
3448,2617,STOR
3448,2635,STOR
3448,2653,STOR
3448,2671,STOR
3448,2688,STOR
3448,2706,STOR
3448,2724,STOR
3448,2743,STOR
3448,2764,STOR
3448,2782,STOR
3448,2801,STOR
3448,2820,STOR
