X,Y,Nearest Task
4095,2739,COMM
4077,2739,COMM
4055,2739,COMM
4035,2739,COMM
4035,2714,COMM
4035,2686,COMM
4035,2663,COMM
4035,2645,COMM
4035,2627,COMM
4035,2609,COMM
4035,2590,COMM
4035,2570,COMM
4035,2547,COMM
4035,2530,COMM
4035,2512,RIGHTCOM
4035,2494,RIGHTCOM
4035,2475,RIGHTCOM
4035,2458,RIGHTCOM
4035,2440,RIGHTCOM
4035,2421,RIGHTCOM
4035,2402,RIGHTCOM
4035,2384,RIGHTCOM
4035,2366,RIGHTCOM
4035,2348,RIGHTCOM
4035,2330,RIGHTCOM
4035,2310,RIGHTCOM
4035,2292,RIGHTCOM
4035,2273,RIGHTCOM
4017,2273,RIGHTCOM
3998,2273,RIGHTCOM
3978,2273,RIGHTCOM
3960,2273,RIGHTCOM
3941,2273,RIGHTCOM
3921,2273,RIGHTCOM
3903,2273,RIGHTCOM
3885,2273,RIGHTCOM
3866,2273,COMM
3847,2273,COMM
3829,2273,COMM
3811,2273,COMM
3792,2273,COMM
3774,2273,COMM
3755,2273,COMM
3737,2273,COMM
3717,2273,COMM
3699,2273,COMM
3680,2273,COMM
3660,2273,COMM
3641,2273,COMM
3622,2273,COMM
3604,2273,COMM
3585,2273,COMM
3567,2273,COMM
3548,2273,STOR
3526,2273,STOR
3506,2273,STOR
3485,2273,STOR
3465,2273,STOR
3445,2273,STOR
3431,2287,STOR
3431,2307,STOR
3431,2326,STOR
3431,2345,STOR
3431,2364,STOR
3431,2383,STOR
3431,2402,STOR
3431,2421,STOR
3431,2440,STOR
3431,2459,STOR
3431,2478,STOR
3431,2498,STOR
3431,2516,STOR
3431,2534,STOR
3431,2556,STOR
3431,2575,STOR
3431,2595,STOR
3431,2613,STOR
3431,2632,STOR
3431,2651,STOR
3431,2671,STOR
3417,2685,STOR
3396,2685,STOR
3376,2685,STOR
3356,2685,STOR
3336,2685,STOR
3317,2685,STOR
3297,2685,STOR
3277,2685,STOR
3258,2685,STOR
3239,2685,STOR
3219,2685,STOR
3199,2685,STOR
3179,2685,STOR
3160,2685,STOR
3140,2685,STOR
3120,2685,STOR
3095,2685,STOR
3059,2685,STOR
3038,2685,STOR
3018,2685,STOR
2999,2685,STOR
2981,2685,STOR
2962,2685,STOR
2943,2685,STOR
2925,2685,STOR
2912,2671,STOR
2912,2652,STOR
2912,2633,STOR
2912,2614,STOR
2912,2595,STOR
2912,2575,STOR
2912,2554,STOR
2898,2541,STOR
2878,2541,STOR
2856,2541,STOR
2837,2541,STOR
2818,2541,STOR
2796,2541,STOR
2776,2541,STOR
2756,2541,STOR
2735,2541,STOR
2715,2541,STOR
2695,2541,STOR
2677,2541,STOR
2657,2541,STOR
2637,2541,STOR
2613,2541,STOR
2592,2541,ELEC
2572,2541,ELEC
2552,2541,ELEC
2529,2541,ELEC
2510,2541,ELEC
2489,2541,ELEC
2469,2541,ELEC
2448,2541,ELEC
2428,2541,ELEC
2406,2541,ELEC
2386,2541,ELEC
2363,2541,ELEC
2341,2541,ELEC
2320,2541,ELEC
2300,2541,ELEC
2278,2541,ELEC
2258,2541,ELEC
2238,2541,ELEC
2218,2541,ELEC
2197,2541,ELEC
2178,2541,ELEC
2157,2541,ELEC
2136,2541,ELEC
2116,2541,ELEC
2095,2541,ELEC
2075,2541,ELEC
2053,2541,ELEC
2032,2541,ELEC
2012,2541,ELEC
1991,2541,ELEC
1976,2526,ELEC
1976,2506,ELEC
1976,2485,ELEC
1976,2465,ELEC
1976,2444,ELEC
1976,2424,ELEC
1976,2403,ELEC
1976,2382,ELEC
1976,2362,ELEC
1976,2343,ELEC
1976,2323,ELEC
1976,2303,ELEC
1976,2281,ELEC
1976,2260,ELEC
1961,2245,ELEC
1941,2245,ELEC
1919,2245,ELEC
1898,2245,ELEC
1878,2245,ELEC
1856,2245,ELEC
1835,2245,ELEC
1814,2245,ELEC
1794,2245,ELEC
1773,2245,ELEC
1753,2245,ELEC
1733,2245,ELEC
1713,2245,REACDOWN
1688,2245,REACDOWN
1659,2245,REACDOWN
1640,2245,REACDOWN
1621,2245,REACDOWN
1600,2245,REACDOWN
1581,2245,REACDOWN
1572,2245,REACDOWN
1572,2258,REACDOWN
1572,2278,REACDOWN
1572,2299,REACDOWN
1572,2319,REACDOWN
1572,2339,REACDOWN
1572,2360,REACDOWN
1572,2380,REACDOWN
1572,2401,REACDOWN
1572,2420,REACDOWN
1572,2441,REACDOWN
1572,2464,REACDOWN
1558,2474,REACDOWN
1537,2474,REACDOWN
1517,2474,REACDOWN
1496,2474,REACDOWN
1475,2474,REACDOWN
1455,2474,REACDOWN
1435,2474,REACDOWN
1415,2474,REACDOWN
1396,2474,REACDOWN
1376,2474,REACDOWN
1355,2474,REACDOWN
1335,2474,REACDOWN
1313,2474,REACDOWN
1292,2474,REACDOWN
1292,2453,REACDOWN
1292,2432,REACDOWN
1292,2411,REACDOWN
1292,2390,REACDOWN
