X,Y,Nearest Task
4095,2739,COMM
4095,2719,COMM
4095,2699,COMM
4095,2680,COMM
4095,2659,COMM
4095,2640,COMM
4095,2622,RIGHTCOM
4095,2605,RIGHTCOM
4095,2587,RIGHTCOM
4095,2569,RIGHTCOM
4095,2551,RIGHTCOM
4095,2533,RIGHTCOM
4095,2518,RIGHTCOM
4082,2504,RIGHTCOM
4068,2491,RIGHTCOM
4055,2478,RIGHTCOM
4042,2465,RIGHTCOM
4042,2446,RIGHTCOM
4042,2427,RIGHTCOM
4042,2408,RIGHTCOM
4042,2385,RIGHTCOM
4042,2367,RIGHTCOM
4042,2348,RIGHTCOM
4042,2328,RIGHTCOM
4042,2308,RIGHTCOM
4042,2288,RIGHTCOM
4042,2265,RIGHTCOM
4029,2252,RIGHTCOM
4015,2238,RIGHTCOM
3996,2238,RIGHTCOM
3975,2238,RIGHTCOM
3955,2238,RIGHTCOM
3937,2238,RIGHTCOM
3910,2238,RIGHTCOM
3886,2238,RIGHTCOM
3862,2238,RIGHTCOM
3842,2238,COMM
3824,2238,COMM
3805,2238,COMM
3786,2238,COMM
3767,2238,COMM
3748,2238,COMM
3729,2238,COMM
3711,2238,COMM
3693,2238,COMM
3673,2238,COMM
3653,2238,COMM
3635,2238,COMM
3617,2238,COMM
3597,2238,COMM
3579,2238,COMM
3560,2238,COMM
3541,2238,STOR
3521,2238,STOR
3503,2238,STOR
3485,2238,STOR
3485,2257,STOR
3485,2276,STOR
3485,2295,STOR
3485,2315,STOR
3485,2335,STOR
3485,2356,STOR
3485,2375,STOR
3485,2394,STOR
3485,2413,STOR
3485,2432,STOR
3485,2452,STOR
3485,2470,STOR
3485,2490,STOR
3485,2510,STOR
3485,2529,STOR
3485,2550,STOR
3485,2570,STOR
3485,2594,STOR
3485,2613,STOR
3485,2634,STOR
3485,2654,STOR
3470,2669,STOR
3456,2683,STOR
3442,2697,STOR
3421,2697,STOR
3401,2697,STOR
3381,2697,STOR
3360,2697,STOR
3340,2697,STOR
3319,2697,STOR
3300,2697,STOR
3281,2697,STOR
3262,2697,STOR
3239,2697,STOR
3221,2697,STOR
3202,2697,STOR
3181,2697,STOR
3161,2697,STOR
3140,2697,STOR
3120,2697,STOR
3100,2697,STOR
3080,2697,STOR
3060,2697,STOR
3037,2697,STOR
3015,2697,STOR
2994,2697,STOR
2974,2697,STOR
2954,2697,STOR
2940,2682,STOR
2940,2661,STOR
2940,2641,STOR
2940,2618,STOR
2940,2597,STOR
2940,2577,STOR
2940,2554,STOR
2926,2540,STOR
2906,2540,STOR
2887,2540,STOR
2861,2540,STOR
2836,2540,STOR
2818,2540,STOR
2800,2540,STOR
2781,2540,STOR
2759,2540,STOR
2741,2540,STOR
2722,2540,STOR
2702,2540,STOR
2683,2540,STOR
2663,2540,STOR
2644,2540,STOR
2625,2540,STOR
2606,2540,STOR
2586,2540,ELEC
2567,2540,ELEC
2548,2540,ELEC
2528,2540,ELEC
2509,2540,ELEC
2488,2540,ELEC
2468,2540,ELEC
2448,2540,ELEC
2428,2540,ELEC
2407,2540,ELEC
2385,2540,ELEC
2364,2540,ELEC
2344,2540,ELEC
2323,2540,ELEC
2303,2540,ELEC
2283,2540,ELEC
2262,2540,ELEC
2241,2540,ELEC
2221,2540,ELEC
2197,2540,ELEC
2178,2540,ELEC
2157,2540,ELEC
2135,2540,ELEC
2115,2540,ELEC
2095,2540,ELEC
2075,2540,ELEC
2055,2540,ELEC
2035,2540,ELEC
2015,2540,ELEC
2001,2526,ELEC
1986,2511,ELEC
1986,2490,ELEC
1986,2469,ELEC
1986,2449,ELEC
1986,2429,ELEC
1986,2408,ELEC
1986,2384,ELEC
1986,2365,ELEC
1986,2346,ELEC
1986,2327,ELEC
1986,2307,ELEC
1986,2288,ELEC
1986,2267,ELEC
1971,2252,ELEC
1950,2252,ELEC
1929,2252,ELEC
1906,2252,ELEC
1884,2252,ELEC
1862,2252,ELEC
1841,2252,ELEC
1820,2252,ELEC
1800,2252,ELEC
1779,2252,ELEC
1759,2252,ELEC
1740,2252,ELEC
1719,2252,REACDOWN
1699,2252,REACDOWN
1680,2252,REACDOWN
1660,2252,REACDOWN
1637,2252,REACDOWN
1615,2252,REACDOWN
1615,2233,REACDOWN
1615,2213,REACDOWN
1615,2195,REACDOWN
1615,2176,REACDOWN
1615,2156,REACDOWN
