X,Y,Nearest Task
4095,2739,COMM
4072,2739,COMM
4052,2739,COMM
4039,2726,COMM
4026,2713,COMM
4026,2693,COMM
4026,2673,COMM
4026,2655,COMM
4026,2636,COMM
4026,2614,COMM
4026,2594,COMM
4026,2573,COMM
4026,2552,COMM
4026,2533,COMM
4026,2514,RIGHTCOM
4026,2493,RIGHTCOM
4026,2473,RIGHTCOM
4026,2453,RIGHTCOM
4026,2431,RIGHTCOM
4026,2412,RIGHTCOM
4026,2393,RIGHTCOM
4026,2374,RIGHTCOM
4026,2356,RIGHTCOM
4026,2338,RIGHTCOM
4026,2318,RIGHTCOM
4026,2298,RIGHTCOM
4026,2278,RIGHTCOM
4007,2278,RIGHTCOM
3989,2278,RIGHTCOM
3970,2278,RIGHTCOM
3951,2278,RIGHTCOM
3929,2278,RIGHTCOM
3901,2278,RIGHTCOM
3874,2278,COMM
3854,2278,COMM
3836,2278,COMM
3817,2278,COMM
3798,2278,COMM
3780,2278,COMM
3761,2278,COMM
3743,2278,COMM
3725,2278,COMM
3705,2278,COMM
3686,2278,COMM
3667,2278,COMM
3648,2278,COMM
3627,2278,COMM
3606,2278,COMM
3582,2278,COMM
3554,2278,STOR
3535,2278,STOR
3510,2278,STOR
3487,2278,STOR
3467,2278,STOR
3454,2265,STOR
3454,2244,STOR
3454,2224,STOR
3454,2204,STOR
3454,2184,STOR
3454,2163,STOR
3454,2143,STOR
3454,2123,STOR
3454,2102,STOR
3454,2080,STOR
3454,2055,STOR
3454,2036,STOR
3454,2011,STOR
3439,1996,STOR
3408,1996,STOR
3385,1996,STOR
3347,1996,STOR
3322,1996,STOR
3322,1976,STOR
3322,1957,ELEC
3322,1937,ELEC
3322,1918,ELEC
3322,1898,ELEC
3322,1880,ELEC
3322,1860,ELEC
3322,1841,MED
3322,1822,MED
3322,1802,MED
3322,1780,MED
3322,1760,MED
3322,1740,MED
3322,1720,MED
3322,1698,MED
3322,1678,MED
3322,1657,MED
3322,1637,MED
3322,1617,MED
3322,1596,MED
3322,1575,MED
3322,1555,MED
3322,1535,MED
3322,1515,MED
3322,1493,MED
3322,1472,MED
3322,1451,MED
3322,1429,MED
3322,1409,MED
3322,1389,MED
3322,1367,MED
3322,1345,MED
3322,1320,O2
3322,1289,O2
3322,1263,O2
3322,1243,O2
3322,1223,O2
3322,1204,O2
3322,1184,O2
3322,1158,O2
3342,1139,O2
3363,1139,O2
3385,1139,O2
3409,1139,O2
3429,1139,O2
3447,1139,O2
3447,1157,O2
3447,1171,O2
3466,1171,O2
3487,1171,O2
3506,1171,O2
3526,1171,O2
3546,1171,O2
3566,1171,O2
3585,1171,O2
3606,1171,O2
3626,1171,O2
3646,1171,O2
3670,1171,O2
3690,1171,O2
3711,1171,O2
3730,1171,O2
3751,1171,O2
3774,1171,O2
3795,1171,O2
3809,1156,O2
3824,1142,O2
3838,1127,O2
3838,1107,O2
3838,1087,O2
3838,1063,O2
3838,1043,O2
3838,1024,O2
3838,1003,O2
3838,984,O2
3838,964,O2
3838,944,O2
3838,925,O2
3838,904,O2
3838,883,O2
3838,862,O2
3838,841,O2
3838,820,O2
3838,800,O2
3838,780,O2
3838,758,O2
3838,738,O2
3838,716,O2
3859,716,O2
3879,716,O2
3899,716,O2
3918,716,O2
3939,716,O2
3959,716,O2
3979,716,O2
3998,716,O2
4019,716,O2
4041,716,O2
4062,716,O2
4082,716,O2
4105,716,O2
4127,716,O2
4148,716,O2
4169,716,O2
4192,716,O2
4213,716,O2
4233,716,O2
4253,716,O2
4274,716,O2
4297,716,O2
4318,716,O2
4339,716,O2
4358,716,O2
4380,716,O2
4402,716,O2
4423,716,O2
4445,716,O2
4474,716,O2
4504,716,O2
4524,716,O2
4539,731,O2
4553,745,O2
4553,765,O2
4553,785,O2
4553,805,O2
4553,824,O2
4553,844,O2
4553,864,O2
4553,884,O2
4553,907,O2
4553,927,O2
4553,947,O2
4553,968,O2
4553,988,O2
4553,1010,O2
4553,1030,O2
4553,1050,O2
4553,1073,O2
4553,1096,O2
4553,1117,O2
4553,1137,O2
4553,1161,O2
4553,1185,O2
4553,1210,O2
4553,1243,O2
4574,1243,O2
4598,1243,O2
4624,1243,O2
4646,1243,O2
4667,1243,O2
4689,1243,O2
4712,1243,O2
4735,1243,O2
4755,1243,O2
4777,1243,O2
4801,1243,NAVI
4823,1243,NAVI
4844,1243,NAVI
4844,1266,NAVI
4844,1288,NAVI
4844,1309,NAVI
4859,1324,NAVI
4880,1324,NAVI
4902,1324,NAVI
4922,1324,NAVI
4941,1324,NAVI
4961,1324,NAVI
4982,1324,NAVI
5002,1324,NAVI
5022,1324,NAVI
5042,1324,NAVI
5061,1324,NAVI
5081,1324,NAVI
5101,1324,NAVI
5121,1324,NAVI
5141,1324,NAVI
5161,1324,NAVI
5182,1324,NAVI
5203,1324,NAVI
5223,1324,NAVI
5244,1324,NAVI
5266,1324,NAVI
5288,1324,NAVI
5310,1324,NAVI
5333,1324,NAVI
5356,1324,NAVI
5378,1324,NAVI
5399,1324,NAVI
5420,1324,NAVI
5440,1324,NAVI
5455,1309,NAVI
5455,1289,NAVI
5455,1270,NAVI
5455,1250,NAVI
5455,1226,NAVI
5455,1196,NAVI
