X,Y,Nearest Task
4095,2739,COMM
4077,2739,COMM
4056,2739,COMM
4036,2739,COMM
4036,2721,COMM
4036,2700,COMM
4036,2679,COMM
4036,2660,COMM
4036,2641,COMM
4036,2622,COMM
4036,2604,COMM
4036,2586,COMM
4036,2568,COMM
4036,2550,COMM
4036,2529,RIGHTCOM
4036,2508,RIGHTCOM
4036,2487,RIGHTCOM
4036,2469,RIGHTCOM
4036,2450,RIGHTCOM
4036,2428,RIGHTCOM
4036,2407,RIGHTCOM
4036,2383,RIGHTCOM
4036,2364,RIGHTCOM
4036,2342,RIGHTCOM
4036,2323,RIGHTCOM
4036,2304,RIGHTCOM
4036,2285,RIGHTCOM
4054,2285,RIGHTCOM
4073,2285,RIGHTCOM
4092,2285,RIGHTCOM
4110,2285,RIGHTCOM
4129,2285,RIGHTCOM
4148,2285,RIGHTCOM
4167,2285,RIGHTCOM
4185,2285,RIGHTCOM
4203,2285,RIGHTCOM
4221,2285,RIGHTCOM
4239,2285,RIGHTCOM
4257,2285,RIGHTCOM
4275,2285,RIGHTCOM
4293,2285,RIGHTCOM
4312,2285,RIGHTCOM
4331,2285,RIGHTCOM
4352,2285,RIGHTCOM
4372,2285,RIGHTCOM
4392,2285,RIGHTCOM
4413,2285,RIGHTCOM
4434,2285,RIGHTCOM
4454,2285,RIGHTCOM
4473,2285,RIGHTCOM
4493,2285,RIGHTCOM
4516,2285,RIGHTCOM
4535,2285,RIGHTCOM
4549,2271,RIGHTCOM
4549,2252,RIGHTCOM
4549,2233,RIGHTCOM
4549,2214,RIGHTCOM
4549,2194,RIGHTCOM
4549,2174,RIGHTCOM
4549,2136,RIGHTCOM
4549,2111,RIGHTCOM
4549,2092,RIGHTCOM
4549,2074,RIGHTCOM
4549,2056,RIGHTCOM
4549,2039,RIGHTCOM
4549,2020,RIGHTCOM
4549,2001,RIGHTCOM
4549,1982,RIGHTCOM
4549,1962,RIGHTCOM
4549,1943,RIGHTCOM
4549,1925,RIGHTCOM
4549,1904,RIGHTCOM
4549,1884,RIGHTCOM
4549,1864,RIGHTCOM
4549,1845,RIGHTCOM
4549,1825,RIGHTCOM
4549,1806,RIGHTCOM
4549,1785,RIGHTCOM
4549,1763,RIGHTCOM
4549,1741,O2
4549,1720,O2
4549,1700,O2
4549,1681,O2
4549,1660,O2
4549,1637,O2
4549,1614,O2
4563,1600,O2
4583,1600,O2
4600,1600,O2
4618,1600,O2
4637,1600,O2
4656,1600,O2
4675,1600,O2
4692,1600,O2
4710,1600,O2
4729,1600,O2
4748,1600,NAVI
4769,1600,NAVI
4789,1600,NAVI
4809,1600,NAVI
4823,1586,NAVI
4837,1572,NAVI
4837,1553,NAVI
4837,1534,NAVI
4837,1514,NAVI
4837,1494,NAVI
4837,1473,NAVI
4837,1454,NAVI
4837,1435,NAVI
4837,1415,NAVI
4837,1394,NAVI
4837,1372,NAVI
4837,1352,NAVI
4837,1332,NAVI
4837,1312,NAVI
4837,1291,NAVI
4837,1271,NAVI
4837,1251,NAVI
4837,1231,NAVI
4822,1216,NAVI
4803,1216,NAVI
4784,1216,O2
4765,1216,O2
4742,1216,O2
4724,1216,O2
4705,1216,O2
4686,1216,O2
4667,1216,O2
4649,1216,O2
4630,1216,O2
4612,1216,O2
4593,1216,O2
4574,1216,O2
4554,1216,O2
4534,1216,O2
4513,1216,O2
4493,1216,O2
4472,1216,O2
4451,1216,O2
4431,1216,O2
4411,1216,O2
4391,1216,O2
4371,1216,O2
4351,1216,O2
4326,1216,O2
4297,1216,O2
4281,1231,O2
4268,1245,O2
4254,1258,O2
4235,1258,O2
4217,1258,O2
4198,1258,O2
4178,1258,O2
4159,1258,O2
4141,1258,O2
4127,1244,O2
4114,1231,O2
4100,1217,O2
4081,1217,O2
4061,1217,O2
4039,1217,O2
4021,1217,O2
4020,1217,O2
