X,Y,Nearest Task
4095,2739,COMM
4095,2720,COMM
4095,2700,COMM
4095,2678,COMM
4083,2665,COMM
4063,2665,COMM
4050,2652,COMM
4050,2631,COMM
4050,2609,COMM
4050,2589,COMM
4050,2569,COMM
4050,2550,RIGHTCOM
4050,2531,RIGHTCOM
4050,2511,RIGHTCOM
4050,2489,RIGHTCOM
4050,2471,RIGHTCOM
4050,2453,RIGHTCOM
4050,2433,RIGHTCOM
4050,2412,RIGHTCOM
4050,2381,RIGHTCOM
4050,2359,RIGHTCOM
4050,2340,RIGHTCOM
4050,2322,RIGHTCOM
4037,2309,RIGHTCOM
4025,2296,RIGHTCOM
4006,2296,RIGHTCOM
3986,2296,RIGHTCOM
3968,2296,RIGHTCOM
3950,2296,RIGHTCOM
3928,2296,RIGHTCOM
3908,2296,RIGHTCOM
3887,2296,COMM
3867,2296,COMM
3848,2296,COMM
3828,2296,COMM
3810,2296,COMM
3791,2296,COMM
3772,2296,COMM
3753,2296,COMM
3733,2296,COMM
3712,2296,COMM
3692,2296,COMM
3671,2296,COMM
3648,2296,COMM
3629,2296,COMM
3607,2296,COMM
3584,2296,COMM
3565,2296,COMM
3546,2296,STOR
3525,2296,STOR
3505,2296,STOR
3482,2296,STOR
3482,2277,STOR
3482,2254,STOR
3482,2234,STOR
3482,2214,STOR
3482,2193,STOR
3482,2174,STOR
3482,2155,STOR
3482,2135,STOR
3482,2115,STOR
3482,2097,STOR
3482,2077,STOR
3482,2057,STOR
3469,2044,STOR
3452,2027,STOR
3431,2027,STOR
3412,2027,STOR
3393,2027,STOR
3370,2027,STOR
3348,2027,STOR
3327,2027,STOR
3307,2027,STOR
3287,2027,STOR
3265,2027,STOR
3244,2027,STOR
3222,2027,ELEC
3201,2027,ELEC
3170,2027,ELEC
3148,2027,ELEC
3126,2027,ELEC
3105,2027,ELEC
3085,2027,ELEC
3063,2027,ELEC
3042,2027,ELEC
3022,2027,ELEC
2999,2027,ELEC
2985,2042,ELEC
2985,2063,ELEC
2985,2085,ELEC
2985,2115,ELEC
2985,2135,ELEC
2985,2156,ELEC
2985,2176,ELEC
2985,2192,ELEC
2971,2192,ELEC
2950,2192,ELEC
2931,2192,ELEC
2912,2192,ELEC
2898,2206,ELEC
2898,2227,ELEC
2898,2246,ELEC
2898,2266,ELEC
2898,2286,ELEC
2898,2305,STOR
2898,2324,STOR
2898,2344,STOR
2898,2364,STOR
2898,2395,STOR
2898,2420,STOR
2898,2438,STOR
2898,2457,STOR
2898,2477,STOR
2898,2495,STOR
2898,2514,STOR
2879,2514,STOR
2860,2514,STOR
2841,2514,STOR
2821,2514,STOR
2801,2514,STOR
2782,2514,STOR
2762,2514,STOR
2742,2514,STOR
2722,2514,STOR
2703,2514,STOR
2684,2514,STOR
2665,2514,STOR
2644,2514,STOR
2624,2514,ELEC
2604,2514,ELEC
2584,2514,ELEC
2564,2514,ELEC
2544,2514,ELEC
2523,2514,ELEC
2501,2514,ELEC
2481,2514,ELEC
2460,2514,ELEC
2441,2514,ELEC
2422,2514,ELEC
2402,2514,ELEC
2379,2514,ELEC
2359,2514,ELEC
2339,2514,ELEC
2319,2514,ELEC
2300,2514,ELEC
2281,2514,ELEC
2258,2514,ELEC
2238,2514,ELEC
2216,2514,ELEC
2196,2514,ELEC
2177,2514,ELEC
2157,2514,ELEC
2136,2514,ELEC
2113,2514,ELEC
2093,2514,ELEC
2073,2514,ELEC
2054,2514,ELEC
2034,2514,ELEC
2019,2499,ELEC
2005,2485,ELEC
2005,2466,ELEC
2005,2444,ELEC
2005,2422,ELEC
2005,2402,ELEC
2005,2382,ELEC
2005,2361,ELEC
2005,2341,ELEC
2005,2322,ELEC
2005,2300,ELEC
2005,2281,ELEC
1979,2281,ELEC
1957,2281,ELEC
1936,2281,ELEC
1913,2281,ELEC
1911,2281,ELEC
1911,2265,ELEC
1896,2250,ELEC
1881,2235,ELEC
1866,2220,ELEC
1853,2207,ELEC
1838,2192,ELEC
1824,2178,ELEC
1800,2178,ELEC
1779,2178,ELEC
1758,2178,ELEC
