X,Y,Nearest Task
4095,2739,COMM
4076,2739,COMM
4062,2724,COMM
4047,2710,COMM
4047,2690,COMM
4047,2671,COMM
4047,2653,COMM
4047,2634,COMM
4047,2615,COMM
4047,2597,COMM
4047,2579,COMM
4047,2560,COMM
4047,2541,RIGHTCOM
4047,2523,RIGHTCOM
4047,2504,RIGHTCOM
4047,2484,RIGHTCOM
4047,2463,RIGHTCOM
4047,2442,RIGHTCOM
4047,2422,RIGHTCOM
4047,2403,RIGHTCOM
4047,2383,RIGHTCOM
4047,2364,RIGHTCOM
4047,2344,RIGHTCOM
4047,2324,RIGHTCOM
4047,2306,RIGHTCOM
4047,2287,RIGHTCOM
4033,2273,RIGHTCOM
4013,2273,RIGHTCOM
3993,2273,RIGHTCOM
3973,2273,RIGHTCOM
3954,2273,RIGHTCOM
3935,2273,RIGHTCOM
3915,2273,RIGHTCOM
3896,2273,RIGHTCOM
3875,2273,COMM
3854,2273,COMM
3835,2273,COMM
3815,2273,COMM
3796,2273,COMM
3773,2273,COMM
3753,2273,COMM
3733,2273,COMM
3711,2273,COMM
3691,2273,COMM
3668,2273,COMM
3649,2273,COMM
3629,2273,COMM
3611,2273,COMM
3592,2273,COMM
3573,2273,COMM
3553,2273,STOR
3534,2273,STOR
3513,2273,STOR
3493,2273,STOR
3472,2273,STOR
3453,2273,STOR
3453,2254,STOR
3453,2231,STOR
3453,2212,STOR
3453,2192,STOR
3453,2168,STOR
3453,2134,STOR
3453,2110,STOR
3453,2089,STOR
3453,2069,STOR
3453,2050,STOR
3453,2031,STOR
3453,2012,STOR
3453,1992,STOR
3439,1978,STOR
3425,1964,STOR
3411,1950,STOR
3398,1937,STOR
3398,1916,STOR
3398,1896,O2
3398,1876,O2
3398,1856,O2
3398,1837,O2
3398,1818,O2
3398,1798,O2
3398,1778,O2
3398,1759,O2
3398,1737,O2
3398,1717,O2
3398,1697,O2
3398,1677,O2
3398,1657,O2
3398,1638,O2
3398,1619,O2
3398,1599,O2
3398,1589,O2
3384,1589,O2
3369,1573,O2
3369,1544,O2
3369,1525,O2
3369,1496,O2
3369,1477,O2
3369,1458,O2
3369,1436,O2
3369,1417,O2
3369,1397,O2
3369,1377,O2
3369,1356,O2
3369,1337,O2
3369,1318,O2
3369,1298,O2
3369,1278,O2
3369,1256,O2
3369,1237,O2
3369,1217,O2
3369,1198,O2
3369,1177,O2
3369,1158,O2
3369,1137,O2
3369,1118,O2
3369,1098,O2
3369,1078,O2
3369,1058,O2
3369,1037,O2
3369,1017,O2
3369,997,O2
3369,978,O2
3369,955,O2
3369,932,O2
3353,917,O2
3332,917,O2
3310,917,O2
3290,917,O2
3268,917,MED
3248,917,MED
3226,917,MED
3204,917,MED
3183,917,MED
3173,917,MED
3173,902,MED
3173,879,MED
3173,859,MED
3173,845,MED
3158,830,MED
3144,816,MED
3125,816,MED
3101,816,MED
3081,816,MED
3052,816,MED
3052,774,CAFELEF
3052,747,CAFELEF
3052,727,CAFELEF
3052,708,CAFELEF
3052,688,CAFELEF
3038,674,CAFELEF
3017,674,CAFELEF
2998,674,CAFELEF
2979,674,CAFELEF
2960,674,CAFELEF
2939,674,CAFELEF
2920,674,CAFELEF
2899,674,CAFELEF
2879,674,CAFELEF
2860,674,CAFELEF
2839,674,CAFELEF
2820,674,CAFELEF
2801,674,CAFELEF
2780,674,CAFELEF
2760,674,CAFELEF
2736,674,CAFELEF
2715,674,CAFELEF
2695,674,CAFELEF
2674,674,CAFELEF
2653,674,CAFELEF
2631,674,CAFELEF
2610,674,CAFELEF
2589,674,CAFELEF
2567,674,CAFELEF
2545,674,CAFELEF
2523,674,CAFELEF
2503,674,CAFELEF
2484,674,CAFELEF
2462,674,CAFELEF
2440,674,CAFELEF
2416,674,CAFELEF
2396,674,CAFELEF
2376,674,CAFELEF
2354,674,CAFELEF
2335,674,CAFELEF
2313,674,CAFELEF
2292,674,CAFELEF
2272,674,CAFELEF
2252,674,CAFELEF
2232,674,CAFELEF
2212,674,CAFELEF
2193,674,CAFELEF
2172,674,CAFELEF
2152,674,CAFELEF
2132,674,CAFELEF
2113,674,CAFELEF
2092,674,CAFELEF
2072,674,CAFELEF
2052,674,MED
2031,674,MED
2011,674,MED
1992,674,MED
1971,674,MED
1951,674,MED
1931,674,MED
1912,674,MED
1890,674,MED
1871,674,MED
1852,674,REACUP
1831,674,REACUP
1812,674,REACUP
1790,674,REACUP
1770,674,REACUP
1750,674,REACUP
1728,674,REACUP
1707,674,REACUP
1687,674,REACUP
1667,674,REACUP
1645,674,REACUP
1625,674,REACUP
1610,658,REACUP
1610,636,REACUP
1610,613,REACUP
1610,592,REACUP
1610,570,REACUP
1610,540,REACUP
1589,519,REACUP
1566,519,REACUP
1546,519,REACUP
1525,519,REACUP
1505,519,REACUP
1486,519,REACUP
1466,519,REACUP
1446,519,REACUP
1424,519,REACUP
1404,519,REACUP
1383,519,REACUP
1361,519,REACUP
1339,519,REACUP
1319,519,REACUP
1299,519,REACUP
1277,519,REACUP
