X,Y,Nearest Task
4095,2739,COMM
4077,2739,COMM
4062,2724,COMM
4048,2710,COMM
4048,2690,COMM
4048,2666,COMM
4048,2647,COMM
4048,2629,COMM
4048,2610,COMM
4048,2591,COMM
4048,2571,COMM
4048,2537,RIGHTCOM
4048,2512,RIGHTCOM
4048,2494,RIGHTCOM
4048,2476,RIGHTCOM
4048,2458,RIGHTCOM
4048,2438,RIGHTCOM
4048,2420,RIGHTCOM
4048,2402,RIGHTCOM
4048,2383,RIGHTCOM
4048,2365,RIGHTCOM
4048,2346,RIGHTCOM
4048,2327,RIGHTCOM
4048,2307,RIGHTCOM
4048,2287,RIGHTCOM
4034,2273,RIGHTCOM
4013,2273,RIGHTCOM
3994,2273,RIGHTCOM
3974,2273,RIGHTCOM
3954,2273,RIGHTCOM
3934,2273,RIGHTCOM
3914,2273,RIGHTCOM
3895,2273,RIGHTCOM
3876,2273,COMM
3856,2273,COMM
3838,2273,COMM
3816,2273,COMM
3795,2273,COMM
3775,2273,COMM
3755,2273,COMM
3735,2273,COMM
3713,2273,COMM
3692,2273,COMM
3670,2273,COMM
3649,2273,COMM
3629,2273,COMM
3607,2273,COMM
3587,2273,COMM
3565,2273,COMM
3543,2273,STOR
3523,2273,STOR
3504,2273,STOR
3484,2273,STOR
3464,2273,STOR
3444,2273,STOR
3423,2273,STOR
3423,2254,STOR
3423,2235,STOR
3423,2216,STOR
3423,2198,STOR
3423,2181,STOR
3423,2161,STOR
3423,2143,STOR
3423,2122,STOR
3423,2104,STOR
3423,2085,STOR
3423,2067,STOR
3410,2054,STOR
3397,2041,STOR
3383,2027,STOR
3370,2013,STOR
3370,1993,STOR
3370,1972,STOR
3370,1952,STOR
3370,1932,STOR
3370,1911,ELEC
3370,1892,ELEC
3370,1872,ELEC
3370,1851,MED
3370,1830,MED
3370,1811,MED
3370,1790,MED
3370,1772,O2
3370,1753,O2
3370,1731,O2
3370,1711,O2
3370,1692,O2
3370,1673,O2
3370,1653,O2
3370,1633,O2
3370,1613,O2
3370,1592,O2
3370,1572,O2
3370,1552,O2
3370,1532,O2
3370,1505,O2
3370,1486,O2
3370,1460,O2
3370,1437,O2
3370,1416,O2
3370,1397,O2
3370,1378,O2
3370,1360,O2
3370,1340,O2
3370,1320,O2
3373,1307,O2
3387,1293,O2
3406,1293,O2
3426,1293,O2
3445,1293,O2
3465,1293,O2
3484,1293,O2
3504,1293,O2
3527,1293,O2
3544,1293,O2
3564,1293,O2
3584,1293,O2
3604,1293,O2
3624,1293,O2
3643,1293,O2
3663,1293,O2
3683,1293,O2
3702,1293,O2
3717,1278,O2
3717,1258,O2
3717,1239,O2
3717,1218,O2
3717,1199,O2
3717,1180,O2
3717,1160,O2
3732,1159,O2
3747,1159,O2
3760,1159,O2
3774,1144,O2
3788,1130,O2
3801,1117,O2
3816,1102,O2
3830,1088,O2
3844,1074,O2
3844,1053,O2
3844,1034,O2
3844,1013,O2
3844,993,O2
3844,972,O2
3844,952,O2
3844,930,O2
3844,907,O2
3844,887,O2
3844,866,O2
3844,844,O2
3844,822,O2
3844,802,O2
3844,780,O2
3844,761,O2
3844,742,O2
3858,728,O2
3872,714,O2
3891,714,O2
3911,714,O2
3933,714,O2
3953,714,O2
3974,714,O2
3994,714,O2
4015,714,O2
4035,714,O2
4057,714,O2
4078,714,O2
4099,714,O2
4120,714,O2
4141,714,O2
4166,714,O2
4186,714,O2
4208,714,O2
4227,714,O2
4248,714,O2
4270,714,O2
4296,714,O2
4329,714,O2
4357,714,O2
4378,714,O2
4392,699,O2
4406,685,O2
4406,665,O2
4406,646,O2
4406,627,O2
4406,617,O2
4421,603,CAFERIGHT
4437,587,CAFERIGHT
4437,572,CAFERIGHT
4437,556,CAFERIGHT
4437,541,CAFERIGHT
4453,525,CAFERIGHT
4474,525,CAFERIGHT
4496,525,CAFERIGHT
4518,525,CAFERIGHT
4541,525,CAFERIGHT
4563,525,CAFERIGHT
4563,503,CAFERIGHT
4563,483,CAFERIGHT
4563,464,CAFERIGHT
4563,444,CAFERIGHT
4563,421,CAFERIGHT
4563,402,CAFERIGHT
4563,382,CAFERIGHT
4563,366,CAFERIGHT
4544,366,CAFERIGHT
4523,366,CAFERIGHT
4513,366,CAFERIGHT
