X,Y,Nearest Task
1284,517,REACUP
1284,533,REACUP
1284,546,REACUP
1284,554,REACUP
1297,554,REACUP
1310,554,REACUP
1323,554,REACUP
1336,554,REACUP
1349,554,REACUP
1362,554,REACUP
1375,554,REACUP
1388,554,REACUP
1401,554,REACUP
1414,554,REACUP
1427,554,REACUP
1440,554,REACUP
1453,554,REACUP
1466,554,REACUP
1484,554,REACUP
1505,554,REACUP
1518,554,REACUP
1531,554,REACUP
1544,554,REACUP
1557,554,REACUP
1570,554,REACUP
1579,563,REACUP
1579,579,REACUP
1579,592,REACUP
1579,605,REACUP
1579,618,REACUP
1579,631,REACUP
1579,644,REACUP
1579,657,REACUP
1579,670,REACUP
1579,683,REACUP
1579,696,REACUP
1579,709,REACUP
1579,722,REACUP
1579,735,REACUP
1579,748,REACUP
1588,757,REACUP
1601,757,REACUP
1614,757,REACUP
1637,757,REACUP
1637,736,REACUP
1647,726,REACUP
1656,717,REACUP
1665,708,REACUP
1674,699,REACUP
1683,690,REACUP
1696,690,REACUP
1709,690,REACUP
1722,690,REACUP
1735,690,REACUP
1748,690,REACUP
1761,690,REACUP
1774,690,REACUP
1787,690,REACUP
1800,690,REACUP
1813,690,REACUP
1826,690,REACUP
1839,690,REACUP
1852,690,REACUP
1865,690,MED
1878,690,MED
1891,690,MED
1904,690,MED
1917,690,MED
1930,690,MED
1948,690,MED
1961,690,MED
1974,690,MED
1987,690,MED
2005,690,MED
2018,690,MED
2031,690,MED
2044,690,MED
2061,690,MED
2074,690,MED
2087,690,MED
2102,690,MED
2120,690,MED
2133,690,MED
2146,690,MED
2159,690,MED
2172,690,MED
2185,690,MED
2199,690,MED
2217,690,CAFELEF
2230,690,CAFELEF
2243,690,CAFELEF
2256,690,CAFELEF
2269,690,CAFELEF
2282,690,CAFELEF
2295,690,CAFELEF
2308,690,CAFELEF
2321,690,CAFELEF
2334,690,CAFELEF
2347,690,CAFELEF
2365,690,CAFELEF
2378,690,CAFELEF
2391,690,CAFELEF
2404,690,CAFELEF
2417,690,CAFELEF
2430,690,CAFELEF
2443,690,CAFELEF
2456,690,CAFELEF
2469,690,CAFELEF
2482,690,CAFELEF
2495,690,CAFELEF
2508,690,CAFELEF
2521,690,CAFELEF
2534,690,CAFELEF
2547,690,CAFELEF
2560,690,CAFELEF
2573,690,CAFELEF
2586,690,CAFELEF
2601,690,CAFELEF
2616,690,CAFELEF
2629,690,CAFELEF
2642,690,CAFELEF
2655,690,CAFELEF
2668,690,CAFELEF
2681,690,CAFELEF
2690,681,CAFELEF
2699,672,CAFELEF
2699,660,CAFELEF
2699,648,CAFELEF
2699,636,CAFELEF
2699,624,CAFELEF
2699,622,CAFELEF
2708,613,CAFELEF
2721,613,CAFELEF
2734,613,CAFELEF
2747,613,CAFELEF
2760,613,CAFELEF
2773,613,CAFELEF
2787,613,CAFELEF
2803,613,CAFELEF
2816,613,CAFELEF
2829,613,CAFELEF
2842,613,CAFELEF
2842,601,CAFELEF
2842,589,CAFELEF
2842,577,CAFELEF
2842,565,CAFELEF
2842,553,CAFELEF
2842,538,CAFELEF
2842,519,CAFELEF
2842,507,CAFELEF
2842,495,CAFELEF
2842,457,CAFELEF
2842,445,CAFELEF
2842,433,CAFELEF
2842,421,CAFELEF
2842,409,CAFELEF
2842,397,CAFELEF
2842,385,CAFELEF
2842,373,CAFELEF
2842,361,CAFELEF
2842,349,CAFELEF
2842,337,CAFELEF
2842,322,CAFELEF
2842,310,CAFELEF
2842,298,CAFELEF
2842,286,CAFELEF
2842,273,CAFELEF
2842,261,CAFELEF
2842,249,CAFELEF
2842,237,CAFELEF
2842,225,CAFELEF
2842,212,CAFELEF
2830,212,CAFELEF
2829,212,CAFELEF
