X,Y,Nearest Task
1284,517,REACUP
1284,487,REACUP
1284,473,REACUP
1284,467,REACUP
1297,467,REACUP
1310,467,REACUP
1323,467,REACUP
1336,467,REACUP
1349,467,REACUP
1362,467,REACUP
1375,467,REACUP
1388,467,REACUP
1401,467,REACUP
1413,467,REACUP
1426,467,REACUP
1439,467,REACUP
1452,467,REACUP
1465,467,REACUP
1478,467,REACUP
1491,467,REACUP
1504,467,REACUP
1517,467,REACUP
1530,467,REACUP
1543,467,REACUP
1556,467,REACUP
1569,467,REACUP
1582,467,REACUP
1582,480,REACUP
1582,493,REACUP
1582,506,REACUP
1582,519,REACUP
1582,533,REACUP
1582,546,REACUP
1582,559,REACUP
1591,568,REACUP
1600,577,REACUP
1613,577,REACUP
1626,577,REACUP
1637,577,REACUP
1637,586,REACUP
1637,595,REACUP
1637,604,REACUP
1637,613,REACUP
1637,622,REACUP
1646,631,REACUP
1655,640,REACUP
1664,649,REACUP
1677,649,REACUP
1690,649,REACUP
1703,649,REACUP
1716,649,REACUP
1729,649,REACUP
1742,649,REACUP
1755,649,REACUP
1768,649,REACUP
1781,649,REACUP
1794,649,REACUP
1807,649,REACUP
1820,649,REACUP
1833,649,REACUP
1846,649,REACUP
1859,649,REACUP
1872,649,CAFELEF
1885,649,CAFELEF
1898,649,CAFELEF
1916,649,CAFELEF
1929,649,CAFELEF
1942,649,CAFELEF
1955,649,CAFELEF
1968,649,CAFELEF
1981,649,CAFELEF
1994,649,CAFELEF
2007,649,CAFELEF
2020,649,CAFELEF
2033,649,CAFELEF
2050,649,CAFELEF
2063,649,CAFELEF
2076,649,CAFELEF
2089,649,CAFELEF
2102,649,CAFELEF
2115,649,CAFELEF
2128,649,CAFELEF
2141,649,CAFELEF
2154,649,CAFELEF
2167,649,CAFELEF
2180,649,CAFELEF
2193,649,CAFELEF
2206,649,CAFELEF
2219,649,CAFELEF
2232,649,CAFELEF
2245,649,CAFELEF
2258,649,CAFELEF
2271,649,CAFELEF
2284,649,CAFELEF
2297,649,CAFELEF
2310,649,CAFELEF
2323,649,CAFELEF
2336,649,CAFELEF
2349,649,CAFELEF
2362,649,CAFELEF
2375,649,CAFELEF
2388,649,CAFELEF
2401,649,CAFELEF
2414,649,CAFELEF
2427,649,CAFELEF
2440,649,CAFELEF
2453,649,CAFELEF
2466,649,CAFELEF
2479,649,CAFELEF
2492,649,CAFELEF
2505,649,CAFELEF
2518,649,CAFELEF
2531,649,CAFELEF
2544,649,CAFELEF
2557,649,CAFELEF
2570,649,CAFELEF
2583,649,CAFELEF
2596,649,CAFELEF
2609,649,CAFELEF
2622,649,CAFELEF
2635,649,CAFELEF
2648,649,CAFELEF
2661,649,CAFELEF
2674,649,CAFELEF
2687,649,CAFELEF
2700,649,CAFELEF
2713,649,CAFELEF
2726,649,CAFELEF
2739,649,CAFELEF
2752,649,CAFELEF
2765,649,CAFELEF
2778,649,CAFELEF
2791,649,CAFELEF
2804,649,CAFELEF
2817,649,CAFELEF
2830,649,CAFELEF
2843,649,CAFELEF
2856,649,CAFELEF
2869,649,CAFELEF
2882,649,CAFELEF
2895,649,CAFELEF
2908,649,CAFELEF
2921,649,CAFELEF
2934,649,CAFELEF
2947,649,CAFELEF
2960,649,CAFELEF
2973,649,CAFELEF
2986,649,CAFELEF
2999,649,CAFELEF
3008,640,CAFELEF
3017,631,CAFELEF
3026,622,CAFELEF
3035,613,CAFELEF
3048,613,CAFELEF
3061,613,CAFELEF
3074,613,CAFELEF
3108,613,CAFELEF
3121,613,CAFELEF
3134,613,CAFELEF
3147,613,CAFELEF
3158,613,CAFELEF
3158,604,CAFELEF
3160,595,CAFELEF
3160,586,CAFELEF
3173,586,CAFELEF
3188,586,CAFELEF
3209,586,CAFELEF
3220,586,CAFELEF
3220,577,CAFELEF
3234,563,CAFELEF
3246,551,CAFELEF
3255,542,CAFELEF
3264,533,CAFELEF
3277,533,CAFELEF
3290,533,CAFERIGHT
3303,533,CAFERIGHT
3316,533,CAFERIGHT
3329,533,CAFERIGHT
3342,533,CAFERIGHT
3355,533,CAFERIGHT
3368,533,CAFERIGHT
3381,533,CAFERIGHT
3397,533,CAFERIGHT
3414,533,CAFERIGHT
3427,533,CAFERIGHT
3440,533,CAFERIGHT
3453,533,CAFERIGHT
3466,533,CAFERIGHT
3479,533,CAFERIGHT
3492,533,CAFERIGHT
3505,533,CAFERIGHT
3518,533,CAFERIGHT
3531,533,CAFERIGHT
3548,533,CAFERIGHT
3557,542,CAFERIGHT
3566,551,CAFERIGHT
3575,560,CAFERIGHT
3584,569,CAFERIGHT
3593,578,CAFERIGHT
3603,588,CAFERIGHT
3619,588,CAFERIGHT
3634,588,CAFERIGHT
3651,588,CAFERIGHT
3664,588,CAFERIGHT
3677,588,CAFERIGHT
3690,588,CAFERIGHT
3704,588,CAFERIGHT
3717,588,CAFERIGHT
3732,588,CAFERIGHT
3746,588,CAFERIGHT
3755,579,CAFERIGHT
3764,570,CAFERIGHT
3773,561,CAFERIGHT
3782,552,CAFERIGHT
3791,543,CAFERIGHT
3800,534,CAFERIGHT
3809,525,CAFERIGHT
3819,515,CAFERIGHT
3830,504,CAFERIGHT
3839,495,CAFERIGHT
3848,486,CAFERIGHT
3857,477,CAFERIGHT
3866,468,CAFERIGHT
3875,459,CAFERIGHT
