X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1362,517,REACUP
1375,517,REACUP
1389,517,REACUP
1402,517,REACUP
1415,517,REACUP
1428,517,REACUP
1441,517,REACUP
1454,517,REACUP
1467,517,REACUP
1480,517,REACUP
1495,517,REACUP
1514,517,REACUP
1527,517,REACUP
1527,530,REACUP
1527,543,REACUP
1527,556,REACUP
1527,569,REACUP
1527,582,REACUP
1527,584,REACUP
1536,593,REACUP
1545,600,REACUP
1558,600,REACUP
1571,600,REACUP
1584,600,REACUP
1597,600,REACUP
1610,600,REACUP
1623,600,REACUP
1623,613,REACUP
1623,626,REACUP
1623,646,REACUP
1623,665,REACUP
1623,678,REACUP
1623,691,REACUP
1623,714,REACUP
1623,731,REACUP
1623,744,REACUP
1623,757,REACUP
1623,770,REACUP
1623,783,REACUP
1623,796,REACUP
1623,809,REACUP
1623,822,REACUP
1623,854,REACUP
1623,867,REACUP
1623,880,REACUP
1623,896,REACUP
1623,909,REACUP
1623,922,REACUP
1611,922,REACUP
1599,922,REACUP
1587,922,REACUP
1575,922,REACUP
1562,922,REACUP
1550,922,REACUP
1538,922,REACUP
1526,922,REACUP
1514,922,REACUP
1502,922,REACUP
1490,922,REACUP
1478,922,REACUP
1466,922,REACUP
1454,922,REACUP
1441,922,REACUP
1429,922,REACUP
1429,936,REACUP
1429,952,REACUP
1429,965,REACUP
1429,978,REACUP
1429,992,REACUP
1429,1010,REACUP
1429,1023,REACUP
1429,1036,REACUP
1429,1049,REACUP
1429,1062,REACUP
1429,1075,REACUP
1429,1088,REACUP
1429,1101,REACUP
1429,1114,REACUP
1429,1127,REACUP
1429,1140,REACUP
1429,1153,REACUP
1429,1166,REACUP
1429,1179,REACUP
1429,1192,REACUP
1429,1213,REACUP
1429,1227,REACUP
1429,1240,REACUP
1429,1253,REACUP
1429,1266,REACUP
1429,1279,REACUP
1429,1292,REACUP
1429,1305,REACUP
1429,1318,REACUP
1429,1331,REACUP
1429,1344,REACUP
1429,1357,REACUP
1429,1370,REACUP
1429,1383,REACUP
1429,1396,REACUP
1429,1409,REACUP
1429,1422,REACUP
1429,1435,REACUP
1429,1448,REACUP
1429,1461,REACUP
1429,1474,REACDOWN
1429,1487,REACDOWN
1429,1500,REACDOWN
1429,1513,REACDOWN
1438,1522,REACDOWN
1447,1531,REACDOWN
1460,1531,REACDOWN
1473,1531,REACDOWN
1486,1531,REACDOWN
1499,1531,REACDOWN
1512,1531,REACDOWN
1525,1531,REACDOWN
1538,1531,REACDOWN
1551,1531,REACDOWN
1564,1531,REACDOWN
1577,1531,REACDOWN
1590,1531,REACDOWN
1603,1531,REACDOWN
1616,1531,REACDOWN
1629,1531,REACDOWN
1642,1531,REACDOWN
1655,1531,ELEC
1668,1531,ELEC
1681,1531,ELEC
1694,1531,ELEC
1707,1531,ELEC
1720,1531,ELEC
1733,1531,ELEC
1746,1531,ELEC
1759,1531,ELEC
1772,1531,ELEC
1788,1531,ELEC
1801,1531,ELEC
1814,1531,ELEC
1830,1531,ELEC
1843,1531,ELEC
1856,1531,ELEC
1869,1531,ELEC
1883,1531,ELEC
1898,1531,ELEC
1911,1531,ELEC
1911,1544,ELEC
1911,1557,ELEC
1911,1570,ELEC
1911,1583,ELEC
1911,1596,ELEC
1911,1609,ELEC
1911,1622,ELEC
1911,1635,ELEC
1911,1650,ELEC
1911,1655,ELEC
1911,1642,ELEC
1911,1630,ELEC
1911,1617,ELEC
1911,1605,ELEC
1911,1593,ELEC
1924,1593,ELEC
1937,1593,ELEC
1950,1593,ELEC
1963,1593,ELEC
1966,1593,ELEC
1966,1606,ELEC
1966,1619,ELEC
1966,1632,ELEC
1954,1632,ELEC
1942,1632,ELEC
1930,1632,ELEC
