X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1329,517,REACUP
1348,517,REACUP
1361,517,REACUP
1374,517,REACUP
1387,517,REACUP
1400,517,REACUP
1413,517,REACUP
1426,517,REACUP
1439,517,REACUP
1452,517,REACUP
1465,517,REACUP
1478,517,REACUP
1491,517,REACUP
1508,517,REACUP
1521,517,REACUP
1534,517,REACUP
1547,517,REACUP
1560,517,REACUP
1578,517,REACUP
1592,517,REACUP
1609,517,REACUP
1609,530,REACUP
1609,543,REACUP
1609,556,REACUP
1609,569,REACUP
1609,582,REACUP
1609,595,REACUP
1609,608,REACUP
1609,621,REACUP
1609,634,REACUP
1609,647,REACUP
1609,660,REACUP
1609,673,REACUP
1609,686,REACUP
1609,699,REACUP
1609,712,REACUP
1609,725,REACUP
1609,738,REACUP
1609,751,REACUP
1609,764,REACUP
1609,777,REACUP
1609,790,REACUP
1609,803,REACUP
1609,816,REACUP
1609,829,REACUP
1609,842,REACUP
1609,855,REACUP
1609,868,REACUP
1609,881,REACUP
1609,894,REACUP
1609,907,REACUP
1597,907,REACUP
1585,907,REACUP
1573,907,REACUP
1561,907,REACUP
1549,907,REACUP
1537,907,REACUP
1525,907,REACUP
1513,907,REACUP
1501,907,REACUP
1489,907,REACUP
1477,907,REACUP
1465,907,REACUP
1452,907,REACUP
1452,920,REACUP
1452,933,REACUP
1452,946,REACUP
1452,959,REACUP
1452,972,REACUP
1452,985,REACUP
1452,998,REACUP
1452,1011,REACUP
1452,1025,REACUP
1452,1038,REACUP
1452,1051,REACUP
1452,1064,REACUP
1452,1077,REACUP
1452,1090,REACUP
1452,1103,REACUP
1452,1116,REACUP
1452,1129,REACUP
1452,1146,REACUP
1452,1161,REACUP
1452,1174,REACUP
1452,1187,REACUP
1452,1200,REACUP
1452,1213,REACUP
1452,1226,REACUP
1452,1239,REACUP
1452,1258,REACUP
1452,1271,REACUP
1452,1284,REACUP
1452,1297,REACUP
1452,1310,REACUP
1452,1323,REACUP
1452,1336,REACUP
1452,1349,REACUP
1452,1362,REACUP
1452,1375,REACUP
1452,1388,REACUP
1452,1401,REACUP
1452,1414,REACUP
1452,1427,REACUP
1452,1440,REACUP
1452,1453,REACUP
1452,1466,REACUP
1452,1479,REACDOWN
1452,1492,REACDOWN
1452,1505,REACDOWN
1452,1518,REACDOWN
1452,1531,REACDOWN
1452,1544,REACDOWN
1452,1557,REACDOWN
1452,1570,REACDOWN
1452,1583,REACDOWN
1452,1596,REACDOWN
1452,1609,REACDOWN
1452,1622,REACDOWN
1452,1635,REACDOWN
1452,1648,REACDOWN
1452,1661,REACDOWN
1452,1674,REACDOWN
1452,1687,REACDOWN
1452,1700,REACDOWN
1452,1713,REACDOWN
1452,1726,REACDOWN
1452,1739,REACDOWN
1452,1752,REACDOWN
1452,1765,REACDOWN
1452,1778,REACDOWN
1452,1791,REACDOWN
1452,1804,REACDOWN
1452,1817,REACDOWN
1452,1830,REACDOWN
1452,1843,REACDOWN
1452,1856,REACDOWN
1452,1869,REACDOWN
1452,1882,REACDOWN
1452,1895,REACDOWN
1452,1908,REACDOWN
1465,1908,REACDOWN
1482,1908,REACDOWN
1487,1908,REACDOWN
1487,1921,REACDOWN
1487,1934,REACDOWN
1487,1947,REACDOWN
1487,1960,REACDOWN
1487,1973,REACDOWN
1487,1986,REACDOWN
1487,1999,REACDOWN
1487,2012,REACDOWN
1487,2025,REACDOWN
1487,2038,REACDOWN
1487,2040,REACDOWN
1500,2040,REACDOWN
1513,2040,REACDOWN
1526,2040,REACDOWN
1539,2040,REACDOWN
1552,2040,REACDOWN
1565,2040,REACDOWN
1578,2040,REACDOWN
1591,2040,REACDOWN
1604,2040,REACDOWN
1617,2040,REACDOWN
1629,2040,REACDOWN
1629,2058,REACDOWN
1629,2071,REACDOWN
1629,2084,REACDOWN
1629,2097,REACDOWN
1629,2110,REACDOWN
1629,2123,REACDOWN
1629,2136,REACDOWN
1629,2149,REACDOWN
1629,2162,REACDOWN
1629,2175,REACDOWN
1629,2188,REACDOWN
1629,2201,REACDOWN
1629,2214,REACDOWN
1629,2228,REACDOWN
1648,2228,REACDOWN
1661,2228,REACDOWN
1674,2228,REACDOWN
1687,2228,REACDOWN
1700,2228,REACDOWN
1713,2228,REACDOWN
1726,2228,REACDOWN
1741,2228,ELEC
1758,2228,ELEC
1771,2228,ELEC
1784,2228,ELEC
1797,2228,ELEC
1810,2228,ELEC
1823,2228,ELEC
1836,2228,ELEC
1849,2228,ELEC
1862,2228,ELEC
1875,2228,ELEC
1888,2228,ELEC
1901,2228,ELEC
1914,2228,ELEC
1927,2228,ELEC
1940,2228,ELEC
1953,2228,ELEC
1966,2228,ELEC
1979,2228,ELEC
1992,2228,ELEC
2005,2228,ELEC
2018,2228,ELEC
2029,2228,ELEC
2029,2237,ELEC
2029,2250,ELEC
2029,2273,ELEC
2029,2287,ELEC
2029,2300,ELEC
2029,2313,ELEC
2029,2331,ELEC
2029,2344,ELEC
2029,2357,ELEC
2029,2370,ELEC
2029,2383,ELEC
2029,2396,ELEC
2029,2409,ELEC
2029,2422,ELEC
2029,2435,ELEC
2029,2448,ELEC
2029,2461,ELEC
2029,2474,ELEC
2029,2487,ELEC
2029,2500,ELEC
2029,2513,ELEC
2029,2526,ELEC
2029,2539,ELEC
2029,2552,ELEC
2029,2565,ELEC
2029,2578,ELEC
2029,2591,ELEC
2029,2593,ELEC
2042,2593,ELEC
2055,2593,ELEC
2068,2593,ELEC
2081,2593,ELEC
2094,2593,ELEC
2107,2593,ELEC
2120,2593,ELEC
2133,2593,ELEC
2146,2593,ELEC
2159,2593,ELEC
2172,2593,ELEC
2185,2593,ELEC
2198,2593,ELEC
2211,2593,ELEC
2224,2593,ELEC
2238,2593,ELEC
2255,2593,ELEC
2268,2593,ELEC
2281,2593,ELEC
2294,2593,ELEC
2307,2593,ELEC
2320,2593,ELEC
2329,2584,ELEC
2338,2575,ELEC
2338,2563,ELEC
2338,2551,ELEC
2338,2536,ELEC
2338,2519,ELEC
2338,2507,ELEC
2338,2495,ELEC
2338,2478,ELEC
2338,2458,ELEC
2338,2446,ELEC
2338,2434,ELEC
2338,2421,ELEC
2338,2404,ELEC
2338,2392,ELEC
2338,2380,ELEC
2338,2368,ELEC
2338,2356,ELEC
2338,2344,ELEC
2338,2332,ELEC
2338,2319,ELEC
2338,2302,ELEC
2338,2290,ELEC
2338,2278,ELEC
2338,2266,ELEC
2338,2254,ELEC
2338,2241,ELEC
2338,2228,ELEC
2338,2215,ELEC
2347,2206,ELEC
2356,2197,ELEC
2365,2188,ELEC
2374,2179,ELEC
2383,2170,ELEC
2392,2161,ELEC
2401,2152,ELEC
2410,2143,ELEC
2419,2134,ELEC
2428,2125,ELEC
2437,2116,ELEC
2448,2105,ELEC
2457,2096,ELEC
2457,2084,ELEC
2457,2070,ELEC
2457,2050,ELEC
2457,2036,ELEC
2457,2029,ELEC
2469,2029,ELEC
2478,2029,ELEC
2487,2029,ELEC
2496,2029,ELEC
2506,2029,ELEC
2515,2029,ELEC
2525,2029,ELEC
2538,2016,ELEC
2551,2003,ELEC
2562,1992,ELEC
2562,1980,ELEC
2562,1968,ELEC
2562,1956,ELEC
2562,1944,ELEC
2562,1931,ELEC
2562,1919,ELEC
2562,1906,ELEC
2562,1889,ELEC
2562,1871,ELEC
2562,1851,ELEC
2562,1839,ELEC
2562,1827,ELEC
2562,1815,ELEC
2571,1806,ELEC
2580,1797,ELEC
2589,1788,ELEC
2598,1779,ELEC
2607,1770,ELEC
2616,1761,ELEC
2625,1752,ELEC
2634,1749,ELEC
2643,1749,ELEC
2652,1749,ELEC
2661,1749,ELEC
2670,1749,ELEC
2679,1749,ELEC
2692,1749,ELEC
2692,1762,ELEC
2692,1775,ELEC
2692,1788,ELEC
