X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1362,517,REACUP
1375,517,REACUP
1388,517,REACUP
1401,517,REACUP
1414,517,REACUP
1427,517,REACUP
1440,517,REACUP
1453,517,REACUP
1466,517,REACUP
1479,517,REACUP
1492,517,REACUP
1505,517,REACUP
1518,517,REACUP
1531,517,REACUP
1544,517,REACUP
1557,517,REACUP
1570,517,REACUP
1583,517,REACUP
1596,517,REACUP
1609,517,REACUP
1609,530,REACUP
1609,543,REACUP
1609,556,REACUP
1609,569,REACUP
1609,582,REACUP
1609,595,REACUP
1609,608,REACUP
1609,621,REACUP
1609,634,REACUP
1609,654,REACUP
1609,675,REACUP
1609,688,REACUP
1609,701,REACUP
1609,714,REACUP
1609,727,REACUP
1609,740,REACUP
1609,753,REACUP
1609,766,REACUP
1609,779,REACUP
1609,792,REACUP
1609,805,REACUP
1609,818,REACUP
1609,830,REACUP
1609,843,REACUP
1609,856,REACUP
1609,869,REACUP
1597,869,REACUP
1585,869,REACUP
1572,869,REACUP
1560,869,REACUP
1548,869,REACUP
1548,882,REACUP
1548,895,REACUP
1548,908,REACUP
1548,921,REACUP
1548,934,REACUP
1548,947,REACUP
1536,947,REACUP
1524,947,REACUP
1511,947,REACUP
1498,947,REACUP
1486,947,REACUP
1474,947,REACUP
1462,947,REACUP
1450,947,REACUP
1438,947,REACUP
1426,947,REACUP
1426,960,REACUP
1426,973,REACUP
1426,986,REACUP
1426,999,REACUP
1426,1012,REACUP
1426,1025,REACUP
1426,1038,REACUP
1426,1051,REACUP
1426,1064,REACUP
1426,1077,REACUP
1426,1090,REACUP
1426,1103,REACUP
1426,1116,REACUP
1426,1129,REACUP
1426,1142,REACUP
1426,1155,REACUP
1426,1168,REACUP
1426,1181,REACUP
1426,1194,REACUP
1426,1207,REACUP
1426,1220,REACUP
1426,1233,REACUP
1426,1246,REACUP
1426,1259,REACUP
1426,1272,REACUP
1426,1285,REACUP
1426,1298,REACUP
1426,1311,REACUP
1426,1324,REACUP
1426,1337,REACUP
1426,1350,REACUP
1426,1363,REACUP
1426,1376,REACUP
1426,1389,REACUP
1426,1402,REACUP
1426,1415,REACUP
1426,1428,REACUP
1426,1441,REACUP
1426,1454,REACUP
1426,1467,REACUP
1426,1480,REACDOWN
1426,1493,REACDOWN
1426,1506,REACDOWN
1426,1519,REACDOWN
1426,1532,REACDOWN
1426,1545,REACDOWN
1426,1558,REACDOWN
1426,1591,REACDOWN
1426,1607,REACDOWN
1426,1620,REACDOWN
1426,1633,REACDOWN
1426,1646,REACDOWN
1426,1659,REACDOWN
1426,1675,REACDOWN
1426,1688,REACDOWN
1426,1701,REACDOWN
1426,1714,REACDOWN
1426,1727,REACDOWN
1426,1740,REACDOWN
1426,1753,REACDOWN
1426,1766,REACDOWN
1426,1779,REACDOWN
1426,1792,REACDOWN
1426,1805,REACDOWN
1426,1818,REACDOWN
1426,1836,REACDOWN
1426,1850,REACDOWN
1426,1870,REACDOWN
1426,1894,REACDOWN
1426,1907,REACDOWN
1426,1920,REACDOWN
1426,1933,REACDOWN
1426,1946,REACDOWN
1426,1959,REACDOWN
1426,1972,REACDOWN
1426,1985,REACDOWN
1426,1998,REACDOWN
1426,2011,REACDOWN
1426,2024,REACDOWN
1426,2037,REACDOWN
1435,2040,REACDOWN
1448,2040,REACDOWN
1461,2040,REACDOWN
1474,2040,REACDOWN
1487,2040,REACDOWN
1500,2040,REACDOWN
1513,2040,REACDOWN
1526,2040,REACDOWN
1539,2040,REACDOWN
1552,2040,REACDOWN
1565,2040,REACDOWN
1578,2040,REACDOWN
1601,2040,REACDOWN
1621,2040,REACDOWN
1629,2040,REACDOWN
1629,2053,REACDOWN
1629,2066,REACDOWN
1629,2079,REACDOWN
1629,2092,REACDOWN
1629,2105,REACDOWN
1629,2118,REACDOWN
1629,2131,REACDOWN
1629,2144,REACDOWN
1629,2157,REACDOWN
1629,2170,REACDOWN
1629,2183,REACDOWN
1629,2196,REACDOWN
1629,2209,REACDOWN
1629,2222,REACDOWN
1629,2235,REACDOWN
1629,2248,REACDOWN
1638,2257,REACDOWN
1651,2257,REACDOWN
1664,2257,REACDOWN
1677,2257,REACDOWN
1690,2257,REACDOWN
1703,2257,REACDOWN
1716,2257,REACDOWN
1729,2257,REACDOWN
1742,2257,ELEC
1755,2257,ELEC
1768,2257,ELEC
1781,2257,ELEC
1794,2257,ELEC
1807,2257,ELEC
1820,2257,ELEC
1833,2257,ELEC
1846,2257,ELEC
1859,2257,ELEC
1872,2257,ELEC
1885,2257,ELEC
1898,2257,ELEC
1911,2257,ELEC
1924,2257,ELEC
1937,2257,ELEC
1950,2257,ELEC
1963,2257,ELEC
1976,2257,ELEC
1989,2257,ELEC
2002,2257,ELEC
2015,2257,ELEC
2028,2257,ELEC
2029,2257,ELEC
2029,2270,ELEC
2029,2283,ELEC
2029,2296,ELEC
2029,2309,ELEC
2029,2322,ELEC
2029,2335,ELEC
2029,2348,ELEC
2029,2361,ELEC
2029,2374,ELEC
2029,2387,ELEC
2029,2400,ELEC
2029,2413,ELEC
2029,2430,ELEC
2029,2447,ELEC
2029,2460,ELEC
2029,2473,ELEC
2029,2486,ELEC
2029,2499,ELEC
2029,2512,ELEC
2029,2539,ELEC
2029,2562,ELEC
2029,2578,ELEC
2029,2591,ELEC
2041,2593,ELEC
2059,2593,ELEC
2072,2593,ELEC
2085,2593,ELEC
2098,2593,ELEC
2111,2593,ELEC
2124,2593,ELEC
2137,2593,ELEC
2150,2593,ELEC
2163,2593,ELEC
2176,2593,ELEC
2189,2593,ELEC
2202,2593,ELEC
2215,2593,ELEC
2228,2593,ELEC
2245,2593,ELEC
2267,2593,ELEC
2280,2593,ELEC
2302,2593,ELEC
2315,2593,ELEC
2338,2593,ELEC
2351,2593,ELEC
2364,2593,ELEC
2390,2593,ELEC
2408,2593,ELEC
2421,2593,ELEC
2434,2593,ELEC
2447,2593,ELEC
2460,2593,ELEC
2473,2593,ELEC
2486,2593,ELEC
2499,2593,ELEC
2512,2593,ELEC
2525,2593,ELEC
2534,2584,ELEC
2543,2575,ELEC
2552,2566,ELEC
2561,2557,ELEC
2574,2557,STOR
2587,2557,STOR
2600,2557,STOR
2613,2557,STOR
2626,2557,STOR
2639,2557,STOR
2652,2557,STOR
2665,2557,STOR
2678,2557,STOR
2691,2557,STOR
2704,2557,STOR
2717,2557,STOR
2730,2557,STOR
2743,2557,STOR
2756,2557,STOR
2765,2566,STOR
2778,2566,STOR
2791,2566,STOR
2804,2566,STOR
2817,2566,STOR
2830,2566,STOR
2843,2566,STOR
2861,2566,STOR
2875,2566,STOR
2888,2566,STOR
2901,2566,STOR
2918,2566,STOR
2928,2576,STOR
2937,2585,STOR
2946,2594,STOR
2955,2603,STOR
2964,2612,STOR
2973,2621,STOR
2982,2630,STOR
2991,2639,STOR
3000,2648,STOR
3009,2657,STOR
3018,2666,STOR
3027,2675,STOR
3036,2684,STOR
3045,2693,STOR
3054,2702,STOR
3065,2713,STOR
3078,2726,STOR
3088,2736,STOR
3105,2753,STOR
3118,2766,STOR
3127,2775,STOR
3139,2787,STOR
3156,2804,STOR
3166,2814,STOR
3175,2823,STOR
3184,2832,STOR
3197,2832,STOR
3210,2832,STOR
3223,2832,STOR
3236,2832,STOR
3249,2832,STOR
3262,2832,STOR
3275,2832,STOR
3288,2832,STOR
3301,2832,STOR
3316,2832,STOR
3335,2832,STOR
3348,2832,STOR
3364,2832,STOR
3379,2832,STOR
3392,2832,STOR
3405,2832,STOR
3418,2832,STOR
3431,2832,STOR
3444,2832,STOR
3444,2845,STOR
3444,2858,STOR
3444,2870,STOR
3444,2858,STOR
3444,2846,STOR
3444,2834,STOR
3444,2822,STOR
3444,2835,STOR
